Time,max(Result),min(Result)
1.33e-08,2.54244e+06,-3.16264e+07
1.34e-08,2.4934e+06,-3.18339e+07
1.35e-08,2.52812e+06,-3.17121e+07
1.36e-08,2.53037e+06,-3.16755e+07
1.37e-08,2.4992e+06,-3.17856e+07
1.38e-08,2.47329e+06,-3.18321e+07
1.39e-08,2.48529e+06,-3.17826e+07
1.4e-08,2.40816e+06,-3.19643e+07
1.41e-08,2.46608e+06,-3.18684e+07
1.42e-08,2.41685e+06,-3.18704e+07
1.43e-08,2.4113e+06,-3.19536e+07
1.44e-08,2.37811e+06,-3.20116e+07
1.45e-08,2.43342e+06,-3.18884e+07
1.46e-08,2.39937e+06,-3.20235e+07
1.47e-08,2.35063e+06,-3.20772e+07
1.48e-08,2.42614e+06,-3.18938e+07
1.49e-08,2.38742e+06,-3.20365e+07
1.5e-08,2.31715e+06,-3.21539e+07
1.51e-08,2.35083e+06,-3.19954e+07
1.52e-08,2.28638e+06,-3.22392e+07
1.53e-08,2.3073e+06,-3.21918e+07
1.54e-08,2.30857e+06,-3.20942e+07
1.55e-08,2.2596e+06,-3.22849e+07
1.56e-08,2.32046e+06,-3.21666e+07
1.57e-08,2.31488e+06,-3.21325e+07
1.58e-08,2.28759e+06,-3.22051e+07
1.59e-08,2.29167e+06,-3.22348e+07
1.6e-08,2.25929e+06,-3.22509e+07
1.61e-08,2.20912e+06,-3.23572e+07
1.62e-08,2.26392e+06,-3.22969e+07
1.63e-08,2.26737e+06,-3.22837e+07
1.64e-08,2.1771e+06,-3.23946e+07
1.65e-08,2.17387e+06,-3.24994e+07
1.66e-08,2.1849e+06,-3.24328e+07
1.67e-08,2.15428e+06,-3.24124e+07
1.68e-08,2.20855e+06,-3.24114e+07
1.69e-08,2.17322e+06,-3.24816e+07
1.7e-08,2.17822e+06,-3.23767e+07
1.71e-08,2.18203e+06,-3.24502e+07
1.72e-08,2.13058e+06,-3.25755e+07
1.73e-08,2.12111e+06,-3.25228e+07
1.74e-08,2.13049e+06,-3.25336e+07
1.75e-08,2.12579e+06,-3.2599e+07
1.76e-08,2.11476e+06,-3.25796e+07
1.77e-08,2.09024e+06,-3.25904e+07
1.78e-08,2.13228e+06,-3.25807e+07
1.79e-08,2.0895e+06,-3.2651e+07
1.8e-08,2.10891e+06,-3.2537e+07
1.81e-08,2.057e+06,-3.27389e+07
1.82e-08,2.07549e+06,-3.27059e+07
1.83e-08,2.08037e+06,-3.2641e+07
1.84e-08,2.03953e+06,-3.27424e+07
1.85e-08,2.08352e+06,-3.26946e+07
1.86e-08,2.0633e+06,-3.27183e+07
1.87e-08,2.05132e+06,-3.26602e+07
1.88e-08,2.00875e+06,-3.28612e+07
1.89e-08,2.03347e+06,-3.2796e+07
1.9e-08,2.04321e+06,-3.27026e+07
1.91e-08,2.01688e+06,-3.2814e+07
1.92e-08,2.00983e+06,-3.2862e+07
1.93e-08,2.01219e+06,-3.28245e+07
1.94e-08,1.96638e+06,-3.2868e+07
1.95e-08,2.01829e+06,-3.284e+07
1.96e-08,1.98474e+06,-3.29005e+07
1.97e-08,2.01206e+06,-3.27876e+07
1.98e-08,1.99764e+06,-3.28651e+07
1.99e-08,1.96668e+06,-3.29589e+07
2e-08,1.95944e+06,-3.29264e+07
2.01e-08,1.9543e+06,-3.29079e+07
2.02e-08,1.9485e+06,-3.29985e+07
2.03e-08,1.94173e+06,-3.30019e+07
2.04e-08,1.918e+06,-3.29865e+07
2.05e-08,1.95499e+06,-3.29581e+07
2.06e-08,1.92496e+06,-3.30538e+07
2.07e-08,1.93393e+06,-3.30112e+07
2.08e-08,1.91253e+06,-3.29903e+07
2.09e-08,1.90759e+06,-3.30876e+07
2.1e-08,1.90154e+06,-3.30971e+07
2.11e-08,1.90982e+06,-3.3016e+07
2.12e-08,1.91327e+06,-3.30378e+07
2.13e-08,1.8849e+06,-3.31444e+07
2.14e-08,1.86398e+06,-3.31486e+07
2.15e-08,1.87208e+06,-3.30678e+07
2.16e-08,1.86798e+06,-3.3168e+07
2.17e-08,1.8629e+06,-3.31902e+07
2.18e-08,1.86631e+06,-3.31401e+07
2.19e-08,1.8639e+06,-3.31138e+07
2.2e-08,1.83132e+06,-3.32323e+07
2.21e-08,1.83106e+06,-3.32412e+07
2.22e-08,1.83353e+06,-3.31771e+07
2.23e-08,1.82942e+06,-3.32308e+07
2.24e-08,1.82565e+06,-3.32761e+07
2.25e-08,1.79966e+06,-3.32896e+07
