Time,max(CACoordsX),min(CACoordsX)
1.39e-08,1.3411e-07,1.33834e-07
1.4e-08,1.33974e-07,1.337e-07
1.41e-08,1.33845e-07,1.33564e-07
1.42e-08,1.33712e-07,1.33436e-07
1.43e-08,1.33578e-07,1.33304e-07
1.44e-08,1.33449e-07,1.33169e-07
1.45e-08,1.33318e-07,1.33042e-07
1.46e-08,1.33184e-07,1.32911e-07
1.47e-08,1.33057e-07,1.32777e-07
1.48e-08,1.32927e-07,1.32651e-07
1.49e-08,1.32794e-07,1.32522e-07
1.5e-08,1.32668e-07,1.32388e-07
1.51e-08,1.32539e-07,1.32264e-07
1.52e-08,1.32407e-07,1.32136e-07
1.53e-08,1.32282e-07,1.32002e-07
1.54e-08,1.32155e-07,1.31879e-07
1.55e-08,1.32025e-07,1.31753e-07
1.56e-08,1.31899e-07,1.31621e-07
1.57e-08,1.31774e-07,1.31498e-07
1.58e-08,1.31645e-07,1.31373e-07
1.59e-08,1.31519e-07,1.31243e-07
1.6e-08,1.31395e-07,1.31119e-07
1.61e-08,1.31268e-07,1.30996e-07
1.62e-08,1.31142e-07,1.30869e-07
1.63e-08,1.3102e-07,1.30743e-07
1.64e-08,1.30895e-07,1.30622e-07
1.65e-08,1.30768e-07,1.30496e-07
1.66e-08,1.30647e-07,1.30369e-07
1.67e-08,1.30524e-07,1.3025e-07
1.68e-08,1.30397e-07,1.30127e-07
1.69e-08,1.30277e-07,1.29999e-07
1.7e-08,1.30155e-07,1.29881e-07
1.71e-08,1.3003e-07,1.2976e-07
1.72e-08,1.29909e-07,1.29634e-07
1.73e-08,1.29789e-07,1.29515e-07
1.74e-08,1.29666e-07,1.29396e-07
1.75e-08,1.29544e-07,1.29272e-07
1.76e-08,1.29426e-07,1.2915e-07
1.77e-08,1.29305e-07,1.29033e-07
1.78e-08,1.29182e-07,1.28913e-07
1.79e-08,1.29065e-07,1.28788e-07
1.8e-08,1.28946e-07,1.28673e-07
1.81e-08,1.28824e-07,1.28555e-07
1.82e-08,1.28706e-07,1.28432e-07
1.83e-08,1.28589e-07,1.28315e-07
1.84e-08,1.28469e-07,1.28199e-07
1.85e-08,1.2835e-07,1.28079e-07
1.86e-08,1.28234e-07,1.27959e-07
1.87e-08,1.28116e-07,1.27845e-07
1.88e-08,1.27995e-07,1.27728e-07
1.89e-08,1.27881e-07,1.27606e-07
1.9e-08,1.27766e-07,1.27493e-07
1.91e-08,1.27647e-07,1.27378e-07
1.92e-08,1.27531e-07,1.27259e-07
1.93e-08,1.27417e-07,1.27143e-07
1.94e-08,1.273e-07,1.2703e-07
1.95e-08,1.27182e-07,1.26914e-07
1.96e-08,1.27069e-07,1.26794e-07
1.97e-08,1.26955e-07,1.26684e-07
1.98e-08,1.26838e-07,1.26571e-07
1.99e-08,1.26724e-07,1.26453e-07
2e-08,1.26612e-07,1.26339e-07
2.01e-08,1.26497e-07,1.26228e-07
2.02e-08,1.2638e-07,1.26114e-07
2.03e-08,1.2627e-07,1.25995e-07
2.04e-08,1.26157e-07,1.25887e-07
2.05e-08,1.26042e-07,1.25775e-07
2.06e-08,1.25929e-07,1.25659e-07
2.07e-08,1.25819e-07,1.25546e-07
2.08e-08,1.25706e-07,1.25437e-07
2.09e-08,1.25591e-07,1.25325e-07
2.1e-08,1.25482e-07,1.25208e-07
2.11e-08,1.25371e-07,1.25101e-07
2.12e-08,1.25258e-07,1.24991e-07
2.13e-08,1.25146e-07,1.24878e-07
2.14e-08,1.25038e-07,1.24765e-07
2.15e-08,1.24927e-07,1.24658e-07
2.16e-08,1.24814e-07,1.24548e-07
2.17e-08,1.24705e-07,1.24434e-07
2.18e-08,1.24597e-07,1.24326e-07
2.19e-08,1.24486e-07,1.24219e-07
2.2e-08,1.24374e-07,1.24109e-07
2.21e-08,1.24268e-07,1.23994e-07
2.22e-08,1.24159e-07,1.2389e-07
2.23e-08,1.24048e-07,1.23783e-07
2.24e-08,1.23939e-07,1.23672e-07
2.25e-08,1.23833e-07,1.23561e-07
2.26e-08,1.23725e-07,1.23457e-07
2.27e-08,1.23614e-07,1.23349e-07
2.28e-08,1.23508e-07,1.23238e-07
2.29e-08,1.23402e-07,1.23131e-07
2.3e-08,1.23294e-07,1.23027e-07
2.31e-08,1.23183e-07,1.22919e-07
2.32e-08,1.23079e-07,1.22807e-07
2.33e-08,1.22974e-07,1.22704e-07
2.34e-08,1.22865e-07,1.226e-07
2.35e-08,1.22758e-07,1.22492e-07
2.36e-08,1.22654e-07,1.22382e-07
2.37e-08,1.22548e-07,1.22281e-07
2.38e-08,1.2244e-07,1.22176e-07
2.39e-08,1.22335e-07,1.22068e-07
2.4e-08,1.22232e-07,1.21961e-07
2.41e-08,1.22126e-07,1.2186e-07
2.42e-08,1.22019e-07,1.21755e-07
2.43e-08,1.21915e-07,1.21647e-07
2.44e-08,1.21812e-07,1.21543e-07
2.45e-08,1.21708e-07,1.21442e-07
2.46e-08,1.216e-07,1.21338e-07
2.47e-08,1.21499e-07,1.21229e-07
2.48e-08,1.21396e-07,1.21127e-07
2.49e-08,1.21292e-07,1.21027e-07
2.5e-08,1.21185e-07,1.20923e-07
2.51e-08,1.21085e-07,1.20815e-07
2.52e-08,1.20983e-07,1.20715e-07
2.53e-08,1.20879e-07,1.20614e-07
2.54e-08,1.20774e-07,1.20511e-07
2.55e-08,1.20674e-07,1.20403e-07
2.56e-08,1.20572e-07,1.20305e-07
2.57e-08,1.20469e-07,1.20205e-07
2.58e-08,1.20365e-07,1.20102e-07
2.59e-08,1.20266e-07,1.19995e-07
2.6e-08,1.20165e-07,1.19898e-07
2.61e-08,1.20062e-07,1.19799e-07
2.62e-08,1.19959e-07,1.19696e-07
2.63e-08,1.1986e-07,1.1959e-07
2.64e-08,1.1976e-07,1.19494e-07
2.65e-08,1.19658e-07,1.19395e-07
2.66e-08,1.19556e-07,1.19293e-07
2.67e-08,1.19458e-07,1.19188e-07
2.68e-08,1.19358e-07,1.19092e-07
2.69e-08,1.19256e-07,1.18994e-07
2.7e-08,1.19155e-07,1.18892e-07
