time (s),Udown (m/s),eKinTot (j),eDissTot (J),divDevRhoTot(N)
4.50000467952e-09,-1e+300,1.7896090634900002e-23,3.10626822396e-25,(1.90997146701e-11 1.2048244739e-27 -5.60157975826e-13)
4.59999487418e-09,-1e+300,1.78596202822e-23,3.11523885741e-25,(1.91434097709e-11 8.1411633557e-28 -5.57444749055e-13)
4.70000210284e-09,-1e+300,1.78226400106e-23,3.12195349383e-25,(1.91635374203e-11 5.52759919603e-28 -5.50830428766e-13)
4.79999623352e-09,-1e+300,1.7784258028300002e-23,3.1284747170799997e-25,(1.92064710961e-11 5.91099213589e-28 -5.48569673232e-13)
4.90000062097e-09,-1e+300,1.77478170071e-23,3.13650508298e-25,(1.92247397985e-11 7.24483747908e-28 -5.41997121395e-13)
5.00000477428e-09,-1e+300,1.7705566372400002e-23,3.14259870853e-25,(1.92625877772e-11 6.40788856491e-28 -5.39713612021e-13)
5.10000488306e-09,-1e+300,1.76730365577e-23,3.15001311819e-25,(1.92846877466e-11 8.38411049467e-28 -5.33540465781e-13)
5.20000215356e-09,-1e+300,1.76260281531e-23,3.15391614648e-25,(1.93174167926e-11 8.12496319422e-28 -5.31275278661e-13)
5.30000217608e-09,-1e+300,1.75973948381e-23,3.16295675666e-25,(1.93421105546e-11 9.66638994742e-28 -5.25573817267e-13)
5.39999498849e-09,-1e+300,1.75447376897e-23,3.16597548987e-25,(1.93663079799e-11 8.84204037808e-28 -5.22848456823e-13)
5.49999843609e-09,-1e+300,1.75227206553e-23,3.1748445341099997e-25,(1.93979620562e-11 7.0593039973e-28 -5.17941945938e-13)
5.59999821722e-09,-1e+300,1.74681924821e-23,3.1781962574699997e-25,(1.94114973641e-11 3.62231403568e-28 -5.14275833516e-13)
5.70000269594e-09,-1e+300,1.74470021453e-23,3.18565962292e-25,(1.94506234007e-11 -2.015155827e-28 -5.10760414137e-13)
5.80000453241e-09,-1e+300,1.7389523403800002e-23,3.18982426081e-25,(1.94517421139e-11 -4.91657205712e-28 -5.05374019835e-13)
5.90000543967e-09,-1e+300,1.7368205050400002e-23,3.19798102165e-25,(1.94966489006e-11 -5.19967621794e-28 -5.03348403082e-13)
6.00000223277e-09,-1e+300,1.73102766866e-23,3.20014761281e-25,(1.94881735885e-11 -5.98046089942e-28 -4.96281296168e-13)
6.10000157708e-09,-1e+300,1.72887334886e-23,3.2077605029899997e-25,(1.95416564861e-11 -4.99630818876e-30 -4.96359161367e-13)
6.20000102909e-09,-1e+300,1.7236929698200001e-23,3.21050734697e-25,(1.95345145933e-11 1.59422664888e-28 -4.88818641014e-13)
6.29999860837e-09,-1e+300,1.7204320626300002e-23,3.21737191983e-25,(1.95801998222e-11 3.61432760331e-28 -4.89276834515e-13)
6.3999957187e-09,-1e+300,1.71650223016e-23,3.22064449088e-25,(1.95870681736e-11 3.71186886478e-28 -4.82825514629e-13)
6.49999435891e-09,-1e+300,1.71199411111e-23,3.22569948173e-25,(1.96156903793e-11 6.79682528539e-29 -4.82091972582e-13)
6.60000509741e-09,-1e+300,1.70919657358e-23,3.23221772293e-25,(1.96332592802e-11 -2.31123332407e-28 -4.76911856249e-13)
6.70000177838e-09,-1e+300,1.7041512930100002e-23,3.23526234118e-25,(1.96459440217e-11 -4.37329717589e-28 -4.7429364611e-13)
6.80000371409e-09,-1e+300,1.7014684749300002e-23,3.24186312172e-25,(1.96749095563e-11 -6.51156422464e-28 -4.71040842953e-13)
6.90000227917e-09,-1e+300,1.69598017041e-23,3.24404357459e-25,(1.96696025484e-11 -7.31434492148e-28 -4.65427346184e-13)
6.99999829712e-09,-1e+300,1.69342014189e-23,3.2498382133699997e-25,(1.97125704411e-11 -8.43996872172e-28 -4.65276276629e-13)
7.10000079123e-09,-1e+300,1.68849560273e-23,3.2525005386699997e-25,(1.97026149386e-11 -1.03443935297e-27 -4.57666143198e-13)
7.20000416067e-09,-1e+300,1.68487947014e-23,3.2563855985299997e-25,(1.9743301065e-11 -8.53159417408e-28 -4.59144175742e-13)
7.2999988004e-09,-1e+300,1.68171874209e-23,3.26228926157e-25,(1.9749128981e-11 -7.62239596435e-28 -4.5300681428e-13)
7.40000565791e-09,-1e+300,1.67726543331e-23,3.26467075861e-25,(1.97694325322e-11 -2.42932301473e-28 -4.52201639599e-13)
7.49999578779e-09,-1e+300,1.67442213314e-23,3.26940480693e-25,(1.97913469604e-11 2.46264976049e-28 -4.48550390135e-13)
7.59999763362e-09,-1e+300,1.6692687827200002e-23,3.2710630329899998e-25,(1.97881590038e-11 4.4893365004e-28 -4.43738974998e-13)
7.69999717016e-09,-1e+300,1.6663229713900002e-23,3.27796256632e-25,(1.98228789647e-11 5.85594454286e-28 -4.43412418975e-13)
7.80000207158e-09,-1e+300,1.66184071122e-23,3.28030560969e-25,(1.98136622207e-11 5.82629308838e-28 -4.3652268357e-13)
7.89999941613e-09,-1e+300,1.65819029414e-23,3.28493148408e-25,(1.98479775131e-11 1.37844322377e-28 -4.37807252681e-13)
7.99999979064e-09,-1e+300,1.65515754901e-23,3.28806402752e-25,(1.98580375776e-11 -6.39983334975e-29 -4.32457541415e-13)
8.09999729643e-09,-1e+300,1.65057447898e-23,3.29064566751e-25,(1.98680416474e-11 -1.73505708551e-28 -4.30667102648e-13)
8.19999654546e-09,-1e+300,1.64758819713e-23,3.29515316045e-25,(1.98926698437e-11 -2.58599289263e-28 -4.28406892376e-13)
8.30000321154e-09,-1e+300,1.64244835501e-23,3.29849135679e-25,(1.98746927438e-11 -1.75318754588e-28 -4.21806212096e-13)
8.40000140726e-09,-1e+300,1.6394182744e-23,3.30238993186e-25,(1.99168349951e-11 -1.20378093385e-28 -4.23708026247e-13)
8.49999775193e-09,-1e+300,1.63621395101e-23,3.3043973519299996e-25,(1.99198712071e-11 -8.34434050439e-29 -4.18232718844e-13)
8.60000358846e-09,-1e+300,1.6319460110600002e-23,3.3102394248e-25,(1.99333115319e-11 -1.23825761037e-28 -4.1703690482e-13)
8.6999991737e-09,-1e+300,1.62893284694e-23,3.3128839159499998e-25,(1.99540640043e-11 -1.65719492754e-29 -4.14230860017e-13)
8.80000170486e-09,-1e+300,1.6241082951600002e-23,3.3144204429899998e-25,(1.99423065282e-11 8.19511683708e-29 -4.09052184229e-13)
8.89999776528e-09,-1e+300,1.6210232648e-23,3.31885740526e-25,(1.99781402533e-11 2.51886510716e-28 -4.10205687698e-13)
9.00000620051e-09,-1e+300,1.61772279483e-23,3.32196031773e-25,(1.99769377166e-11 2.41542963296e-28 -4.04852662416e-13)
9.09999800157e-09,-1e+300,1.61374766693e-23,3.32544563218e-25,(1.9993153426e-11 2.82003476847e-28 -4.03825429006e-13)
9.19999841916e-09,-1e+300,1.61060962606e-23,3.32906429346e-25,(2.00105627869e-11 3.45585226373e-28 -4.01257471575e-13)
9.29999945623e-09,-1e+300,1.6061195553e-23,3.3278278420299997e-25,(1.99996154479e-11 4.19601567992e-28 -3.96420379526e-13)
9.39999893811e-09,-1e+300,1.60316691682e-23,3.3331121308099997e-25,(2.00347494726e-11 5.276716042e-28 -3.974977967e-13)
9.49999507734e-09,-1e+300,1.5998079606700002e-23,3.33765274252e-25,(2.00335284866e-11 5.52743119697e-28 -3.92704278133e-13)
9.59999755814e-09,-1e+300,1.5958675705900002e-23,3.33757036233e-25,(2.00473162575e-11 6.30338455817e-28 -3.91014674117e-13)
9.69999530536e-09,-1e+300,1.5925946366300002e-23,3.34199310165e-25,(2.00654716903e-11 7.06269874953e-28 -3.89351426702e-13)
9.80000101712e-09,-1e+300,1.5884907011e-23,3.34324237387e-25,(2.00505113562e-11 7.74785778184e-28 -3.84627998184e-13)
9.90000057404e-09,-1e+300,1.58550091725e-23,3.34845639187e-25,(2.00834480013e-11 7.92696568515e-28 -3.85147090494e-13)
1.00000032514e-08,-1e+300,1.58221383938e-23,3.35103431781e-25,(2.0088795972e-11 8.03742698179e-28 -3.81457856915e-13)
1.00999993564e-08,-1e+300,1.57809579026e-23,3.35310483628e-25,(2.00887778774e-11 9.33076945476e-28 -3.78467568183e-13)
1.0199997501e-08,-1e+300,1.57496966717e-23,3.35456888936e-25,(2.01147354144e-11 1.0664358144e-27 -3.77896201567e-13)
1.03000043095e-08,-1e+300,1.5714920568e-23,3.3581640336899997e-25,(2.01060751093e-11 1.06931180511e-27 -3.7365837719e-13)
1.03999974169e-08,-1e+300,1.56804298348e-23,3.3616592988199998e-25,(2.01254121756e-11 1.17650961377e-27 -3.72573506699e-13)
1.05000061637e-08,-1e+300,1.56482419126e-23,3.36312393619e-25,(2.01392327025e-11 1.17819963048e-27 -3.70767151896e-13)
1.05999957509e-08,-1e+300,1.5607698002900002e-23,3.36414065752e-25,(2.01238073605e-11 1.34536587458e-27 -3.66688493601e-13)
1.07000059e-08,-1e+300,1.55809281334e-23,3.36858066326e-25,(2.01572498033e-11 1.27904651771e-27 -3.66800079854e-13)
1.07999986053e-08,-1e+300,1.55474988605e-23,3.37080683987e-25,(2.01592265643e-11 1.25173460094e-27 -3.6347000252e-13)
1.08999938962e-08,-1e+300,1.55096448534e-23,3.3730826661199998e-25,(2.01592876963e-11 1.37521990516e-27 -3.60648688348e-13)
1.10000012105e-08,-1e+300,1.54803154181e-23,3.37408642071e-25,(2.01841578942e-11 1.54759760732e-27 -3.60320794122e-13)
1.11000023586e-08,-1e+300,1.5445615278e-23,3.3777629538899998e-25,(2.01758072613e-11 1.65942591718e-27 -3.56793317908e-13)
1.11999974288e-08,-1e+300,1.54133376461e-23,3.37774350153e-25,(2.01934692663e-11 1.88866073639e-27 -3.5515693156e-13)
1.13000053715e-08,-1e+300,1.53791538257e-23,3.3795268882199997e-25,(2.02068274845e-11 2.236020263e-27 -3.54006233273e-13)
1.14000040357e-08,-1e+300,1.53429767981e-23,3.38363673584e-25,(2.01901426998e-11 2.2764978045e-27 -3.50110111235e-13)
1.1499996838e-08,-1e+300,1.53151051718e-23,3.3874213270599997e-25,(2.02180752959e-11 2.04147731411e-27 -3.49031432471e-13)
1.15999978156e-08,-1e+300,1.5282052334600002e-23,3.3882112748000003e-25,(2.02251357238e-11 1.70857217777e-27 -3.47371340087e-13)
1.16999979328e-08,-1e+300,1.5245947875e-23,3.38769857386e-25,(2.02160187152e-11 1.52090999074e-27 -3.44438460299e-13)
1.18000021444e-08,-1e+300,1.521975134e-23,3.39228802221e-25,(2.02436068706e-11 8.61685842445e-28 -3.43479548322e-13)
1.19000061686e-08,-1e+300,1.51862184358e-23,3.3942863135699998e-25,(2.02433911998e-11 4.19661231036e-28 -3.41295268289e-13)
1.20000044642e-08,-1e+300,1.5152055284800002e-23,3.3946863876599997e-25,(2.02433742045e-11 2.08042305093e-28 -3.38812721773e-13)
1.2100002719e-08,-1e+300,1.51237971167e-23,3.3990737897399997e-25,(2.02641687277e-11 -2.92262058896e-29 -3.37873691143e-13)
1.22000071188e-08,-1e+300,1.50904760751e-23,3.3983125322e-25,(2.02608128086e-11 -2.72167404618e-28 -3.35537858438e-13)
1.22999974717e-08,-1e+300,1.50582676432e-23,3.4025889751e-25,(2.02665683713e-11 -2.88451762132e-28 -3.32786761249e-13)
1.24000072258e-08,-1e+300,1.50288653958e-23,3.4045342232299997e-25,(2.02836326257e-11 -1.7927262642e-28 -3.3228324359e-13)
1.24999992735e-08,-1e+300,1.49947314815e-23,3.4058181455299996e-25,(2.02740498037e-11 -1.23003632248e-28 -3.29517517028e-13)
1.25999941321e-08,-1e+300,1.49660503083e-23,3.4089854562e-25,(2.0288668416e-11 1.98766555735e-28 -3.27324867553e-13)
1.27000037413e-08,-1e+300,1.49355837224e-23,3.40872291197e-25,(2.03026924641e-11 4.62118368409e-28 -3.26793115315e-13)
1.27999943397e-08,-1e+300,1.49010216098e-23,3.4103074406e-25,(2.02891188213e-11 7.3409320764e-28 -3.23768759143e-13)
1.29000055843e-08,-1e+300,1.4875724732100002e-23,3.41185419651e-25,(2.03116912886e-11 9.58892917714e-28 -3.22060081236e-13)
1.2999993045e-08,-1e+300,1.48431313602e-23,3.41393602661e-25,(2.03192365823e-11 1.01210053765e-27 -3.21197357729e-13)
1.31000008595e-08,-1e+300,1.48087744636e-23,3.4142201977799998e-25,(2.03049939073e-11 1.06277583935e-27 -3.18372881038e-13)
