Time,max(coordsX_Meniscus),min(coordsX_Meniscus),time (s),Udown (m/s),eKinTot (j),eDissTot (J),divDevRhoTot(N),# Time,pressureForceX,pressureForceY,pressureForceZ,viscousForceX,viscousForceY,viscousForceZ,capillaryForceX,capillaryForceY,capillaryForceZ
1.00003e-10,1.60169e-07,1.59205e-07,1.00002847543e-10,-1e+300,1.7010776083000002e-23,2.44273430665e-25,(1.55255092989e-11 1.08593307866e-27 -1.20879614745e-12),1.00002847543e-10,0.0,0.0,-2.9408364653e-08,2.31630881564e-11,1.49700469822e-27,0.0,1.83306257376e-11,1.97500518725e-25,1.87923766035e-11
1.99997e-10,1.59921e-07,1.58888e-07,1.99996554037e-10,-1e+300,1.90451735546e-23,2.34522223518e-25,(1.53951392998e-11 5.86367762323e-28 -9.01911832553e-13),1.99996554037e-10,0.0,0.0,-3.15855615329e-08,2.24846154071e-11,5.77960736561e-28,0.0,1.83303251349e-11,1.40671558676e-25,1.89718269955e-11
3.00003e-10,1.59633e-07,1.58594e-07,3.00003276874e-10,-1e+300,1.92894770944e-23,2.37242761412e-25,(1.5453588116e-11 3.9243482537e-28 -8.71724414079e-13),3.00003276874e-10,0.0,0.0,-3.26274619515e-08,2.24188866087e-11,6.9769562432e-28,0.0,1.83299179121e-11,6.09218610175e-26,1.90908996791e-11
3.99997e-10,1.59341e-07,1.58305e-07,3.99997243799e-10,-1e+300,1.9300306725500002e-23,2.41359243449e-25,(1.56200947157e-11 6.30303715957e-28 -8.71118116281e-13),3.99997243799e-10,0.0,0.0,-3.36354144205e-08,2.25048312568e-11,4.82408946441e-28,0.0,1.83294506891e-11,-3.38119509136e-26,1.91852470221e-11
5e-10,1.59056e-07,1.5802e-07,5.00000270621e-10,-1e+300,1.92172353299e-23,2.45198115776e-25,(1.57670656742e-11 2.82819353072e-28 -8.66552387836e-13),5.00000270621e-10,0.0,0.0,-3.46293527426e-08,2.25605806212e-11,-1.49180400351e-29,0.0,1.8328934015e-11,-1.3747737e-25,1.92581229298e-11
6.00001e-10,1.58778e-07,1.57744e-07,6.00001075469e-10,-1e+300,1.90928448675e-23,2.48532290162e-25,(1.58938501129e-11 -4.90411276912e-28 -8.57385742352e-13),6.00001075469e-10,0.0,0.0,-3.57256979396e-08,2.25868682516e-11,-9.52589026839e-28,0.0,1.83283685966e-11,-2.45338395361e-25,1.93105953226e-11
6.99997e-10,1.58502e-07,1.57468e-07,6.99996800901e-10,-1e+300,1.9009505530700002e-23,2.52197892854e-25,(1.60875442955e-11 -3.9908752154e-29 -8.53189348189e-13),6.99996800901e-10,0.0,0.0,-3.67786756754e-08,2.26984491437e-11,-7.09387945676e-28,0.0,1.83277626647e-11,-3.50539332427e-25,1.93464566009e-11
8e-10,1.58229e-07,1.57194e-07,7.99999625638e-10,-1e+300,1.89561406964e-23,2.55632076309e-25,(1.62461975356e-11 3.37178081457e-29 -8.44378709885e-13),7.99999625638e-10,0.0,0.0,-3.78680856829e-08,2.27729016819e-11,-4.00559154223e-28,0.0,1.83271163937e-11,-4.43839759521e-25,1.93693634208e-11
9e-10,1.57963e-07,1.56931e-07,8.99999736352e-10,-1e+300,1.88669771598e-23,2.58217925294e-25,(1.63613744161e-11 9.66807380592e-28 -8.32012210377e-13),8.99999736352e-10,0.0,0.0,-3.89312271976e-08,2.27976288992e-11,4.01517058029e-28,0.0,1.83264270215e-11,-5.17732535013e-25,1.93807129497e-11
9.99999e-10,1.57698e-07,1.56667e-07,9.99999375511e-10,-1e+300,1.8816311088700002e-23,2.61068343548e-25,(1.65430249196e-11 9.6025587936e-28 -8.2526888683e-13),9.99999375511e-10,0.0,0.0,-4.01518327002e-08,2.29071101273e-11,3.79890726546e-28,0.0,1.8325724768e-11,-5.698883068649998e-25,1.93827154945e-11
