time (s),Udown (m/s),eKinTot (j),eDissTot (J),divDevRhoTot(N),# Time,pressureForceX,pressureForceY,pressureForceZ,viscousForceX,viscousForceY,viscousForceZ,capillaryForceX,capillaryForceY,capillaryForceZ,Time,max(coordsX_Meniscus),min(coordsX_Meniscus)
1.79999877457e-09,-1e+300,2.009650045e-23,2.80849083713e-25,(1.73907202638e-11 2.07395085303e-27 -6.39118919648e-13),1.79999877457e-09,0.0,0.0,-5.03799854401e-08,2.30273781575e-11,2.73015321942e-27,0.0,1.83203105851e-11,-8.154387691700001e-25,1.88621374908e-11,1.8e-09,1.55491e-07,1.54437e-07
1.89999929733e-09,-1e+300,2.00643538463e-23,2.82421735313e-25,(1.74456882854e-11 1.86502697976e-27 -6.26467891608e-13),1.89999929733e-09,0.0,0.0,-5.20523360554e-08,2.30113209035e-11,2.79407335642e-27,0.0,1.8319873254e-11,-8.625712407389999e-25,1.88343462408e-11,1.9e-09,1.55243e-07,1.54192e-07
2.00000027442e-09,-1e+300,2.00452540699e-23,2.84241123665e-25,(1.75654075063e-11 2.51820352028e-27 -6.24727266939e-13),2.00000027442e-09,0.0,0.0,-5.35310219598e-08,2.3076306591e-11,3.69409261014e-27,0.0,1.83194540048e-11,-9.14492381673e-25,1.8806087395e-11,2e-09,1.54995e-07,1.53943e-07
2.09999729391e-09,-1e+300,2.0005619693500002e-23,2.85847363446e-25,(1.76350282845e-11 2.37672958857e-27 -6.1840862174e-13),2.09999729391e-09,0.0,0.0,-5.38350375697e-08,2.30979316369e-11,3.82216872705e-27,0.0,1.83190524083e-11,-9.66331468625e-25,1.87784611332e-11,2.1e-09,1.54752e-07,1.53702e-07
2.20000154279e-09,-1e+300,1.9970235346000001e-23,2.87289757925e-25,(1.77016385191e-11 2.47972510279e-27 -6.0857357109e-13),2.20000154279e-09,0.0,0.0,-5.54894358915e-08,2.31020570814e-11,3.87010976763e-27,0.0,1.83186576623e-11,-1.01044266466e-24,1.87497631259e-11,2.2e-09,1.5451e-07,1.53461e-07
2.29999780342e-09,-1e+300,1.99297719981e-23,2.88644930258e-25,(1.77930698425e-11 1.75389233151e-27 -6.07015141044e-13),2.29999780342e-09,0.0,0.0,-5.68595630847e-08,2.31404316812e-11,2.85857266636e-27,0.0,1.83182798598e-11,-1.0406467908e-24,1.87218814013e-11,2.3e-09,1.5427e-07,1.53218e-07
2.39999957585e-09,-1e+300,1.9891757702700002e-23,2.89946518111e-25,(1.78369015128e-11 1.83484273078e-27 -5.9620241828e-13),2.39999957585e-09,0.0,0.0,-5.84374181455e-08,2.31245655294e-11,2.55421973674e-27,0.0,1.83179126425e-11,-1.05302166471e-24,1.8694145267e-11,2.4e-09,1.54034e-07,1.52986e-07
2.49999563715e-09,-1e+300,1.9859487347700002e-23,2.91503460367e-25,(1.79222303403e-11 2.30349768651e-27 -5.92798830593e-13),2.49999563715e-09,0.0,0.0,-5.88920622939e-08,2.31688365582e-11,2.41945716125e-27,0.0,1.83175564734e-11,-1.04464605485e-24,1.86659110453e-11,2.5e-09,1.53798e-07,1.52748e-07
2.6000020069e-09,-1e+300,1.98184205162e-23,2.92766136051e-25,(1.79811388465e-11 2.87114930952e-27 -5.87886919022e-13),2.6000020069e-09,0.0,0.0,-6.00171220853e-08,2.3177601693e-11,2.77304980039e-27,0.0,1.83172170793e-11,-1.0143362812e-24,1.86388547473e-11,2.6e-09,1.53565e-07,1.52518e-07
2.69999781157e-09,-1e+300,1.97712821422e-23,2.93942335356e-25,(1.80301770701e-11 3.25099088249e-27 -5.79007781663e-13),2.69999781157e-09,0.0,0.0,-6.11085020972e-08,2.31760875475e-11,3.19867301686e-27,0.0,1.8316889336e-11,-9.64042283905e-25,1.86111866835e-11,2.7e-09,1.53334e-07,1.52286e-07
