Time,max(CACoordsX),min(CACoordsX)
1.4e-08,1.33905e-07,1.3369e-07
1.41e-08,1.33773e-07,1.33558e-07
1.42e-08,1.33642e-07,1.33426e-07
1.43e-08,1.33512e-07,1.33296e-07
1.44e-08,1.3338e-07,1.33165e-07
1.45e-08,1.33251e-07,1.33035e-07
1.46e-08,1.33121e-07,1.32906e-07
1.47e-08,1.32991e-07,1.32776e-07
1.48e-08,1.32863e-07,1.32647e-07
1.49e-08,1.32734e-07,1.32519e-07
1.5e-08,1.32605e-07,1.32389e-07
1.51e-08,1.32478e-07,1.32263e-07
1.52e-08,1.3235e-07,1.32135e-07
1.53e-08,1.32222e-07,1.32007e-07
1.54e-08,1.32096e-07,1.31881e-07
1.55e-08,1.31969e-07,1.31754e-07
1.56e-08,1.31843e-07,1.31628e-07
1.57e-08,1.31717e-07,1.31503e-07
1.58e-08,1.31591e-07,1.31376e-07
1.59e-08,1.31467e-07,1.31252e-07
1.6e-08,1.31342e-07,1.31127e-07
1.61e-08,1.31216e-07,1.31001e-07
1.62e-08,1.31093e-07,1.30879e-07
1.63e-08,1.30969e-07,1.30754e-07
1.64e-08,1.30845e-07,1.30631e-07
1.65e-08,1.30722e-07,1.30508e-07
1.66e-08,1.30598e-07,1.30384e-07
1.67e-08,1.30477e-07,1.30262e-07
1.68e-08,1.30354e-07,1.3014e-07
1.69e-08,1.30232e-07,1.30017e-07
1.7e-08,1.30111e-07,1.29897e-07
1.71e-08,1.29988e-07,1.29774e-07
1.72e-08,1.29868e-07,1.29654e-07
1.73e-08,1.29747e-07,1.29533e-07
1.74e-08,1.29626e-07,1.29412e-07
1.75e-08,1.29507e-07,1.29293e-07
1.76e-08,1.29386e-07,1.29172e-07
1.77e-08,1.29267e-07,1.29053e-07
1.78e-08,1.29148e-07,1.28934e-07
1.79e-08,1.29028e-07,1.28814e-07
1.8e-08,1.2891e-07,1.28696e-07
1.81e-08,1.2879e-07,1.28577e-07
1.82e-08,1.28673e-07,1.28459e-07
1.83e-08,1.28555e-07,1.28341e-07
1.84e-08,1.28437e-07,1.28223e-07
1.85e-08,1.2832e-07,1.28107e-07
1.86e-08,1.28202e-07,1.27988e-07
1.87e-08,1.28086e-07,1.27872e-07
1.88e-08,1.27969e-07,1.27755e-07
1.89e-08,1.27853e-07,1.27639e-07
1.9e-08,1.27737e-07,1.27524e-07
1.91e-08,1.27621e-07,1.27406e-07
1.92e-08,1.27506e-07,1.27292e-07
1.93e-08,1.2739e-07,1.27176e-07
1.94e-08,1.27276e-07,1.27062e-07
1.95e-08,1.2716e-07,1.26947e-07
1.96e-08,1.27046e-07,1.26832e-07
1.97e-08,1.26957e-07,1.26718e-07
1.98e-08,1.26884e-07,1.26603e-07
1.99e-08,1.2681e-07,1.26491e-07
2e-08,1.26623e-07,1.26376e-07
2.01e-08,1.26502e-07,1.26264e-07
2.02e-08,1.26388e-07,1.2615e-07
2.03e-08,1.26276e-07,1.26037e-07
2.04e-08,1.26163e-07,1.25925e-07
2.05e-08,1.26051e-07,1.25812e-07
2.06e-08,1.25939e-07,1.25701e-07
2.07e-08,1.25827e-07,1.25588e-07
