time (s),Udown (m/s),eKinTot (j),eDissTot (J),divDevRhoTot(N)
4.49999882644e-09,-1e+300,1.89037542824e-23,3.10410288885e-25,(1.87992928676e-11 -6.01636253783e-28 -4.96774846368e-13)
4.60000029004e-09,-1e+300,1.8850573691500002e-23,3.1128649404199997e-25,(1.88168150115e-11 -5.37060031921e-28 -4.91424164483e-13)
4.69999951818e-09,-1e+300,1.88008819274e-23,3.11905679885e-25,(1.8856045386e-11 -2.00825904335e-28 -4.88906493485e-13)
4.80000179961e-09,-1e+300,1.87480007519e-23,3.1264250824599997e-25,(1.8874297489e-11 -7.33277723102e-29 -4.84031983045e-13)
4.89999902118e-09,-1e+300,1.86991443144e-23,3.13127289306e-25,(1.89128794855e-11 2.14144474428e-28 -4.81601287578e-13)
4.99999841045e-09,-1e+300,1.8644166676e-23,3.1391886545e-25,(1.89273897466e-11 4.62567675239e-28 -4.76886016419e-13)
5.10000387837e-09,-1e+300,1.85968310647e-23,3.14475923103e-25,(1.89649372627e-11 5.78366326392e-28 -4.74210913913e-13)
5.20000506236e-09,-1e+300,1.85405013435e-23,3.1506298388000003e-25,(1.89775804665e-11 6.55078413959e-28 -4.7014795219e-13)
5.29999615906e-09,-1e+300,1.8494819185100002e-23,3.15729286722e-25,(1.9014422888e-11 3.09087423843e-28 -4.66790629887e-13)
5.40000482211e-09,-1e+300,1.84360622545e-23,3.1608158752000003e-25,(1.90236211934e-11 -7.42967193403e-29 -4.6334941721e-13)
5.5000009555e-09,-1e+300,1.83933004243e-23,3.1679814886099997e-25,(1.90634383451e-11 -5.25743352155e-28 -4.59506503109e-13)
5.60000525207e-09,-1e+300,1.83299846759e-23,3.17147761631e-25,(1.90643442876e-11 -9.69101803929e-28 -4.56641150068e-13)
5.70000462687e-09,-1e+300,1.82906506183e-23,3.17995513386e-25,(1.91071853462e-11 -1.11716779698e-27 -4.52113660269e-13)
5.80000181982e-09,-1e+300,1.82230619784e-23,3.1825620934299997e-25,(1.90998355794e-11 -1.04872296793e-27 -4.49777145255e-13)
5.89999513205e-09,-1e+300,1.81874340994e-23,3.1906756943e-25,(1.91485626997e-11 -4.52837113746e-28 -4.4568071081e-13)
6.00000041925e-09,-1e+300,1.8121687012100002e-23,3.1934715975399997e-25,(1.91448007233e-11 5.88497890042e-29 -4.43870810081e-13)
6.09999598206e-09,-1e+300,1.80862636218e-23,3.20000493868e-25,(1.9188086329e-11 2.55662475879e-28 -4.39354868402e-13)
6.19999511349e-09,-1e+300,1.80226642607e-23,3.20288760251e-25,(1.91915623894e-11 2.85002696867e-28 -4.3826924769e-13)
6.29999445248e-09,-1e+300,1.79845771559e-23,3.2101905367899996e-25,(1.92221322751e-11 1.24717834923e-29 -4.34147812058e-13)
6.40000283984e-09,-1e+300,1.79295780324e-23,3.2126250274199997e-25,(1.92354962039e-11 -3.27718495895e-28 -4.3235430382e-13)
6.49999937323e-09,-1e+300,1.78810498543e-23,3.21962770045e-25,(1.92516417233e-11 -5.56371778467e-28 -4.28246383782e-13)
6.60000363366e-09,-1e+300,1.7833719624200002e-23,3.22350826896e-25,(1.92744322412e-11 -7.12616106731e-28 -4.25626816618e-13)
6.69999782618e-09,-1e+300,1.77763726216e-23,3.2270163722599997e-25,(1.92785191498e-11 -8.6485726611e-28 -4.22448732549e-13)
6.79999696727e-09,-1e+300,1.7735705779e-23,3.2328122200299998e-25,(1.93104322228e-11 -1.04852359485e-27 -4.19452896227e-13)
6.899995368e-09,-1e+300,1.7669935418900002e-23,3.23448503286e-25,(1.92991154606e-11 -1.05957533215e-27 -4.16515169583e-13)
7.00000297966e-09,-1e+300,1.76393677398e-23,3.24142947255e-25,(1.9342347761e-11 -9.43527436257e-28 -4.13656563306e-13)
7.10000252564e-09,-1e+300,1.75773824425e-23,3.2431904243899998e-25,(1.93399801683e-11 -8.59371449217e-28 -4.11857396891e-13)
7.1999993215e-09,-1e+300,1.7540357523800002e-23,3.2478407078199997e-25,(1.9370581725e-11 -3.87992927942e-28 -4.09098025453e-13)
7.30000451808e-09,-1e+300,1.7487872568800002e-23,3.25196453796e-25,(1.93796967102e-11 1.03263742499e-28 -4.0651047354e-13)
7.39999599903e-09,-1e+300,1.74374492964e-23,3.25576617652e-25,(1.93906079811e-11 3.69344162632e-28 -4.03662876198e-13)
7.4999957483e-09,-1e+300,1.73953025535e-23,3.26066620498e-25,(1.94130755127e-11 4.70685662773e-28 -4.0098618478e-13)
7.59999951845e-09,-1e+300,1.7333352950900002e-23,3.26029219783e-25,(1.94065632032e-11 4.04042647586e-28 -3.97945039381e-13)
7.6999953293e-09,-1e+300,1.7302702125700002e-23,3.26819450458e-25,(1.94416104103e-11 2.47672078046e-28 -3.9595318693e-13)
7.79999657284e-09,-1e+300,1.72432647058e-23,3.26978382435e-25,(1.94370282896e-11 6.06358877142e-30 -3.93384839745e-13)
7.89999752803e-09,-1e+300,1.72051740419e-23,3.27552581165e-25,(1.94623500927e-11 -1.42326782511e-28 -3.91192188475e-13)
8.00000501336e-09,-1e+300,1.7157076221400002e-23,3.27697469702e-25,(1.94740930254e-11 -8.06590710229e-29 -3.884956403e-13)
8.09999663379e-09,-1e+300,1.71045795417e-23,3.27883980264e-25,(1.94791420097e-11 -1.00650532444e-28 -3.86026597e-13)
8.19999739048e-09,-1e+300,1.70688843266e-23,3.2852237671499997e-25,(1.95028809832e-11 -3.06220686984e-31 -3.84000882149e-13)
8.30000552239e-09,-1e+300,1.70059699878e-23,3.28527208755e-25,(1.94906806177e-11 -2.43288215049e-29 -3.80498942984e-13)
8.399997002e-09,-1e+300,1.69757337774e-23,3.29151569662e-25,(1.95246857193e-11 3.12876787638e-29 -3.79312580057e-13)
8.50000428147e-09,-1e+300,1.6924747385e-23,3.2926981621499997e-25,(1.95282292968e-11 -6.4163678882e-29 -3.76362438218e-13)
8.60000302244e-09,-1e+300,1.6877005237600002e-23,3.2972283780299997e-25,(1.95371781825e-11 5.4538650189e-29 -3.74464404556e-13)
8.70000472355e-09,-1e+300,1.6840162640300002e-23,3.3009600323000002e-25,(1.95566784717e-11 9.4983163553e-29 -3.72508365497e-13)
