time (s),Udown (m/s),eKinTot (j),eDissTot (J),divDevRhoTot(N)
1.00000869162e-10,-1e+300,1.8211217057900002e-23,2.41252801683e-25,(1.51713731279e-11 2.86149890369e-28 -9.89720467734e-13)
2.00002058893e-10,-1e+300,1.9797583342900002e-23,2.3271271586000003e-25,(1.49701749372e-11 1.52152917014e-28 -7.30490088425e-13)
2.99999406401e-10,-1e+300,1.9792170071700002e-23,2.34216310827e-25,(1.49417702666e-11 -2.42745241196e-29 -7.02520959384e-13)
4.00002676253e-10,-1e+300,1.9553536641800002e-23,2.36092799965e-25,(1.49711709598e-11 -1.96542248426e-28 -6.94346550201e-13)
5.00003139996e-10,-1e+300,1.92588518062e-23,2.37823229502e-25,(1.50366945515e-11 -1.05687110796e-27 -6.89051401254e-13)
6.00000519269e-10,-1e+300,1.89691040233e-23,2.39476895191e-25,(1.50795334969e-11 -1.23258307137e-27 -6.78098493584e-13)
6.99997257841e-10,-1e+300,1.86899077743e-23,2.40922225753e-25,(1.51133068313e-11 -1.11197949167e-27 -6.61987916293e-13)
7.99997716191e-10,-1e+300,1.84369877965e-23,2.42471932051e-25,(1.51972631085e-11 -1.03819189641e-28 -6.52213449375e-13)
9.00000129319e-10,-1e+300,1.8216842904000002e-23,2.43811078059e-25,(1.52507690075e-11 5.2431418892e-28 -6.39730918011e-13)
9.99998140382e-10,-1e+300,1.79925811761e-23,2.44794173468e-25,(1.52748272635e-11 8.49495692087e-28 -6.20453155296e-13)
1.10000191644e-09,-1e+300,1.77934990799e-23,2.4581930088e-25,(1.53569385646e-11 1.76176597451e-27 -6.09664416371e-13)
1.20000154804e-09,-1e+300,1.7631623339100002e-23,2.46834624303e-25,(1.54050256266e-11 2.9244395694e-27 -5.96284854236e-13)
1.30000044116e-09,-1e+300,1.744760885e-23,2.47291533064e-25,(1.54323894054e-11 4.20542666901e-27 -5.80063571617e-13)
1.39999584052e-09,-1e+300,1.7312126463e-23,2.48198569927e-25,(1.55074103257e-11 4.78602653089e-27 -5.66707392491e-13)
1.49999984301e-09,-1e+300,1.7167936673400002e-23,2.48774017214e-25,(1.55443082454e-11 4.5548207635e-27 -5.50530486483e-13)
1.60000410783e-09,-1e+300,1.70260178018e-23,2.49167669756e-25,(1.55880748877e-11 3.7800769494e-27 -5.36458346546e-13)
1.70000178906e-09,-1e+300,1.6923882332300002e-23,2.50059225621e-25,(1.5648129812e-11 2.95787986703e-27 -5.19303587041e-13)
1.80000230782e-09,-1e+300,1.6780199044e-23,2.50203820142e-25,(1.56668204221e-11 2.11179324333e-27 -5.03694599713e-13)
