Time,max(coordsX),min(coordsX)
1.00002e-10,1.60059e-07,1.59821e-07
1.99998e-10,1.6002e-07,1.59751e-07
2.99999e-10,1.59964e-07,1.59689e-07
3.99998e-10,1.59905e-07,1.59628e-07
4.99996e-10,1.59846e-07,1.59567e-07
6e-10,1.59788e-07,1.59508e-07
7.00001e-10,1.59729e-07,1.59447e-07
8.00004e-10,1.59671e-07,1.59387e-07
9.00004e-10,1.59613e-07,1.59327e-07
1.00001e-09,1.59555e-07,1.59268e-07
1.1e-09,1.59497e-07,1.59207e-07
1.2e-09,1.59439e-07,1.59148e-07
1.3e-09,1.59381e-07,1.59088e-07
1.4e-09,1.59323e-07,1.59028e-07
1.5e-09,1.59266e-07,1.58968e-07
1.6e-09,1.59209e-07,1.58908e-07
1.7e-09,1.59151e-07,1.58849e-07
1.8e-09,1.59094e-07,1.58789e-07
1.9e-09,1.59038e-07,1.5873e-07
2e-09,1.58981e-07,1.58671e-07
2.1e-09,1.58924e-07,1.58612e-07
2.2e-09,1.58868e-07,1.58553e-07
2.3e-09,1.58812e-07,1.58495e-07
2.4e-09,1.58756e-07,1.58436e-07
2.5e-09,1.587e-07,1.58377e-07
2.6e-09,1.58644e-07,1.58319e-07
2.7e-09,1.58589e-07,1.58261e-07
2.8e-09,1.58533e-07,1.58203e-07
2.9e-09,1.58477e-07,1.58145e-07
3e-09,1.58422e-07,1.58087e-07
3.1e-09,1.58366e-07,1.58028e-07
3.2e-09,1.5831e-07,1.5797e-07
3.3e-09,1.58254e-07,1.57913e-07
3.4e-09,1.58199e-07,1.57855e-07
3.5e-09,1.58143e-07,1.57797e-07
3.6e-09,1.58088e-07,1.5774e-07
3.7e-09,1.58033e-07,1.57684e-07
3.8e-09,1.57978e-07,1.57628e-07
3.9e-09,1.57924e-07,1.57571e-07
4e-09,1.57869e-07,1.57515e-07
4.1e-09,1.57814e-07,1.57459e-07
4.2e-09,1.57759e-07,1.57403e-07
4.3e-09,1.57704e-07,1.57346e-07
4.4e-09,1.57649e-07,1.57288e-07
4.5e-09,1.57594e-07,1.5723e-07
4.6e-09,1.57539e-07,1.57172e-07
4.7e-09,1.57485e-07,1.57115e-07
4.8e-09,1.5743e-07,1.57058e-07
4.9e-09,1.57375e-07,1.57e-07
5e-09,1.57321e-07,1.56944e-07
5.1e-09,1.57267e-07,1.56888e-07
5.2e-09,1.57212e-07,1.5683e-07
5.3e-09,1.57158e-07,1.56774e-07
5.4e-09,1.57104e-07,1.56719e-07
5.5e-09,1.5705e-07,1.56664e-07
5.6e-09,1.56997e-07,1.56607e-07
5.7e-09,1.56943e-07,1.56552e-07
5.8e-09,1.5689e-07,1.56498e-07
5.9e-09,1.56836e-07,1.56443e-07
6e-09,1.56783e-07,1.56388e-07
6.09999e-09,1.5673e-07,1.56334e-07
6.2e-09,1.56678e-07,1.56281e-07
6.3e-09,1.56625e-07,1.56227e-07
6.4e-09,1.56573e-07,1.56173e-07
6.50001e-09,1.56521e-07,1.5612e-07
6.6e-09,1.56469e-07,1.56068e-07
