Time,max(coordsX),min(coordsX)
1.00005e-10,1.6006e-07,1.59826e-07
1.99998e-10,1.6002e-07,1.59758e-07
2.99999e-10,1.59963e-07,1.59697e-07
3.99999e-10,1.59904e-07,1.59636e-07
5.00003e-10,1.59844e-07,1.59576e-07
5.99995e-10,1.59784e-07,1.59516e-07
7.00002e-10,1.59724e-07,1.59456e-07
8.00004e-10,1.59664e-07,1.59395e-07
9.00001e-10,1.59603e-07,1.59335e-07
9.99995e-10,1.59543e-07,1.59275e-07
1.1e-09,1.59482e-07,1.59214e-07
1.2e-09,1.59422e-07,1.59153e-07
1.3e-09,1.59361e-07,1.59092e-07
1.4e-09,1.593e-07,1.59031e-07
1.5e-09,1.59239e-07,1.5897e-07
1.6e-09,1.59178e-07,1.58909e-07
1.69999e-09,1.59118e-07,1.58848e-07
1.79999e-09,1.59057e-07,1.58786e-07
1.9e-09,1.58996e-07,1.58725e-07
2e-09,1.58935e-07,1.58664e-07
2.1e-09,1.58874e-07,1.58603e-07
2.2e-09,1.58814e-07,1.58542e-07
2.3e-09,1.58753e-07,1.58481e-07
2.4e-09,1.58692e-07,1.5842e-07
2.5e-09,1.58632e-07,1.5836e-07
2.6e-09,1.58572e-07,1.58299e-07
2.7e-09,1.58512e-07,1.58239e-07
2.8e-09,1.58453e-07,1.58179e-07
2.89999e-09,1.58393e-07,1.58119e-07
3e-09,1.58333e-07,1.5806e-07
3.1e-09,1.58274e-07,1.58e-07
3.2e-09,1.58215e-07,1.57941e-07
3.3e-09,1.58156e-07,1.57882e-07
3.4e-09,1.58097e-07,1.57823e-07
3.49999e-09,1.58038e-07,1.57765e-07
3.6e-09,1.5798e-07,1.57707e-07
3.69999e-09,1.57921e-07,1.57649e-07
3.80001e-09,1.57863e-07,1.57591e-07
3.9e-09,1.57804e-07,1.57534e-07
4e-09,1.57745e-07,1.57477e-07
4.1e-09,1.57687e-07,1.57419e-07
4.2e-09,1.57628e-07,1.57361e-07
4.3e-09,1.5757e-07,1.57303e-07
4.4e-09,1.57511e-07,1.57244e-07
4.5e-09,1.57452e-07,1.57186e-07
4.59999e-09,1.57394e-07,1.57128e-07
4.7e-09,1.57335e-07,1.5707e-07
