Time,max(coordsX),min(coordsX)
1.00002e-10,1.60133e-07,1.59468e-07
1.99998e-10,1.59981e-07,1.59251e-07
2.99998e-10,1.59791e-07,1.59055e-07
3.99998e-10,1.59598e-07,1.58863e-07
5.00001e-10,1.59408e-07,1.58672e-07
5.99998e-10,1.59219e-07,1.58484e-07
6.99999e-10,1.59032e-07,1.58297e-07
7.99999e-10,1.58847e-07,1.58112e-07
8.99998e-10,1.58664e-07,1.57929e-07
1e-09,1.58482e-07,1.57747e-07
1.1e-09,1.58302e-07,1.57566e-07
1.2e-09,1.58123e-07,1.57387e-07
1.3e-09,1.57945e-07,1.57209e-07
1.4e-09,1.57769e-07,1.57033e-07
1.5e-09,1.57594e-07,1.56858e-07
1.6e-09,1.57419e-07,1.56684e-07
1.7e-09,1.57246e-07,1.56511e-07
1.8e-09,1.57074e-07,1.56338e-07
1.9e-09,1.56903e-07,1.56167e-07
2e-09,1.56733e-07,1.55996e-07
2.1e-09,1.56563e-07,1.55827e-07
2.2e-09,1.56395e-07,1.55659e-07
2.3e-09,1.56227e-07,1.55492e-07
2.4e-09,1.56061e-07,1.55325e-07
2.5e-09,1.55895e-07,1.55159e-07
2.6e-09,1.55729e-07,1.54993e-07
2.7e-09,1.55565e-07,1.54829e-07
2.8e-09,1.55402e-07,1.54666e-07
2.9e-09,1.55239e-07,1.54503e-07
3e-09,1.55077e-07,1.5434e-07
3.1e-09,1.54915e-07,1.54178e-07
3.2e-09,1.54755e-07,1.54018e-07
3.3e-09,1.54595e-07,1.53858e-07
3.4e-09,1.54436e-07,1.53699e-07
3.5e-09,1.54278e-07,1.5354e-07
3.6e-09,1.5412e-07,1.53382e-07
3.7e-09,1.53963e-07,1.53225e-07
3.8e-09,1.53807e-07,1.53069e-07
3.9e-09,1.53651e-07,1.52914e-07
4e-09,1.53497e-07,1.52758e-07
4.1e-09,1.53342e-07,1.52603e-07
4.2e-09,1.53189e-07,1.52451e-07
4.3e-09,1.53036e-07,1.52298e-07
4.4e-09,1.52884e-07,1.52146e-07
4.5e-09,1.52733e-07,1.51994e-07
4.6e-09,1.52582e-07,1.51844e-07
4.7e-09,1.52432e-07,1.51694e-07
4.8e-09,1.52282e-07,1.51544e-07
4.9e-09,1.52133e-07,1.51394e-07
5e-09,1.51985e-07,1.51246e-07
5.1e-09,1.51837e-07,1.51099e-07
5.2e-09,1.51689e-07,1.50951e-07
5.3e-09,1.51542e-07,1.50803e-07
5.4e-09,1.51395e-07,1.50657e-07
5.5e-09,1.51249e-07,1.50511e-07
5.6e-09,1.51103e-07,1.50365e-07
5.7e-09,1.50958e-07,1.5022e-07
5.8e-09,1.50813e-07,1.50076e-07
5.9e-09,1.50668e-07,1.49932e-07
6e-09,1.50524e-07,1.49787e-07
6.1e-09,1.50381e-07,1.49644e-07
6.2e-09,1.50237e-07,1.49502e-07
6.3e-09,1.50095e-07,1.49359e-07
6.4e-09,1.49953e-07,1.49217e-07
6.5e-09,1.49812e-07,1.49077e-07
6.6e-09,1.49671e-07,1.48936e-07
6.7e-09,1.49532e-07,1.48796e-07
6.8e-09,1.49393e-07,1.48658e-07
6.9e-09,1.49254e-07,1.4852e-07
7e-09,1.49117e-07,1.48381e-07
