Time,max(coordsX),min(coordsX)
1.00003e-10,1.60129e-07,1.59461e-07
2.00001e-10,1.59978e-07,1.59249e-07
3.00001e-10,1.59793e-07,1.59059e-07
3.99997e-10,1.59608e-07,1.58876e-07
5e-10,1.59426e-07,1.58696e-07
6.00003e-10,1.59249e-07,1.58519e-07
6.99997e-10,1.59074e-07,1.58345e-07
7.99999e-10,1.58903e-07,1.58173e-07
9e-10,1.58735e-07,1.58004e-07
1e-09,1.58569e-07,1.57837e-07
1.1e-09,1.58405e-07,1.57672e-07
1.2e-09,1.58243e-07,1.57509e-07
1.3e-09,1.58083e-07,1.57346e-07
1.4e-09,1.57925e-07,1.57185e-07
1.5e-09,1.57769e-07,1.57026e-07
1.6e-09,1.57614e-07,1.56868e-07
1.7e-09,1.5746e-07,1.56711e-07
1.8e-09,1.57307e-07,1.56555e-07
1.9e-09,1.57156e-07,1.564e-07
2e-09,1.57007e-07,1.56247e-07
2.1e-09,1.56858e-07,1.56094e-07
2.2e-09,1.5671e-07,1.55943e-07
2.3e-09,1.56564e-07,1.55791e-07
2.4e-09,1.56419e-07,1.55642e-07
2.5e-09,1.56274e-07,1.55494e-07
2.6e-09,1.56131e-07,1.55346e-07
2.7e-09,1.55989e-07,1.55199e-07
2.8e-09,1.55848e-07,1.55053e-07
2.9e-09,1.55707e-07,1.54909e-07
3e-09,1.55567e-07,1.54764e-07
3.1e-09,1.55429e-07,1.5462e-07
