time (s),Udown (m/s),eKinTot (j),eDissTot (J),divDevRhoTot(N)
9.99966047625e-11,-1e+300,1.71811327163e-23,2.4502144389199997e-25,(1.55408903542e-11 1.09200222022e-27 -1.14979511147e-12)
2.00001366333e-10,-1e+300,1.89754753793e-23,2.34190745581e-25,(1.53163777622e-11 6.14359707467e-28 -8.54587894527e-13)
2.99997300798e-10,-1e+300,1.90519223338e-23,2.3556344758e-25,(1.531083467e-11 3.70089140469e-28 -8.22078981515e-13)
4.00003063044e-10,-1e+300,1.8917003033e-23,2.38418677902e-25,(1.54115067217e-11 4.49640166594e-28 -8.16761882116e-13)
4.99996848694e-10,-1e+300,1.86906346447e-23,2.40800523946e-25,(1.54944860479e-11 4.49479009536e-28 -8.07928275223e-13)
6.00001955828e-10,-1e+300,1.84311211299e-23,2.42562952063e-25,(1.55635223524e-11 -2.88180122255e-28 -7.95713557577e-13)
6.99997773114e-10,-1e+300,1.8233897335600002e-23,2.44992638033e-25,(1.5694371999e-11 -4.38915994408e-29 -7.87910261406e-13)
8.00000409493e-10,-1e+300,1.80558014774e-23,2.47139299121e-25,(1.57942311273e-11 2.80541744887e-28 -7.76452705788e-13)
8.99997822326e-10,-1e+300,1.78533892092e-23,2.48643337752e-25,(1.58582729539e-11 7.10091120654e-28 -7.61975824565e-13)
9.99997884288e-10,-1e+300,1.77262260763e-23,2.50900819911e-25,(1.59883317211e-11 8.60717742214e-28 -7.53604474339e-13)
1.09999880272e-09,-1e+300,1.75973777266e-23,2.52793218184e-25,(1.60764649604e-11 1.28956077338e-27 -7.42203554291e-13)
1.19999953406e-09,-1e+300,1.74400113727e-23,2.53964154423e-25,(1.6137209345e-11 1.9983242833e-27 -7.28787357685e-13)
1.30000110609e-09,-1e+300,1.73662819593e-23,2.5609578906399997e-25,(1.62521012997e-11 2.92943915385e-27 -7.20561406789e-13)
1.39999922242e-09,-1e+300,1.7251587883100002e-23,2.57501722528e-25,(1.63172884756e-11 3.59187379704e-27 -7.09609480604e-13)
1.49999887693e-09,-1e+300,1.7147479854000002e-23,2.5874417040899997e-25,(1.63873763374e-11 3.9251092353e-27 -6.98711035121e-13)
1.59999665277e-09,-1e+300,1.70811728448e-23,2.60448948663e-25,(1.64768426589e-11 3.50730024121e-27 -6.90740170389e-13)
