Time,max(CACoordsX),min(CACoordsX)
1.38e-08,1.3537e-07,1.35019e-07
1.39e-08,1.35239e-07,1.34888e-07
1.4e-08,1.35109e-07,1.34757e-07
1.41e-08,1.34982e-07,1.34631e-07
1.42e-08,1.34852e-07,1.34502e-07
1.43e-08,1.34723e-07,1.34371e-07
1.44e-08,1.34597e-07,1.34247e-07
1.45e-08,1.34468e-07,1.34119e-07
1.46e-08,1.3434e-07,1.33988e-07
1.47e-08,1.34215e-07,1.33865e-07
1.48e-08,1.34088e-07,1.33739e-07
1.49e-08,1.3396e-07,1.33609e-07
1.5e-08,1.33836e-07,1.33486e-07
1.51e-08,1.3371e-07,1.33362e-07
1.52e-08,1.33583e-07,1.33234e-07
1.53e-08,1.3346e-07,1.33111e-07
1.54e-08,1.33336e-07,1.32988e-07
1.55e-08,1.33209e-07,1.32862e-07
1.56e-08,1.33086e-07,1.32737e-07
1.57e-08,1.32964e-07,1.32617e-07
1.58e-08,1.32839e-07,1.32492e-07
1.59e-08,1.32716e-07,1.32367e-07
1.6e-08,1.32595e-07,1.32248e-07
1.61e-08,1.32471e-07,1.32125e-07
1.62e-08,1.32348e-07,1.31999e-07
1.63e-08,1.32228e-07,1.31881e-07
1.64e-08,1.32106e-07,1.31761e-07
1.65e-08,1.31982e-07,1.31636e-07
1.66e-08,1.31864e-07,1.31517e-07
1.67e-08,1.31744e-07,1.31399e-07
1.68e-08,1.31621e-07,1.31277e-07
1.69e-08,1.31502e-07,1.31155e-07
1.7e-08,1.31383e-07,1.31039e-07
1.71e-08,1.31263e-07,1.30919e-07
1.72e-08,1.31143e-07,1.30795e-07
1.73e-08,1.31026e-07,1.30681e-07
1.74e-08,1.30907e-07,1.30563e-07
1.75e-08,1.30786e-07,1.30442e-07
1.76e-08,1.3067e-07,1.30325e-07
1.77e-08,1.30553e-07,1.3021e-07
1.78e-08,1.30433e-07,1.30091e-07
1.79e-08,1.30316e-07,1.29971e-07
1.8e-08,1.30201e-07,1.29858e-07
1.81e-08,1.30084e-07,1.29742e-07
1.82e-08,1.29965e-07,1.29621e-07
1.83e-08,1.29851e-07,1.29508e-07
1.84e-08,1.29736e-07,1.29394e-07
1.85e-08,1.29618e-07,1.29277e-07
1.86e-08,1.29503e-07,1.29159e-07
1.87e-08,1.2939e-07,1.29048e-07
1.88e-08,1.29274e-07,1.28933e-07
1.89e-08,1.29158e-07,1.28814e-07
1.9e-08,1.29045e-07,1.28703e-07
1.91e-08,1.28931e-07,1.28591e-07
1.92e-08,1.28815e-07,1.28475e-07
1.93e-08,1.28703e-07,1.2836e-07
1.94e-08,1.28591e-07,1.2825e-07
1.95e-08,1.28477e-07,1.28137e-07
1.96e-08,1.28362e-07,1.28021e-07
1.97e-08,1.28252e-07,1.2791e-07
1.98e-08,1.2814e-07,1.278e-07
1.99e-08,1.28025e-07,1.27687e-07
2e-08,1.27914e-07,1.27572e-07
2.01e-08,1.27804e-07,1.27464e-07
2.02e-08,1.27692e-07,1.27354e-07
2.03e-08,1.27579e-07,1.2724e-07
2.04e-08,1.2747e-07,1.27129e-07
2.05e-08,1.2736e-07,1.27021e-07
2.06e-08,1.27248e-07,1.2691e-07
2.07e-08,1.27137e-07,1.26796e-07
2.08e-08,1.27029e-07,1.2669e-07
2.09e-08,1.26919e-07,1.26582e-07
2.1e-08,1.26807e-07,1.2647e-07
2.11e-08,1.267e-07,1.26359e-07
2.12e-08,1.26592e-07,1.26254e-07
2.13e-08,1.26482e-07,1.26145e-07
2.14e-08,1.26371e-07,1.26034e-07
2.15e-08,1.26265e-07,1.25926e-07
2.16e-08,1.26158e-07,1.25821e-07
2.17e-08,1.26048e-07,1.25712e-07
2.18e-08,1.2594e-07,1.256e-07
2.19e-08,1.25834e-07,1.25497e-07
2.2e-08,1.25727e-07,1.25391e-07
2.21e-08,1.25618e-07,1.25283e-07
2.22e-08,1.25512e-07,1.25173e-07
2.23e-08,1.25407e-07,1.2507e-07
2.24e-08,1.253e-07,1.24965e-07
2.25e-08,1.25191e-07,1.24856e-07
2.26e-08,1.25087e-07,1.2475e-07
2.27e-08,1.24983e-07,1.24647e-07
2.28e-08,1.24876e-07,1.24542e-07
2.29e-08,1.24769e-07,1.24433e-07
2.3e-08,1.24666e-07,1.24329e-07
2.31e-08,1.24562e-07,1.24227e-07
2.32e-08,1.24456e-07,1.24122e-07
2.33e-08,1.2435e-07,1.24013e-07
2.34e-08,1.24248e-07,1.23912e-07
2.35e-08,1.24144e-07,1.2381e-07
2.36e-08,1.24039e-07,1.23705e-07
2.37e-08,1.23935e-07,1.23597e-07
2.38e-08,1.23833e-07,1.23498e-07
2.39e-08,1.2373e-07,1.23397e-07
2.4e-08,1.23625e-07,1.23292e-07
2.41e-08,1.23523e-07,1.23186e-07
2.42e-08,1.23422e-07,1.23087e-07
2.43e-08,1.23319e-07,1.22986e-07
2.44e-08,1.23215e-07,1.22882e-07
2.45e-08,1.23114e-07,1.22778e-07
2.46e-08,1.23013e-07,1.22679e-07
2.47e-08,1.22911e-07,1.22579e-07
2.48e-08,1.22807e-07,1.22476e-07
2.49e-08,1.22708e-07,1.22372e-07
2.5e-08,1.22608e-07,1.22274e-07
2.51e-08,1.22506e-07,1.22175e-07
2.52e-08,1.22403e-07,1.22072e-07
2.53e-08,1.22304e-07,1.21969e-07
2.54e-08,1.22205e-07,1.21872e-07
2.55e-08,1.22104e-07,1.21773e-07
2.56e-08,1.22001e-07,1.2167e-07
2.57e-08,1.21903e-07,1.21568e-07
2.58e-08,1.21804e-07,1.21472e-07
2.59e-08,1.21704e-07,1.21373e-07
