Time,max(CACoordsX),min(CACoordsX),max(coordsX_Meniscus),min(coordsX_Meniscus),time (s),Udown (m/s),eKinTot (j),eDissTot (J),divDevRhoTot(N),# Time,pressureForceX,pressureForceY,pressureForceZ,viscousForceX,viscousForceY,viscousForceZ,capillaryForceX,capillaryForceY,capillaryForceZ
1.4e-09,1.56037e-07,1.55688e-07,1.56715e-07,1.55688e-07,1.39999922242e-09,-1e+300,1.7251587883100002e-23,2.57501722528e-25,(1.63172884756e-11 3.59187379704e-27 -7.09609480604e-13),1.39999922242e-09,0.0,0.0,-4.21206711206e-08,2.21812195504e-11,2.41309002934e-27,0.0,1.79188534304e-11,-6.3477445992e-25,1.86034169992e-11
1.5e-09,1.55799e-07,1.55448e-07,1.56474e-07,1.55448e-07,1.49999887693e-09,-1e+300,1.7147479854000002e-23,2.58744170409e-25,(1.63873763374e-11 3.9251092353e-27 -6.98711035121e-13),1.49999887693e-09,0.0,0.0,-4.30177913414e-08,2.21794354168e-11,2.68009425562e-27,0.0,1.79001813403e-11,-6.5474256785e-25,1.85573472691e-11
1.6e-09,1.5556e-07,1.55207e-07,1.56234e-07,1.55207e-07,1.59999665277e-09,-1e+300,1.70811728448e-23,2.60448948663e-25,(1.64768426589e-11 3.50730024121e-27 -6.90740170389e-13),1.59999665277e-09,0.0,0.0,-4.38881815556e-08,2.22063133599e-11,2.60375769686e-27,0.0,1.78821401308e-11,-6.79514132546e-25,1.85115207428e-11
1.7e-09,1.55329e-07,1.54976e-07,1.56001e-07,1.54976e-07,1.69999633834e-09,-1e+300,1.69562434328e-23,2.61224221889e-25,(1.6508516835e-11 3.03975753916e-27 -6.78412546855e-13),1.69999633834e-09,0.0,0.0,-4.43873122489e-08,2.21691074264e-11,2.53538071214e-27,0.0,1.78648278528e-11,-7.08488499775e-25,1.84657890207e-11
1.8e-09,1.55096e-07,1.54741e-07,1.55765e-07,1.54741e-07,1.80000051417e-09,-1e+300,1.69140332008e-23,2.62816538813e-25,(1.66036190183e-11 2.71485869751e-27 -6.71285674431e-13),1.80000051417e-09,0.0,0.0,-4.57332552994e-08,2.22027794775e-11,2.45199217501e-27,0.0,1.78479299412e-11,-7.40455190669e-25,1.84188880817e-11
1.9e-09,1.54868e-07,1.54514e-07,1.55535e-07,1.54514e-07,1.90000418472e-09,-1e+300,1.6822578361800004e-23,2.63861412254e-25,(1.66568850258e-11 2.63920553193e-27 -6.62406147838e-13),1.90000418472e-09,0.0,0.0,-4.65306746109e-08,2.2194388749e-11,2.55124387488e-27,0.0,1.78317639017e-11,-7.7532028206e-25,1.83736507344e-11
2e-09,1.54641e-07,1.54286e-07,1.55307e-07,1.54286e-07,2.00000034788e-09,-1e+300,1.6751195355600002e-23,2.64854484505e-25,(1.67055461876e-11 2.5687029931e-27 -6.52106921738e-13),2.00000034788e-09,0.0,0.0,-4.74043845024e-08,2.2183359397e-11,2.66682560502e-27,0.0,1.78161601303e-11,-8.131816220429999e-25,1.83276310174e-11
2.1e-09,1.54416e-07,1.5406e-07,1.5508e-07,1.5406e-07,2.09999748293e-09,-1e+300,1.66918040378e-23,2.66108996828e-25,(1.67774652159e-11 2.8758474561e-27 -6.45806454091e-13),2.09999748293e-09,0.0,0.0,-4.82881501251e-08,2.22024146859e-11,3.14988994248e-27,0.0,1.7801147264e-11,-8.5315218584e-25,1.82829886236e-11
2.2e-09,1.54196e-07,1.53839e-07,1.54858e-07,1.53839e-07,2.20000206331e-09,-1e+300,1.6597351252000002e-23,2.66638918812e-25,(1.67897081381e-11 3.0683727937e-27 -6.33680033601e-13),2.20000206331e-09,0.0,0.0,-4.89531764314e-08,2.21551975678e-11,3.467443307e-27,0.0,1.77867848676e-11,-8.9306191834e-25,1.82390283364e-11
2.3e-09,1.53973e-07,1.53615e-07,1.54635e-07,1.53615e-07,2.30000284617e-09,-1e+300,1.65630908614e-23,2.67990618682e-25,(1.68784983145e-11 2.8530062346e-27 -6.29179438194e-13),2.30000284617e-09,0.0,0.0,-5.01171884224e-08,2.21943835368e-11,3.40055706251e-27,0.0,1.77728611422e-11,-9.29690688208e-25,1.81950643711e-11
2.4e-09,1.53758e-07,1.534e-07,1.54417e-07,1.534e-07,2.4000027691e-09,-1e+300,1.6471961586400002e-23,2.68579312103e-25,(1.69032659225e-11 2.50384727576e-27 -6.19997914383e-13),2.4000027691e-09,0.0,0.0,-5.0575385406e-08,2.21688599397e-11,3.14763351777e-27,0.0,1.77597087391e-11,-9.60303907387e-25,1.81532756543e-11
2.5e-09,1.5354e-07,1.5318e-07,1.54198e-07,1.5318e-07,2.49999617695e-09,-1e+300,1.64362087131e-23,2.69721025065e-25,(1.69648552083e-11 2.3520371212e-27 -6.1284345095e-13),2.49999617695e-09,0.0,0.0,-5.17619323406e-08,2.21805572744e-11,2.75513583889e-27,0.0,1.7746839393e-11,-9.81877444368e-25,1.81105672555e-11
