Time,max(CACoordsX),min(CACoordsX)
1.39e-08,1.33635e-07,1.33363e-07
1.4e-08,1.33504e-07,1.33225e-07
1.41e-08,1.33373e-07,1.33096e-07
1.42e-08,1.33239e-07,1.32966e-07
1.43e-08,1.33108e-07,1.3283e-07
1.44e-08,1.32979e-07,1.32702e-07
1.45e-08,1.32845e-07,1.32573e-07
1.46e-08,1.32716e-07,1.32438e-07
1.47e-08,1.32588e-07,1.3231e-07
1.48e-08,1.32456e-07,1.32183e-07
1.49e-08,1.32327e-07,1.3205e-07
1.5e-08,1.322e-07,1.31923e-07
1.51e-08,1.3207e-07,1.31797e-07
1.52e-08,1.31941e-07,1.31666e-07
1.53e-08,1.31816e-07,1.31538e-07
1.54e-08,1.31687e-07,1.31414e-07
1.55e-08,1.31558e-07,1.31285e-07
1.56e-08,1.31434e-07,1.31156e-07
1.57e-08,1.31308e-07,1.31034e-07
1.58e-08,1.31178e-07,1.30907e-07
1.59e-08,1.31056e-07,1.30777e-07
1.6e-08,1.30931e-07,1.30657e-07
1.61e-08,1.30802e-07,1.30532e-07
1.62e-08,1.30681e-07,1.30401e-07
1.63e-08,1.30558e-07,1.30283e-07
1.64e-08,1.30431e-07,1.3016e-07
1.65e-08,1.30309e-07,1.30032e-07
1.66e-08,1.30187e-07,1.29911e-07
1.67e-08,1.30062e-07,1.29791e-07
1.68e-08,1.29939e-07,1.29665e-07
1.69e-08,1.29819e-07,1.29542e-07
1.7e-08,1.29697e-07,1.29424e-07
1.71e-08,1.29572e-07,1.29301e-07
1.72e-08,1.29454e-07,1.29176e-07
1.73e-08,1.29333e-07,1.2906e-07
1.74e-08,1.29209e-07,1.28939e-07
1.75e-08,1.29091e-07,1.28813e-07
1.76e-08,1.28973e-07,1.28698e-07
1.77e-08,1.2885e-07,1.2858e-07
1.78e-08,1.28731e-07,1.28457e-07
1.79e-08,1.28614e-07,1.28338e-07
1.8e-08,1.28494e-07,1.28222e-07
1.81e-08,1.28373e-07,1.28103e-07
1.82e-08,1.28258e-07,1.2798e-07
1.83e-08,1.2814e-07,1.27867e-07
1.84e-08,1.28019e-07,1.2775e-07
1.85e-08,1.27904e-07,1.27628e-07
1.86e-08,1.27788e-07,1.27513e-07
1.87e-08,1.2767e-07,1.27399e-07
1.88e-08,1.27552e-07,1.2728e-07
1.89e-08,1.27438e-07,1.27161e-07
1.9e-08,1.27322e-07,1.2705e-07
1.91e-08,1.27202e-07,1.26934e-07
1.92e-08,1.2709e-07,1.26813e-07
1.93e-08,1.26976e-07,1.26702e-07
1.94e-08,1.26859e-07,1.26589e-07
1.95e-08,1.26744e-07,1.26472e-07
1.96e-08,1.26632e-07,1.26355e-07
1.97e-08,1.26517e-07,1.26245e-07
1.98e-08,1.26399e-07,1.26131e-07
1.99e-08,1.26289e-07,1.26012e-07
2e-08,1.26177e-07,1.25903e-07
2.01e-08,1.26062e-07,1.25792e-07
2.02e-08,1.25948e-07,1.25677e-07
2.03e-08,1.25838e-07,1.25562e-07
2.04e-08,1.25726e-07,1.25454e-07
2.05e-08,1.2561e-07,1.25342e-07
2.06e-08,1.25501e-07,1.25225e-07
2.07e-08,1.25391e-07,1.25116e-07
2.08e-08,1.25278e-07,1.25008e-07
2.09e-08,1.25165e-07,1.24895e-07
2.1e-08,1.25057e-07,1.2478e-07
2.11e-08,1.24947e-07,1.24674e-07
2.12e-08,1.24833e-07,1.24565e-07
2.13e-08,1.24724e-07,1.24451e-07
2.14e-08,1.24616e-07,1.24341e-07
2.15e-08,1.24506e-07,1.24235e-07
2.16e-08,1.24392e-07,1.24125e-07
2.17e-08,1.24287e-07,1.2401e-07
2.18e-08,1.24179e-07,1.23905e-07
2.19e-08,1.24068e-07,1.23799e-07
2.2e-08,1.23958e-07,1.23688e-07
2.21e-08,1.23853e-07,1.23576e-07
2.22e-08,1.23745e-07,1.23473e-07
2.23e-08,1.23634e-07,1.23366e-07
2.24e-08,1.23527e-07,1.23254e-07
2.25e-08,1.23422e-07,1.23147e-07
2.26e-08,1.23314e-07,1.23043e-07
2.27e-08,1.23203e-07,1.22936e-07
2.28e-08,1.231e-07,1.22824e-07
2.29e-08,1.22995e-07,1.2272e-07
2.3e-08,1.22887e-07,1.22617e-07
2.31e-08,1.22778e-07,1.22509e-07
2.32e-08,1.22675e-07,1.22398e-07
2.33e-08,1.2257e-07,1.22297e-07
2.34e-08,1.22463e-07,1.22194e-07
2.35e-08,1.22356e-07,1.22086e-07
2.36e-08,1.22254e-07,1.21977e-07
2.37e-08,1.22149e-07,1.21877e-07
2.38e-08,1.22042e-07,1.21774e-07
2.39e-08,1.21938e-07,1.21666e-07
2.4e-08,1.21836e-07,1.2156e-07
2.41e-08,1.21732e-07,1.2146e-07
2.42e-08,1.21624e-07,1.21357e-07
2.43e-08,1.21522e-07,1.21249e-07
2.44e-08,1.21421e-07,1.21145e-07
2.45e-08,1.21317e-07,1.21046e-07
2.46e-08,1.2121e-07,1.20943e-07
2.47e-08,1.21109e-07,1.20835e-07
2.48e-08,1.21009e-07,1.20734e-07
2.49e-08,1.20905e-07,1.20635e-07
2.5e-08,1.20799e-07,1.20532e-07
2.51e-08,1.207e-07,1.20425e-07
2.52e-08,1.206e-07,1.20325e-07
2.53e-08,1.20497e-07,1.20227e-07
2.54e-08,1.20391e-07,1.20124e-07
2.55e-08,1.20293e-07,1.20018e-07
2.56e-08,1.20193e-07,1.1992e-07
2.57e-08,1.20091e-07,1.19821e-07
2.58e-08,1.19987e-07,1.19719e-07
2.59e-08,1.19889e-07,1.19613e-07
2.6e-08,1.1979e-07,1.19517e-07
2.61e-08,1.19689e-07,1.19419e-07
2.62e-08,1.19585e-07,1.19318e-07
2.63e-08,1.19489e-07,1.19212e-07
2.64e-08,1.1939e-07,1.19116e-07
2.65e-08,1.19289e-07,1.19019e-07
2.66e-08,1.19186e-07,1.18919e-07
2.67e-08,1.1909e-07,1.18814e-07
2.68e-08,1.18993e-07,1.18719e-07
2.69e-08,1.18892e-07,1.18622e-07
2.7e-08,1.1879e-07,1.18523e-07
2.71e-08,1.18695e-07,1.18419e-07
2.72e-08,1.18598e-07,1.18324e-07
2.73e-08,1.18499e-07,1.18228e-07
