Time,max(CACoordsX),min(CACoordsX),max(Result),min(Result),max(coordsX),min(coordsX)
6.1e-09,1.45656e-07,1.4537e-07,3571050.0,-28716700.0,1.46411e-07,1.4537e-07
6.2e-09,1.45475e-07,1.45183e-07,3593010.0,-28799100.0,1.46228e-07,1.45183e-07
6.3e-09,1.45294e-07,1.45008e-07,3559240.0,-28748900.0,1.46048e-07,1.45008e-07
6.4e-09,1.45113e-07,1.44823e-07,3577410.0,-28816800.0,1.45867e-07,1.44823e-07
6.50001e-09,1.44935e-07,1.44648e-07,3571540.0,-28765800.0,1.45689e-07,1.44648e-07
6.6e-09,1.44769e-07,1.44468e-07,3495650.0,-28905800.0,1.4551e-07,1.44468e-07
6.7e-09,1.44649e-07,1.44292e-07,3474100.0,-28917100.0,1.45334e-07,1.44292e-07
6.8e-09,1.44527e-07,1.44117e-07,3421420.0,-29055200.0,1.45157e-07,1.44117e-07
6.9e-09,1.44394e-07,1.43939e-07,3363320.0,-29243300.0,1.44982e-07,1.43939e-07
7e-09,1.44086e-07,1.43768e-07,3402600.0,-29041000.0,1.44808e-07,1.43768e-07
7.1e-09,1.43879e-07,1.43588e-07,3413340.0,-29144700.0,1.44634e-07,1.43588e-07
7.2e-09,1.43706e-07,1.43422e-07,3399980.0,-29075100.0,1.44462e-07,1.43422e-07
7.3e-09,1.43532e-07,1.43246e-07,3327030.0,-29291200.0,1.44289e-07,1.43246e-07
7.4e-09,1.43364e-07,1.43078e-07,3301280.0,-29329700.0,1.44119e-07,1.43078e-07
7.5e-09,1.43189e-07,1.42908e-07,3304390.0,-29300300.0,1.43948e-07,1.42908e-07
7.60001e-09,1.43024e-07,1.42736e-07,3211670.0,-29540600.0,1.43779e-07,1.42736e-07
7.7e-09,1.42853e-07,1.42571e-07,3238470.0,-29366300.0,1.43611e-07,1.42571e-07
7.8e-09,1.42686e-07,1.42397e-07,3182090.0,-29601000.0,1.43443e-07,1.42397e-07
7.9e-09,1.4252e-07,1.42236e-07,3152710.0,-29609300.0,1.43276e-07,1.42236e-07
8e-09,1.42351e-07,1.42068e-07,3209940.0,-29514300.0,1.4311e-07,1.42068e-07
8.1e-09,1.42188e-07,1.41903e-07,3115540.0,-29727700.0,1.42945e-07,1.41903e-07
8.2e-09,1.4202e-07,1.4174e-07,3146910.0,-29582500.0,1.4278e-07,1.4174e-07
8.3e-09,1.41859e-07,1.41571e-07,3128760.0,-29720900.0,1.42616e-07,1.41571e-07
8.4e-09,1.41695e-07,1.41413e-07,3111500.0,-29675600.0,1.42453e-07,1.41413e-07
8.5e-09,1.41531e-07,1.41247e-07,3064470.0,-29817600.0,1.4229e-07,1.41247e-07
8.6e-09,1.41372e-07,1.41088e-07,3125890.0,-29702300.0,1.42129e-07,1.41088e-07
8.7e-09,1.41206e-07,1.40928e-07,3042320.0,-29802300.0,1.41968e-07,1.40928e-07
8.8e-09,1.41049e-07,1.40763e-07,3012780.0,-29863600.0,1.41808e-07,1.40763e-07
8.9e-09,1.40889e-07,1.40608e-07,3048620.0,-29803200.0,1.41648e-07,1.40608e-07
9e-09,1.40729e-07,1.40446e-07,2979880.0,-29992700.0,1.41489e-07,1.40446e-07
9.1e-09,1.40573e-07,1.4029e-07,2945650.0,-30074600.0,1.41331e-07,1.4029e-07
9.19999e-09,1.40411e-07,1.40133e-07,2989520.0,-29909800.0,1.41173e-07,1.40133e-07
9.3e-09,1.40257e-07,1.39972e-07,2920220.0,-30147900.0,1.41016e-07,1.39972e-07
9.4e-09,1.40101e-07,1.3982e-07,2969490.0,-29985600.0,1.40861e-07,1.3982e-07
9.50001e-09,1.39943e-07,1.39662e-07,2929110.0,-30089900.0,1.40704e-07,1.39662e-07
9.6e-09,1.39791e-07,1.39508e-07,2914420.0,-30149100.0,1.4055e-07,1.39508e-07
9.70001e-09,1.39633e-07,1.39355e-07,2884690.0,-30095000.0,1.40395e-07,1.39355e-07
9.80001e-09,1.39481e-07,1.39195e-07,2847560.0,-30287600.0,1.40242e-07,1.39195e-07
9.9e-09,1.39329e-07,1.39048e-07,2824970.0,-30303900.0,1.40089e-07,1.39048e-07
1e-08,1.39173e-07,1.38895e-07,2852830.0,-30216800.0,1.39936e-07,1.38895e-07
1.01e-08,1.39024e-07,1.38741e-07,2840180.0,-30310100.0,1.39784e-07,1.38741e-07
1.02e-08,1.38871e-07,1.38593e-07,2825700.0,-30259700.0,1.39633e-07,1.38593e-07
1.03e-08,1.3872e-07,1.38438e-07,2840570.0,-30287700.0,1.39482e-07,1.38438e-07
1.04e-08,1.38572e-07,1.38291e-07,2754400.0,-30468100.0,1.39333e-07,1.38291e-07
1.05e-08,1.38419e-07,1.38143e-07,2764680.0,-30343400.0,1.39183e-07,1.38143e-07
1.06e-08,1.38272e-07,1.37988e-07,2802050.0,-30418300.0,1.39034e-07,1.37988e-07
1.07e-08,1.38124e-07,1.37845e-07,2779140.0,-30395300.0,1.38886e-07,1.37845e-07
1.08e-08,1.37973e-07,1.37696e-07,2719950.0,-30467600.0,1.38737e-07,1.37696e-07
1.09e-08,1.37829e-07,1.37547e-07,2688270.0,-30613300.0,1.3859e-07,1.37547e-07
1.1e-08,1.37681e-07,1.37404e-07,2712680.0,-30502200.0,1.38444e-07,1.37404e-07
1.11e-08,1.37533e-07,1.37254e-07,2728290.0,-30499200.0,1.38287e-07,1.37254e-07
1.12e-08,1.3739e-07,1.3711e-07,2649630.0,-30685200.0,1.38142e-07,1.3711e-07
1.13e-08,1.37242e-07,1.36967e-07,2673290.0,-30550000.0,1.37996e-07,1.36967e-07
1.14e-08,1.37099e-07,1.36816e-07,2664290.0,-30646500.0,1.38e-07,1.36816e-07
1.15e-08,1.36956e-07,1.36677e-07,2652810.0,-30669600.0,1.37785e-07,1.36677e-07
1.16e-08,1.36808e-07,1.36534e-07,2618710.0,-30629800.0,1.37574e-07,1.36534e-07
1.17e-08,1.36668e-07,1.36385e-07,2662860.0,-30666800.0,1.37431e-07,1.36385e-07
1.18e-08,1.36526e-07,1.36248e-07,2616780.0,-30728700.0,1.37289e-07,1.36248e-07
1.19e-08,1.3638e-07,1.36105e-07,2616820.0,-30673400.0,1.37146e-07,1.36105e-07
1.2e-08,1.36242e-07,1.3596e-07,2553180.0,-30878900.0,1.37005e-07,1.3596e-07
1.21e-08,1.361e-07,1.35824e-07,2579160.0,-30791600.0,1.36865e-07,1.35824e-07
1.22e-08,1.35957e-07,1.35681e-07,2541570.0,-30830700.0,1.36723e-07,1.35681e-07
1.23e-08,1.3582e-07,1.3554e-07,2595330.0,-30800400.0,1.36584e-07,1.3554e-07
1.24e-08,1.35679e-07,1.35404e-07,2545810.0,-30846900.0,1.36444e-07,1.35404e-07
1.25e-08,1.35539e-07,1.35261e-07,2555640.0,-30821600.0,1.36304e-07,1.35261e-07
1.26e-08,1.35402e-07,1.35123e-07,2560820.0,-30866300.0,1.36166e-07,1.35123e-07
1.27e-08,1.35262e-07,1.34987e-07,2514680.0,-30900100.0,1.36028e-07,1.34987e-07
1.28e-08,1.35124e-07,1.34846e-07,2469220.0,-31004500.0,1.3589e-07,1.34846e-07
1.29e-08,1.34989e-07,1.3471e-07,2527210.0,-30930200.0,1.35753e-07,1.3471e-07
1.3e-08,1.34849e-07,1.34575e-07,2468060.0,-30980800.0,1.35616e-07,1.34575e-07
1.31e-08,1.34713e-07,1.34434e-07,2492560.0,-30968400.0,1.35479e-07,1.34434e-07
1.32e-08,1.34579e-07,1.34301e-07,2424700.0,-31128200.0,1.35344e-07,1.34301e-07
1.33e-08,1.34441e-07,1.34167e-07,2443550.0,-31027500.0,1.35208e-07,1.34167e-07
1.34e-08,1.34306e-07,1.34027e-07,2432000.0,-31091700.0,1.35073e-07,1.34027e-07
1.35e-08,1.34173e-07,1.33896e-07,2426880.0,-31123500.0,1.34939e-07,1.33896e-07
1.36e-08,1.34036e-07,1.33763e-07,2403100.0,-31102400.0,1.34804e-07,1.33763e-07
1.37e-08,1.33903e-07,1.33624e-07,2430000.0,-31100000.0,1.3467e-07,1.33624e-07
1.38e-08,1.33771e-07,1.33494e-07,2379990.0,-31214500.0,1.34537e-07,1.33494e-07
1.39e-08,1.33635e-07,1.33363e-07,2382890.0,-31147600.0,1.34403e-07,1.33363e-07
1.4e-08,1.33504e-07,1.33225e-07,2371080.0,-31207800.0,1.34271e-07,1.33225e-07
1.41e-08,1.33373e-07,1.33096e-07,2367110.0,-31239800.0,1.34139e-07,1.33096e-07
1.42e-08,1.33239e-07,1.32966e-07,2345290.0,-31223100.0,1.34007e-07,1.32966e-07
1.43e-08,1.33108e-07,1.3283e-07,2314980.0,-31301400.0,1.33875e-07,1.3283e-07
1.44e-08,1.32979e-07,1.32702e-07,2322940.0,-31323500.0,1.33745e-07,1.32702e-07
1.45e-08,1.32845e-07,1.32573e-07,2334050.0,-31257400.0,1.33614e-07,1.32573e-07
1.46e-08,1.32716e-07,1.32438e-07,2286330.0,-31352800.0,1.33484e-07,1.32438e-07
1.47e-08,1.32588e-07,1.3231e-07,2331820.0,-31309100.0,1.33354e-07,1.3231e-07
1.48e-08,1.32456e-07,1.32183e-07,2305260.0,-31321600.0,1.33225e-07,1.32183e-07
1.49e-08,1.32327e-07,1.3205e-07,2261260.0,-31378100.0,1.33095e-07,1.3205e-07
1.5e-08,1.322e-07,1.31923e-07,2252360.0,-31460000.0,1.32967e-07,1.31923e-07
1.51e-08,1.3207e-07,1.31797e-07,2270250.0,-31396200.0,1.32839e-07,1.31797e-07
1.52e-08,1.31941e-07,1.31666e-07,2278770.0,-31335500.0,1.3271e-07,1.31666e-07
1.53e-08,1.31816e-07,1.31538e-07,2287790.0,-31392100.0,1.32583e-07,1.31538e-07
1.54e-08,1.31687e-07,1.31414e-07,2247760.0,-31450300.0,1.32456e-07,1.31414e-07
1.55e-08,1.31558e-07,1.31285e-07,2247160.0,-31383500.0,1.32328e-07,1.31285e-07
1.56e-08,1.31434e-07,1.31156e-07,2260190.0,-31440800.0,1.32202e-07,1.31156e-07
1.57e-08,1.31308e-07,1.31034e-07,2222490.0,-31507500.0,1.32076e-07,1.31034e-07
1.58e-08,1.31178e-07,1.30907e-07,2222510.0,-31433500.0,1.3195e-07,1.30907e-07
1.59e-08,1.31056e-07,1.30777e-07,2170040.0,-31599800.0,1.31825e-07,1.30777e-07
1.6e-08,1.30931e-07,1.30657e-07,2197640.0,-31560400.0,1.317e-07,1.30657e-07
1.61e-08,1.30802e-07,1.30532e-07,2171420.0,-31550200.0,1.31575e-07,1.30532e-07
1.62e-08,1.30681e-07,1.30401e-07,2203270.0,-31529200.0,1.3145e-07,1.30401e-07
1.63e-08,1.30558e-07,1.30283e-07,2172610.0,-31612700.0,1.31327e-07,1.30283e-07
1.64e-08,1.30431e-07,1.3016e-07,2154140.0,-31604400.0,1.31202e-07,1.3016e-07
1.65e-08,1.30309e-07,1.30032e-07,2123280.0,-31651800.0,1.31079e-07,1.30032e-07
1.66e-08,1.30187e-07,1.29911e-07,2147110.0,-31660100.0,1.30956e-07,1.29911e-07
1.67e-08,1.30062e-07,1.29791e-07,2140440.0,-31651500.0,1.30833e-07,1.29791e-07
1.68e-08,1.29939e-07,1.29665e-07,2120870.0,-31630800.0,1.30711e-07,1.29665e-07
1.69e-08,1.29819e-07,1.29542e-07,2122840.0,-31699700.0,1.30589e-07,1.29542e-07
1.7e-08,1.29697e-07,1.29424e-07,2118260.0,-31707600.0,1.30467e-07,1.29424e-07
1.71e-08,1.29572e-07,1.29301e-07,2118440.0,-31644900.0,1.30345e-07,1.29301e-07
1.72e-08,1.29454e-07,1.29176e-07,2068280.0,-31787200.0,1.30224e-07,1.29176e-07
1.73e-08,1.29333e-07,1.2906e-07,2095390.0,-31758400.0,1.30104e-07,1.2906e-07
1.74e-08,1.29209e-07,1.28939e-07,2073930.0,-31752700.0,1.29982e-07,1.28939e-07
1.75e-08,1.29091e-07,1.28813e-07,2050980.0,-31765700.0,1.29863e-07,1.28813e-07
1.76e-08,1.28973e-07,1.28698e-07,2072380.0,-31802200.0,1.29743e-07,1.28698e-07
1.77e-08,1.2885e-07,1.2858e-07,2069730.0,-31787400.0,1.29623e-07,1.2858e-07
1.78e-08,1.28731e-07,1.28457e-07,2068080.0,-31726600.0,1.29503e-07,1.28457e-07
1.79e-08,1.28614e-07,1.28338e-07,2066080.0,-31806200.0,1.29385e-07,1.28338e-07
1.8e-08,1.28494e-07,1.28222e-07,2044890.0,-31849100.0,1.29266e-07,1.28222e-07
1.81e-08,1.28373e-07,1.28103e-07,2016800.0,-31837400.0,1.29147e-07,1.28103e-07
1.82e-08,1.28258e-07,1.2798e-07,1996360.0,-31915900.0,1.2903e-07,1.2798e-07
1.83e-08,1.2814e-07,1.27867e-07,2023390.0,-31895700.0,1.28912e-07,1.27867e-07
1.84e-08,1.28019e-07,1.2775e-07,2015200.0,-31876500.0,1.28794e-07,1.2775e-07
1.85e-08,1.27904e-07,1.27628e-07,1999850.0,-31878100.0,1.28677e-07,1.27628e-07
1.86e-08,1.27788e-07,1.27513e-07,2003660.0,-31911800.0,1.2856e-07,1.27513e-07
1.87e-08,1.2767e-07,1.27399e-07,1997050.0,-31935400.0,1.28443e-07,1.27399e-07
1.88e-08,1.27552e-07,1.2728e-07,1999060.0,-31861200.0,1.28326e-07,1.2728e-07
1.89e-08,1.27438e-07,1.27161e-07,1950360.0,-32008900.0,1.28211e-07,1.27161e-07
1.9e-08,1.27322e-07,1.2705e-07,1976560.0,-31983800.0,1.28095e-07,1.2705e-07
1.91e-08,1.27202e-07,1.26934e-07,1957950.0,-31976100.0,1.27978e-07,1.26934e-07
1.92e-08,1.2709e-07,1.26813e-07,1978890.0,-31922800.0,1.27863e-07,1.26813e-07
