time (s),Udown (m/s),eKinTot (j),eDissTot (J),divDevRhoTot(N)
9.99965021552e-11,-1e+300,1.8227831130400002e-23,2.41640581348e-25,(1.51920313663e-11 2.2039106858e-28 -9.94142409731e-13)
2.00001564788e-10,-1e+300,1.98629144982e-23,2.3330525969299997e-25,(1.50085059774e-11 1.22959401023e-28 -7.34821581411e-13)
2.99998657546e-10,-1e+300,1.98937471483e-23,2.3506235262799997e-25,(1.49951411187e-11 4.2558473859e-29 -7.07501975257e-13)
3.99998475005e-10,-1e+300,1.9687722114400002e-23,2.3719596050299998e-25,(1.5038917633e-11 -5.60056117477e-31 -7.00212471276e-13)
5.00002939644e-10,-1e+300,1.94228313827e-23,2.39185933015e-25,(1.51182310045e-11 -1.22185874118e-27 -6.95832386325e-13)
6.0000325936e-10,-1e+300,1.9157022941200002e-23,2.41043706893e-25,(1.51740282872e-11 -1.45014982573e-27 -6.85976121177e-13)
7.00001880105e-10,-1e+300,1.89025469227e-23,2.42719516013e-25,(1.52187386879e-11 -1.14859622575e-27 -6.70736243161e-13)
7.99996435177e-10,-1e+300,1.86728233668e-23,2.4449288520599997e-25,(1.53143419452e-11 -3.32746944473e-28 -6.61713434023e-13)
9.00000846866e-10,-1e+300,1.8466991817e-23,2.45997915418e-25,(1.53779169999e-11 5.61665742754e-28 -6.50136191614e-13)
1.00000181184e-09,-1e+300,1.82603059851e-23,2.4715150984699998e-25,(1.54085410203e-11 8.47410285265e-28 -6.30954890122e-13)
1.1000027117e-09,-1e+300,1.80750283486e-23,2.48314529545e-25,(1.55000528252e-11 1.84941744565e-27 -6.21383099794e-13)
1.20000275069e-09,-1e+300,1.79245010565e-23,2.4943569513499997e-25,(1.55564402877e-11 3.00998997561e-27 -6.08919470311e-13)
1.29999672183e-09,-1e+300,1.77526672002e-23,2.5004193576e-25,(1.55862707722e-11 4.25186967997e-27 -5.91008739364e-13)
1.40000247939e-09,-1e+300,1.7620456533100002e-23,2.50999237882e-25,(1.56682682298e-11 4.85789153584e-27 -5.78994252753e-13)
1.49999981939e-09,-1e+300,1.74896839163e-23,2.51766065744e-25,(1.57118370271e-11 4.60846472375e-27 -5.6219836247e-13)
1.60000222331e-09,-1e+300,1.7341280058e-23,2.5221509743e-25,(1.5753153502e-11 3.65582739779e-27 -5.48153600412e-13)
1.70000002023e-09,-1e+300,1.72534531114e-23,2.5320849180000003e-25,(1.5820860027e-11 2.810630815e-27 -5.31659265892e-13)
