# Time,pressureForceX,pressureForceY,pressureForceZ,viscousForceX,viscousForceY,viscousForceZ,capillaryForceX,capillaryForceY,capillaryForceZ
9.99965021552e-11,0.0,0.0,-3.01267392578e-08,2.243054082e-11,1.17264024763e-27,0.0,1.81577670295e-11,1.9500240856499998e-25,1.83459958633e-11
2.00001564788e-10,0.0,0.0,-3.19013968217e-08,2.17496693405e-11,4.25801499466e-28,0.0,1.81128973041e-11,1.35065555176e-25,1.83774582106e-11
2.99998657546e-10,0.0,0.0,-3.27509370524e-08,2.15882742473e-11,3.56252354973e-28,0.0,1.80640984373e-11,5.3755462177e-26,1.83549458345e-11
3.99998475005e-10,0.0,0.0,-3.35679477897e-08,2.15075969921e-11,3.32302279379e-29,0.0,1.80167638652e-11,-4.0366597947e-26,1.83153766385e-11
5.00002939644e-10,0.0,0.0,-3.45179443293e-08,2.14645210734e-11,-1.1705215627200001e-27,0.0,1.79713592427e-11,-1.42154132688e-25,1.82642584067e-11
6.0000325936e-10,0.0,0.0,-3.52821155966e-08,2.14006697231e-11,-1.51999322873e-27,0.0,1.79277614807e-11,-2.4684545920099997e-25,1.82040233855e-11
7.00001880105e-10,0.0,0.0,-3.61531048416e-08,2.1325225462e-11,-1.40409997163e-27,0.0,1.78859100385e-11,-3.46898699531e-25,1.81364371329e-11
7.99996435177e-10,0.0,0.0,-3.70393583377e-08,2.13169137299e-11,-4.66420532882e-28,0.0,1.78460091631e-11,-4.33560809695e-25,1.80648688276e-11
9.00000846866e-10,0.0,0.0,-3.8051899003e-08,2.12759656274e-11,-8.7102591129e-30,0.0,1.780795939e-11,-5.01111331372e-25,1.79916185863e-11
1.00000181184e-09,0.0,0.0,-3.87886778814e-08,2.12062280587e-11,3.0355582624700003e-28,0.0,1.77716853396e-11,-5.48123942786e-25,1.79168131261e-11
1.1000027117e-09,0.0,0.0,-3.96702834257e-08,2.12137976119e-11,1.13762059942e-27,0.0,1.77373065396e-11,-5.77368598219e-25,1.78420564672e-11
1.20000275069e-09,0.0,0.0,-4.05537886302e-08,2.11873279078e-11,2.0473759240400002e-27,0.0,1.77048582027e-11,-5.94131362106e-25,1.77696554182e-11
1.29999672183e-09,0.0,0.0,-4.14087331724e-08,2.11324322886e-11,3.01247497e-27,0.0,1.76740774195e-11,-6.064021026819999e-25,1.7698451839e-11
1.40000247939e-09,0.0,0.0,-4.2286970678e-08,2.11463216861e-11,3.37151935376e-27,0.0,1.76449064819e-11,-6.214334185639999e-25,1.76293646328e-11
1.49999981939e-09,0.0,0.0,-4.31563316596e-08,2.11181012909e-11,3.2695219756e-27,0.0,1.76172961577e-11,-6.4277743421599995e-25,1.75637467474e-11
1.60000222331e-09,0.0,0.0,-4.37898685621e-08,2.10930201547e-11,2.71226251007e-27,0.0,1.75909769071e-11,-6.706138816039999e-25,1.74994329706e-11
