Time,max(coordsX_Meniscus),min(coordsX_Meniscus)
1.38e-08,1.35994e-07,1.34964e-07
1.39e-08,1.35867e-07,1.34832e-07
1.4e-08,1.3574e-07,1.34707e-07
1.41e-08,1.35612e-07,1.34581e-07
1.42e-08,1.35485e-07,1.34451e-07
1.43e-08,1.3536e-07,1.34325e-07
1.44e-08,1.35233e-07,1.34202e-07
1.45e-08,1.35107e-07,1.34074e-07
1.46e-08,1.34983e-07,1.33947e-07
1.47e-08,1.34858e-07,1.33825e-07
1.48e-08,1.34732e-07,1.33699e-07
1.49e-08,1.34609e-07,1.33571e-07
1.5e-08,1.34485e-07,1.33451e-07
1.51e-08,1.3436e-07,1.33328e-07
1.52e-08,1.34237e-07,1.33199e-07
1.53e-08,1.34115e-07,1.3308e-07
1.54e-08,1.33991e-07,1.32959e-07
1.55e-08,1.33869e-07,1.32832e-07
1.56e-08,1.33748e-07,1.32712e-07
1.57e-08,1.33626e-07,1.32592e-07
1.58e-08,1.33504e-07,1.32468e-07
1.59e-08,1.33383e-07,1.32346e-07
1.6e-08,1.33263e-07,1.32228e-07
1.61e-08,1.33141e-07,1.32106e-07
1.62e-08,1.33022e-07,1.31982e-07
1.63e-08,1.32902e-07,1.31866e-07
1.64e-08,1.32782e-07,1.31747e-07
1.65e-08,1.32663e-07,1.31623e-07
1.66e-08,1.32545e-07,1.31507e-07
1.67e-08,1.32425e-07,1.3139e-07
1.68e-08,1.32307e-07,1.31269e-07
1.69e-08,1.32189e-07,1.31149e-07
1.7e-08,1.32072e-07,1.31035e-07
1.71e-08,1.31953e-07,1.30917e-07
1.72e-08,1.31837e-07,1.30794e-07
1.73e-08,1.3172e-07,1.30682e-07
1.74e-08,1.31603e-07,1.30566e-07
1.75e-08,1.31487e-07,1.30446e-07
1.76e-08,1.31371e-07,1.30331e-07
1.77e-08,1.31255e-07,1.30218e-07
1.78e-08,1.31139e-07,1.30101e-07
1.79e-08,1.31025e-07,1.29981e-07
1.8e-08,1.3091e-07,1.2987e-07
1.81e-08,1.30795e-07,1.29757e-07
1.82e-08,1.30681e-07,1.29638e-07
1.83e-08,1.30567e-07,1.29525e-07
1.84e-08,1.30453e-07,1.29414e-07
1.85e-08,1.30339e-07,1.29299e-07
1.86e-08,1.30226e-07,1.29181e-07
1.87e-08,1.30114e-07,1.29072e-07
1.88e-08,1.3e-07,1.2896e-07
1.89e-08,1.29888e-07,1.28844e-07
1.9e-08,1.29776e-07,1.28732e-07
1.91e-08,1.29664e-07,1.28623e-07
1.92e-08,1.29552e-07,1.2851e-07
1.93e-08,1.29441e-07,1.28394e-07
1.94e-08,1.2933e-07,1.28287e-07
1.95e-08,1.29219e-07,1.28177e-07
1.96e-08,1.29108e-07,1.28064e-07
1.97e-08,1.28998e-07,1.27952e-07
1.98e-08,1.28888e-07,1.27845e-07
1.99e-08,1.28778e-07,1.27735e-07
2e-08,1.28668e-07,1.27621e-07
2.01e-08,1.2856e-07,1.27514e-07
2.02e-08,1.2845e-07,1.27407e-07
2.03e-08,1.28341e-07,1.27296e-07
2.04e-08,1.28233e-07,1.27183e-07
2.05e-08,1.28125e-07,1.27079e-07
2.06e-08,1.28016e-07,1.26972e-07
2.07e-08,1.27908e-07,1.26861e-07
2.08e-08,1.27801e-07,1.26752e-07
2.09e-08,1.27704e-07,1.26648e-07
2.1e-08,1.27608e-07,1.2654e-07
2.11e-08,1.276e-07,1.26429e-07
2.12e-08,1.27443e-07,1.26324e-07
2.13e-08,1.27271e-07,1.2622e-07
2.14e-08,1.27159e-07,1.26113e-07
2.15e-08,1.27054e-07,1.26001e-07
2.16e-08,1.26949e-07,1.259e-07
2.17e-08,1.26843e-07,1.25796e-07
2.18e-08,1.26737e-07,1.25688e-07
2.19e-08,1.26633e-07,1.25579e-07
2.2e-08,1.26528e-07,1.25479e-07
2.21e-08,1.26423e-07,1.25375e-07
2.22e-08,1.26318e-07,1.25268e-07
2.23e-08,1.26215e-07,1.25161e-07
2.24e-08,1.26111e-07,1.25061e-07
2.25e-08,1.26006e-07,1.24958e-07
2.26e-08,1.25903e-07,1.24851e-07
2.27e-08,1.258e-07,1.24747e-07
2.28e-08,1.25697e-07,1.24646e-07
2.29e-08,1.25593e-07,1.24543e-07
2.3e-08,1.25491e-07,1.24437e-07
2.31e-08,1.25389e-07,1.24335e-07
2.32e-08,1.25287e-07,1.24235e-07
2.33e-08,1.25183e-07,1.24133e-07
2.34e-08,1.25082e-07,1.24026e-07
2.35e-08,1.24981e-07,1.23926e-07
2.36e-08,1.24879e-07,1.23827e-07
2.37e-08,1.24777e-07,1.23725e-07
2.38e-08,1.24676e-07,1.23619e-07
2.39e-08,1.24576e-07,1.2352e-07
2.4e-08,1.24475e-07,1.23421e-07
2.41e-08,1.24373e-07,1.2332e-07
2.42e-08,1.24273e-07,1.23214e-07
2.43e-08,1.24173e-07,1.23117e-07
2.44e-08,1.24073e-07,1.23019e-07
2.45e-08,1.23972e-07,1.22918e-07
2.46e-08,1.23873e-07,1.22813e-07
2.47e-08,1.23774e-07,1.22716e-07
2.48e-08,1.23674e-07,1.22619e-07
2.49e-08,1.23574e-07,1.22519e-07
2.5e-08,1.23475e-07,1.22415e-07
2.51e-08,1.23377e-07,1.22318e-07
2.52e-08,1.23278e-07,1.22222e-07
2.53e-08,1.23179e-07,1.22123e-07
2.54e-08,1.23081e-07,1.22019e-07
2.55e-08,1.22983e-07,1.21923e-07
2.56e-08,1.22885e-07,1.21828e-07
2.57e-08,1.22786e-07,1.21729e-07
2.58e-08,1.22689e-07,1.21627e-07
2.59e-08,1.22592e-07,1.21531e-07
2.6e-08,1.22494e-07,1.21436e-07
2.61e-08,1.22396e-07,1.21338e-07
2.62e-08,1.22299e-07,1.21237e-07
2.63e-08,1.22203e-07,1.2114e-07
2.64e-08,1.22106e-07,1.21046e-07
2.65e-08,1.22008e-07,1.2095e-07
2.66e-08,1.21912e-07,1.2085e-07
2.67e-08,1.21816e-07,1.20753e-07
2.68e-08,1.21721e-07,1.2066e-07
2.69e-08,1.21624e-07,1.20564e-07
2.7e-08,1.21528e-07,1.20465e-07
2.71e-08,1.21433e-07,1.20367e-07
2.72e-08,1.21338e-07,1.20275e-07
2.73e-08,1.21242e-07,1.20181e-07
2.74e-08,1.21146e-07,1.20083e-07
2.75e-08,1.21052e-07,1.19984e-07
2.76e-08,1.20957e-07,1.19893e-07
2.77e-08,1.20862e-07,1.198e-07
2.78e-08,1.20767e-07,1.19704e-07
2.79e-08,1.20673e-07,1.19604e-07
2.8e-08,1.20579e-07,1.19513e-07
2.81e-08,1.20485e-07,1.19421e-07
2.82e-08,1.2039e-07,1.19327e-07
2.83e-08,1.20296e-07,1.19229e-07
2.84e-08,1.20203e-07,1.19136e-07
2.85e-08,1.2011e-07,1.19045e-07
2.86e-08,1.20016e-07,1.18952e-07
2.87e-08,1.19922e-07,1.18855e-07
2.88e-08,1.1983e-07,1.18761e-07
2.89e-08,1.19737e-07,1.18671e-07
2.9e-08,1.19644e-07,1.18579e-07
2.91e-08,1.19551e-07,1.18484e-07
2.92e-08,1.19459e-07,1.18387e-07
2.93e-08,1.19367e-07,1.18299e-07
2.94e-08,1.19275e-07,1.18208e-07
2.95e-08,1.19182e-07,1.18115e-07
2.96e-08,1.1909e-07,1.18018e-07
2.97e-08,1.18999e-07,1.17929e-07
2.98e-08,1.18907e-07,1.17839e-07
2.99e-08,1.18815e-07,1.17748e-07
3e-08,1.18724e-07,1.17653e-07
3.01e-08,1.18633e-07,1.1756e-07
3.02e-08,1.18542e-07,1.17472e-07
3.03e-08,1.18451e-07,1.17382e-07
3.04e-08,1.18359e-07,1.1729e-07
3.05e-08,1.18269e-07,1.17194e-07
3.06e-08,1.18179e-07,1.17107e-07
3.07e-08,1.18089e-07,1.17019e-07
3.08e-08,1.17997e-07,1.16928e-07
3.09e-08,1.17908e-07,1.16834e-07
3.1e-08,1.17818e-07,1.16744e-07
3.11e-08,1.17729e-07,1.16657e-07
3.12e-08,1.17638e-07,1.16568e-07
