Time,max(CACoordsX),min(CACoordsX),max(coordsX_Meniscus),min(coordsX_Meniscus),time (s),Udown (m/s),eKinTot (j),eDissTot (J),divDevRhoTot(N),# Time,pressureForceX,pressureForceY,pressureForceZ,viscousForceX,viscousForceY,viscousForceZ,capillaryForceX,capillaryForceY,capillaryForceZ,max(Result),min(Result)
1.00003e-10,1.59682e-07,1.59464e-07,1.60121e-07,1.59464e-07,1.0000264855e-10,-1e+300,7.25323378347e-24,1.55528575981e-25,(9.97524646202e-12 5.64375955611e-28 -7.26616403022e-13),1.0000264855e-10,0.0,0.0,-1.80393131892e-08,1.49521871192e-11,1.45285102326e-27,0.0,1.48632028029e-11,1.4123027835899998e-25,1.22608178573e-11,4213960.0,-14055800.0
2.00005e-10,1.59467e-07,1.59242e-07,1.59965e-07,1.59242e-07,2.00005066366e-10,-1e+300,8.23001260184e-24,1.49646235878e-25,(1.00296381691e-11 3.08120466451e-28 -5.26397870082e-13),2.00005066366e-10,0.0,0.0,-1.93581665774e-08,1.46785018254e-11,7.159220997740001e-28,0.0,1.48637186703e-11,1.24725140936e-25,1.2375921802e-11,4463420.0,-14862900.0
3e-10,1.59269e-07,1.59045e-07,1.59771e-07,1.59045e-07,2.99999728461e-10,-1e+300,8.34367916253e-24,1.51010225081e-25,(1.01107396433e-11 3.0055089342e-28 -5.05820533953e-13),2.99999728461e-10,0.0,0.0,-2.00848491174e-08,1.46965291266e-11,5.57661686682e-28,0.0,1.48640614613e-11,9.93963204847e-26,1.24559356495e-11,4408800.0,-15096100.0
4e-10,1.59074e-07,1.58848e-07,1.59578e-07,1.58848e-07,3.99999645908e-10,-1e+300,8.334046854210001e-24,1.5288676337099999e-25,(1.01907500639e-11 2.11621512959e-28 -5.02533133092e-13),3.99999645908e-10,0.0,0.0,-2.03713787111e-08,1.47424564562e-11,4.97860986107e-28,0.0,1.48643023002e-11,6.729837506250001e-26,1.25214331962e-11,4433990.0,-15150600.0
4.99996e-10,1.58882e-07,1.58658e-07,1.59385e-07,1.58658e-07,4.99996025372e-10,-1e+300,8.30130262991e-24,1.54715629819e-25,(1.0277542019e-11 2.96151854277e-29 -5.02330461091e-13),4.99996025372e-10,0.0,0.0,-2.0780153377e-08,1.47949469218e-11,1.5473905965600002e-28,0.0,1.48644867375e-11,3.01766794057e-26,1.257721453e-11,4381490.0,-15224800.0
5.99997e-10,1.58691e-07,1.58467e-07,1.59196e-07,1.58467e-07,5.99996599038e-10,-1e+300,8.27608209561e-24,1.56580376653e-25,(1.03743544956e-11 -5.06926799624e-28 -5.00685464185e-13),5.99996599038e-10,0.0,0.0,-2.12068118793e-08,1.48589157462e-11,-3.60227571542e-28,0.0,1.48646226545e-11,-1.09937329061e-26,1.26232327728e-11,4370250.0,-15283900.0
6.99999e-10,1.58503e-07,1.5828e-07,1.59007e-07,1.5828e-07,6.99998618827e-10,-1e+300,8.24124210429e-24,1.58185076926e-25,(1.04559756106e-11 -6.14802988902e-28 -4.96834925563e-13),6.99998618827e-10,0.0,0.0,-2.16573912101e-08,1.49026348248e-11,-5.868678965470001e-28,0.0,1.486473293e-11,-5.590696853940001e-26,1.26624840513e-11,4313380.0,-15418200.0
7.99997e-10,1.58316e-07,1.58094e-07,1.58823e-07,1.58094e-07,7.99996580225e-10,-1e+300,8.22320616692e-24,1.59921191506e-25,(1.05611993831e-11 -6.8384751344e-28 -4.94826623531e-13),7.99996580225e-10,0.0,0.0,-2.22328729216e-08,1.49747731378e-11,-5.8982906597700005e-28,0.0,1.48648158945e-11,-1.0415371498199999e-25,1.26944815959e-11,4265440.0,-15481300.0
9.00005e-10,1.58133e-07,1.57909e-07,1.58637e-07,1.57909e-07,9.0000527888e-10,-1e+300,8.19351094576e-24,1.61315066135e-25,(1.06314282728e-11 -7.80223485921e-28 -4.87510287766e-13),9.0000527888e-10,0.0,0.0,-2.27988543595e-08,1.50043553103e-11,-6.255017826010001e-28,0.0,1.48648882971e-11,-1.55090163796e-25,1.27217469782e-11,4194170.0,-15723700.0
1e-09,1.57949e-07,1.57728e-07,1.58457e-07,1.57728e-07,1.00000265182e-09,-1e+300,8.182992914410001e-24,1.63010275357e-25,(1.07391060418e-11 -5.09961134929e-28 -4.86385932196e-13),1.00000265182e-09,0.0,0.0,-2.3056131502e-08,1.50868653785e-11,-3.6256838528e-28,0.0,1.48649472571e-11,-2.07192806593e-25,1.274391947e-11,4226460.0,-15532900.0
1.10001e-09,1.5777e-07,1.57545e-07,1.58275e-07,1.57545e-07,1.10000561831e-09,-1e+300,8.16254927414e-24,1.64301933375e-25,(1.08012884129e-11 -3.06782872362e-28 -4.76912732202e-13),1.10000561831e-09,0.0,0.0,-2.35744581495e-08,1.51094069241e-11,-2.17826960983e-28,0.0,1.48650021577e-11,-2.58426479079e-25,1.27625414148e-11,4158200.0,-15775500.0
1.2e-09,1.57588e-07,1.57369e-07,1.58098e-07,1.57369e-07,1.2000044756e-09,-1e+300,8.15535304603e-24,1.65828619604e-25,(1.09042278129e-11 -3.60258777281e-28 -4.7688488221e-13),1.2000044756e-09,0.0,0.0,-2.38846006034e-08,1.51891870269e-11,-3.7543329079199995e-28,0.0,1.48650533585e-11,-3.06289074345e-25,1.27778699282e-11,4190570.0,-15667500.0
1.3e-09,1.57413e-07,1.57187e-07,1.5792e-07,1.57187e-07,1.29999836011e-09,-1e+300,8.14843027318e-24,1.67194245456e-25,(1.09708711932e-11 -1.27157337932e-28 -4.68176909631e-13),1.29999836011e-09,0.0,0.0,-2.43249208954e-08,1.52219234167e-11,-3.55080190905e-28,0.0,1.48651020254e-11,-3.48789601218e-25,1.2790279669e-11,4156340.0,-15772600.0
1.39999e-09,1.57235e-07,1.57015e-07,1.57745e-07,1.57015e-07,1.39999488095e-09,-1e+300,8.14283015516e-24,1.6851099282499998e-25,(1.1056557434e-11 1.79968731629e-28 -4.66166199509e-13),1.39999488095e-09,0.0,0.0,-2.49786511485e-08,1.52778984115e-11,-1.15573751109e-28,0.0,1.48651544237e-11,-3.84695821617e-25,1.28007741778e-11,4093070.0,-15919300.0
1.5e-09,1.57061e-07,1.56838e-07,1.57571e-07,1.56838e-07,1.50000296606e-09,-1e+300,8.14214111128e-24,1.6982220813699998e-25,(1.1128378457e-11 4.5995599593e-28 -4.59454698238e-13),1.50000296606e-09,0.0,0.0,-2.54664123429e-08,1.53200583934e-11,1.10781262391e-28,0.0,1.48652033983e-11,-4.13915467852e-25,1.28086818376e-11,4081300.0,-15956800.0
1.6e-09,1.56888e-07,1.56666e-07,1.57397e-07,1.56666e-07,1.60000095078e-09,-1e+300,8.1346164004e-24,1.70953444178e-25,(1.11937411877e-11 1.09385239914e-27 -4.54561118833e-13),1.60000095078e-09,0.0,0.0,-2.60352680308e-08,1.53539985851e-11,5.3678383887100005e-28,0.0,1.48652605655e-11,-4.37193660188e-25,1.28156059552e-11,4005310.0,-16126300.0
1.7e-09,1.56715e-07,1.56494e-07,1.57227e-07,1.56494e-07,1.69999663394e-09,-1e+300,8.136716548e-24,1.72177524078e-25,(1.1271421762e-11 1.74586422922e-27 -4.50480680292e-13),1.69999663394e-09,0.0,0.0,-2.65229129144e-08,1.54048526826e-11,1.19085695651e-27,0.0,1.48653143621e-11,-4.56015369929e-25,1.28202812174e-11,3987940.0,-16077700.0
1.8e-09,1.56545e-07,1.56322e-07,1.57055e-07,1.56322e-07,1.79999857453e-09,-1e+300,8.12819311445e-24,1.73184393264e-25,(1.13152839712e-11 2.2419337772e-27 -4.43693463733e-13),1.79999857453e-09,0.0,0.0,-2.69318100602e-08,1.54183633462e-11,1.59186613524e-27,0.0,1.48653767529e-11,-4.7180665168699985e-25,1.2824362551e-11,3972420.0,-16226300.0
1.9e-09,1.56373e-07,1.56155e-07,1.56887e-07,1.56155e-07,1.90000208805e-09,-1e+300,8.13294972098e-24,1.74343796624e-25,(1.13989151315e-11 2.58004917382e-27 -4.41732422195e-13),1.90000208805e-09,0.0,0.0,-2.7445493778e-08,1.54794728211e-11,1.99697140838e-27,0.0,1.48654393403e-11,-4.86276017217e-25,1.28268241276e-11,3951560.0,-16221800.0
2e-09,1.56207e-07,1.55982e-07,1.56718e-07,1.55982e-07,2.00000029816e-09,-1e+300,8.13321896537e-24,1.75371946457e-25,(1.14439708459e-11 2.81503567336e-27 -4.3478804005e-13),2.00000029816e-09,0.0,0.0,-2.79523614434e-08,1.5494557928e-11,2.28882604642e-27,0.0,1.48655065898e-11,-5.00638655268e-25,1.28285065683e-11,3916750.0,-16338200.0
2.09999e-09,1.56038e-07,1.55819e-07,1.56551e-07,1.55819e-07,2.09999410594e-09,-1e+300,8.13627255191e-24,1.7643399856499999e-25,(1.1514019674e-11 2.68495815186e-27 -4.3172543417e-13),2.09999410594e-09,0.0,0.0,-2.85431680151e-08,1.55405541064e-11,2.24742400479e-27,0.0,1.48655810356e-11,-5.15828008923e-25,1.28295916413e-11,3870900.0,-16447500.0
2.2e-09,1.55872e-07,1.5565e-07,1.56386e-07,1.5565e-07,2.19999856067e-09,-1e+300,8.13832261818e-24,1.7747375242799998e-25,(1.15663856318e-11 2.49946105765e-27 -4.26415707107e-13),2.19999856067e-09,0.0,0.0,-2.86831643628e-08,1.557207975e-11,2.17382073755e-27,0.0,1.48656548683e-11,-5.32351427062e-25,1.28294412973e-11,3937810.0,-16267500.0
2.3e-09,1.55707e-07,1.55486e-07,1.5622e-07,1.55486e-07,2.30000151631e-09,-1e+300,8.13548951665e-24,1.78325748257e-25,(1.16145156002e-11 2.17234009491e-27 -4.22399442425e-13),2.30000151631e-09,0.0,0.0,-2.94713922901e-08,1.55894491089e-11,2.00811806973e-27,0.0,1.48657398733e-11,-5.50065888213e-25,1.28293564317e-11,3817240.0,-16564500.0
2.4e-09,1.55541e-07,1.55323e-07,1.56058e-07,1.55323e-07,2.40000373853e-09,-1e+300,8.13922134178e-24,1.79244676933e-25,(1.16781088953e-11 1.87583148895e-27 -4.18524431436e-13),2.40000373853e-09,0.0,0.0,-3.00750150343e-08,1.56295849729e-11,1.67760719535e-27,0.0,1.48658237571e-11,-5.6859412093e-25,1.2827918566e-11,3795700.0,-16589800.0
2.5e-09,1.5538e-07,1.55157e-07,1.55894e-07,1.55157e-07,2.50000222261e-09,-1e+300,8.13430351991e-24,1.8005073521399998e-25,(1.17049301593e-11 1.78997962289e-27 -4.12927384775e-13),2.50000222261e-09,0.0,0.0,-3.03443289135e-08,1.56303571265e-11,1.55102947652e-27,0.0,1.48659167862e-11,-5.87418623493e-25,1.28265608228e-11,3799630.0,-16622900.0
2.60001e-09,1.55215e-07,1.54998e-07,1.55733e-07,1.54998e-07,2.6000050848e-09,-1e+300,8.141537659100001e-24,1.81024669883e-25,(1.17742601998e-11 1.81322638404e-27 -4.09958576627e-13),2.6000050848e-09,0.0,0.0,-3.08778785445e-08,1.56800124467e-11,1.48045990428e-27,0.0,1.48660131311e-11,-6.0615140300399985e-25,1.28245115703e-11,3767700.0,-16673700.0
2.70001e-09,1.55056e-07,1.54834e-07,1.55572e-07,1.54834e-07,2.70000495499e-09,-1e+300,8.14191042478e-24,1.81815370259e-25,(1.18138863387e-11 1.88789248304e-27 -4.05649178099e-13),2.70000495499e-09,0.0,0.0,-3.14017389491e-08,1.56940771077e-11,1.44590297314e-27,0.0,1.48661113719e-11,-6.24727701881e-25,1.28219075303e-11,3736130.0,-16696800.0
2.8e-09,1.54896e-07,1.54676e-07,1.55412e-07,1.54676e-07,2.79999617272e-09,-1e+300,8.14059513941e-24,1.82624633167e-25,(1.1858336014e-11 2.08141261509e-27 -4.02208685729e-13),2.79999617272e-09,0.0,0.0,-3.19453715047e-08,1.57155783113e-11,1.64181158225e-27,0.0,1.48662189068e-11,-6.43446546248e-25,1.28195221462e-11,3702830.0,-16853100.0
2.90001e-09,1.54735e-07,1.54517e-07,1.55254e-07,1.54517e-07,2.90000561193e-09,-1e+300,8.14248831653e-24,1.83445511467e-25,(1.19076706711e-11 2.45471563306e-27 -3.97810260446e-13),2.90000561193e-09,0.0,0.0,-3.21096738784e-08,1.57484415599e-11,2.02437520957e-27,0.0,1.48663226163e-11,-6.62876591744e-25,1.2816037789e-11,3766950.0,-16684200.0
3e-09,1.54578e-07,1.54356e-07,1.55095e-07,1.54356e-07,2.99999590945e-09,-1e+300,8.13646876474e-24,1.84049342272e-25,(1.19280617355e-11 2.35914010073e-27 -3.93083212626e-13),2.99999590945e-09,0.0,0.0,-3.27858191615e-08,1.57389494962e-11,2.1595246487e-27,0.0,1.48664346871e-11,-6.833832182519998e-25,1.28129745686e-11,3678200.0,-16894900.0
