Time,max(Result),min(Result)
1.00003e-10,4.21396e+06,-1.40558e+07
2.00005e-10,4.46342e+06,-1.48629e+07
3e-10,4.4088e+06,-1.50961e+07
4e-10,4.43399e+06,-1.51506e+07
4.99996e-10,4.38149e+06,-1.52248e+07
5.99997e-10,4.37025e+06,-1.52839e+07
6.99999e-10,4.31338e+06,-1.54182e+07
7.99997e-10,4.26544e+06,-1.54813e+07
9.00005e-10,4.19417e+06,-1.57237e+07
1e-09,4.22646e+06,-1.55329e+07
1.10001e-09,4.1582e+06,-1.57755e+07
1.2e-09,4.19057e+06,-1.56675e+07
1.3e-09,4.15634e+06,-1.57726e+07
1.39999e-09,4.09307e+06,-1.59193e+07
1.5e-09,4.0813e+06,-1.59568e+07
1.6e-09,4.00531e+06,-1.61263e+07
1.7e-09,3.98794e+06,-1.60777e+07
1.8e-09,3.97242e+06,-1.62263e+07
1.9e-09,3.95156e+06,-1.62218e+07
2e-09,3.91675e+06,-1.63382e+07
2.09999e-09,3.8709e+06,-1.64475e+07
2.2e-09,3.93781e+06,-1.62675e+07
2.3e-09,3.81724e+06,-1.65645e+07
2.4e-09,3.7957e+06,-1.65898e+07
2.5e-09,3.79963e+06,-1.66229e+07
2.60001e-09,3.7677e+06,-1.66737e+07
2.70001e-09,3.73613e+06,-1.66968e+07
2.8e-09,3.70283e+06,-1.68531e+07
2.90001e-09,3.76695e+06,-1.66842e+07
3e-09,3.6782e+06,-1.68949e+07
3.1e-09,3.69464e+06,-1.69188e+07
3.2e-09,3.65961e+06,-1.69166e+07
3.29999e-09,3.64973e+06,-1.70027e+07
3.4e-09,3.59184e+06,-1.71137e+07
3.49999e-09,3.5595e+06,-1.71498e+07
3.6e-09,3.57399e+06,-1.72021e+07
3.7e-09,3.56954e+06,-1.71563e+07
3.80001e-09,3.4998e+06,-1.73446e+07
3.9e-09,3.48155e+06,-1.74154e+07
4e-09,3.45936e+06,-1.73635e+07
4.1e-09,3.47401e+06,-1.74524e+07
4.2e-09,3.46444e+06,-1.74516e+07
4.3e-09,3.43136e+06,-1.75063e+07
4.4e-09,3.42648e+06,-1.75882e+07
4.5e-09,3.40306e+06,-1.75901e+07
4.6e-09,3.37264e+06,-1.76568e+07
4.7e-09,3.34147e+06,-1.77922e+07
4.8e-09,3.33712e+06,-1.76892e+07
4.9e-09,3.33113e+06,-1.7812e+07
5.00001e-09,3.32676e+06,-1.78394e+07
5.1e-09,3.28911e+06,-1.78322e+07
5.2e-09,3.30561e+06,-1.7916e+07
5.3e-09,3.30105e+06,-1.79058e+07
5.4e-09,3.23123e+06,-1.79849e+07
5.49999e-09,3.24628e+06,-1.80421e+07
5.6e-09,3.2217e+06,-1.80818e+07
5.7e-09,3.19018e+06,-1.81162e+07
5.80001e-09,3.22249e+06,-1.81412e+07
5.9e-09,3.17744e+06,-1.81946e+07
6e-09,3.14814e+06,-1.82419e+07
6.1e-09,3.15322e+06,-1.83132e+07
6.19999e-09,3.12218e+06,-1.83188e+07
6.3e-09,3.10641e+06,-1.83609e+07
6.4e-09,3.10974e+06,-1.84295e+07
6.5e-09,3.08529e+06,-1.8428e+07
6.59999e-09,3.06635e+06,-1.84692e+07
6.69999e-09,3.09197e+06,-1.84908e+07
6.79999e-09,3.04044e+06,-1.85446e+07
6.9e-09,3.02351e+06,-1.85817e+07
7e-09,3.02601e+06,-1.86531e+07
7.1e-09,2.98228e+06,-1.86776e+07
7.2e-09,2.98632e+06,-1.86789e+07
7.3e-09,2.96513e+06,-1.88032e+07
7.40001e-09,2.96953e+06,-1.87561e+07
7.5e-09,2.94226e+06,-1.87782e+07
7.6e-09,2.96344e+06,-1.88267e+07
7.7e-09,2.89712e+06,-1.89445e+07
7.8e-09,2.88931e+06,-1.88823e+07
7.9e-09,2.91888e+06,-1.8944e+07
8.00001e-09,2.91894e+06,-1.89292e+07
8.1e-09,2.84297e+06,-1.89938e+07
8.20001e-09,2.8689e+06,-1.90546e+07
8.29999e-09,2.85633e+06,-1.90947e+07
8.39999e-09,2.82002e+06,-1.90787e+07
8.49999e-09,2.83138e+06,-1.91392e+07
8.6e-09,2.79323e+06,-1.92482e+07
8.69999e-09,2.7874e+06,-1.91909e+07
8.8e-09,2.79283e+06,-1.92183e+07
8.9e-09,2.80595e+06,-1.92523e+07
8.99999e-09,2.73749e+06,-1.93348e+07
9.10001e-09,2.75445e+06,-1.92872e+07
9.2e-09,2.75556e+06,-1.93733e+07
9.30001e-09,2.73441e+06,-1.94017e+07
9.39999e-09,2.71753e+06,-1.93575e+07
9.49999e-09,2.72128e+06,-1.94501e+07
9.59999e-09,2.72731e+06,-1.94543e+07
9.70001e-09,2.67625e+06,-1.94916e+07
9.80001e-09,2.67292e+06,-1.95323e+07
9.9e-09,2.67882e+06,-1.95851e+07
1e-08,2.64812e+06,-1.95963e+07
1.01e-08,2.6498e+06,-1.95701e+07
1.02e-08,2.65252e+06,-1.96518e+07
1.03e-08,2.64782e+06,-1.96498e+07
1.04e-08,2.61221e+06,-1.9673e+07
1.05e-08,2.62986e+06,-1.97063e+07
1.06e-08,2.60518e+06,-1.97782e+07
1.07e-08,2.57377e+06,-1.97845e+07
1.08e-08,2.58414e+06,-1.97686e+07
1.09e-08,2.57883e+06,-1.98488e+07
1.1e-08,2.53585e+06,-1.99198e+07
1.11e-08,2.54808e+06,-1.98555e+07
1.12e-08,2.53803e+06,-1.99226e+07
1.13e-08,2.54726e+06,-1.99384e+07
1.14e-08,2.53139e+06,-1.99194e+07
1.15e-08,2.51897e+06,-1.9947e+07
1.16e-08,2.51378e+06,-2.00278e+07
1.17e-08,2.48719e+06,-2.00645e+07
1.18e-08,2.48478e+06,-2.00402e+07
1.19e-08,2.48716e+06,-2.00753e+07
1.2e-08,2.4662e+06,-2.01493e+07
1.21e-08,2.46555e+06,-2.01075e+07
1.22e-08,2.46071e+06,-2.01003e+07
1.23e-08,2.46223e+06,-2.01785e+07
1.24e-08,2.43915e+06,-2.02091e+07
1.25e-08,2.40246e+06,-2.02734e+07
1.26e-08,2.42603e+06,-2.02249e+07
1.27e-08,2.41815e+06,-2.02914e+07
1.28e-08,2.37426e+06,-2.03498e+07
1.29e-08,2.39232e+06,-2.03004e+07
1.3e-08,2.39365e+06,-2.03364e+07
1.31e-08,2.3753e+06,-2.03921e+07
1.32e-08,2.36088e+06,-2.04044e+07
1.33e-08,2.36678e+06,-2.03612e+07
1.34e-08,2.3723e+06,-2.04227e+07
1.35e-08,2.34037e+06,-2.04703e+07
1.36e-08,2.35158e+06,-2.04383e+07
1.37e-08,2.33716e+06,-2.04593e+07
1.38e-08,2.33336e+06,-2.05244e+07
1.39e-08,2.29355e+06,-2.05823e+07
1.4e-08,2.3264e+06,-2.05054e+07
1.41e-08,2.30686e+06,-2.05588e+07
1.42e-08,2.28691e+06,-2.06283e+07
1.43e-08,2.2829e+06,-2.06306e+07
1.44e-08,2.26159e+06,-2.06731e+07
1.45e-08,2.27623e+06,-2.0652e+07
1.46e-08,2.25571e+06,-2.07088e+07
1.47e-08,2.25832e+06,-2.07065e+07
1.48e-08,2.23926e+06,-2.07256e+07
1.49e-08,2.24567e+06,-2.07393e+07
1.5e-08,2.22157e+06,-2.079e+07
1.51e-08,2.22289e+06,-2.08031e+07
1.52e-08,2.2256e+06,-2.07619e+07
1.53e-08,2.21545e+06,-2.0822e+07
1.54e-08,2.19009e+06,-2.0868e+07
1.55e-08,2.20799e+06,-2.08464e+07
1.56e-08,2.19807e+06,-2.08329e+07
1.57e-08,2.18587e+06,-2.09005e+07
1.58e-08,2.16533e+06,-2.09435e+07
1.59e-08,2.17497e+06,-2.09153e+07
1.6e-08,2.17084e+06,-2.09043e+07
1.61e-08,2.15712e+06,-2.09754e+07
1.62e-08,2.14047e+06,-2.10166e+07
1.63e-08,2.15562e+06,-2.0991e+07
1.64e-08,2.144e+06,-2.09765e+07
1.65e-08,2.12939e+06,-2.10467e+07
1.66e-08,2.11555e+06,-2.10876e+07
1.67e-08,2.12906e+06,-2.10644e+07
1.68e-08,2.11409e+06,-2.10582e+07
1.69e-08,2.10276e+06,-2.11146e+07
1.7e-08,2.09073e+06,-2.11563e+07
1.71e-08,2.08826e+06,-2.11719e+07
1.72e-08,2.07616e+06,-2.11614e+07
1.73e-08,2.07726e+06,-2.11791e+07
1.74e-08,2.06598e+06,-2.12228e+07
1.75e-08,2.07533e+06,-2.12129e+07
1.76e-08,2.08267e+06,-2.11565e+07
1.77e-08,2.0525e+06,-2.12405e+07
1.78e-08,2.04076e+06,-2.12876e+07
1.79e-08,2.05021e+06,-2.12512e+07
1.8e-08,2.04215e+06,-2.12677e+07
1.81e-08,2.0282e+06,-2.12988e+07
1.82e-08,2.01532e+06,-2.135e+07
1.83e-08,2.01955e+06,-2.13646e+07
1.84e-08,2.02938e+06,-2.13115e+07
1.85e-08,2.00469e+06,-2.13529e+07
1.86e-08,1.99458e+06,-2.14031e+07
