Time,max(coordsX_Meniscus),min(coordsX_Meniscus),time (s),Udown (m/s),eKinTot (j),eDissTot (J),divDevRhoTot(N),# Time,pressureForceX,pressureForceY,pressureForceZ,viscousForceX,viscousForceY,viscousForceZ,capillaryForceX,capillaryForceY,capillaryForceZ
1.8e-09,1.5528e-07,1.54218e-07,1.80000174902e-09,-1e+300,2.1629459176400002e-23,2.81633656525e-25,(1.72138847491e-11 6.44507265508e-28 -5.0217508653e-13),1.80000174902e-09,0.0,0.0,-5.32273441495e-08,2.25511013347e-11,1.85148569704e-27,0.0,1.83158845979e-11,-8.55644570199e-25,1.83529249726e-11
1.9e-09,1.55022e-07,1.53958e-07,1.90000120311e-09,-1e+300,2.1589494537000002e-23,2.83226745914e-25,(1.73187415727e-11 1.34094086012e-27 -4.92784328657e-13),1.90000120311e-09,0.0,0.0,-5.52012576232e-08,2.25900918777e-11,2.66601311107e-27,0.0,1.83156825696e-11,-9.12005388335e-25,1.83231347498e-11
2e-09,1.54768e-07,1.53707e-07,1.99999772829e-09,-1e+300,2.1521018795500005e-23,2.84617900318e-25,(1.73828424008e-11 1.71950941491e-27 -4.81972053038e-13),1.99999772829e-09,0.0,0.0,-5.59795930733e-08,2.25979291174e-11,3.20021652291e-27,0.0,1.83155134535e-11,-9.71190119761e-25,1.82945320854e-11
2.1e-09,1.54517e-07,1.53456e-07,2.1000020514e-09,-1e+300,2.1457706167900002e-23,2.8594807983e-25,(1.74486921769e-11 1.75635227816e-27 -4.72491876881e-13),2.1000020514e-09,0.0,0.0,-5.73318415326e-08,2.26033536503e-11,3.15846889018e-27,0.0,1.83153883633e-11,-1.02265691801e-24,1.82656732897e-11
2.2e-09,1.54267e-07,1.53203e-07,2.20000378038e-09,-1e+300,2.1408960011200002e-23,2.87544029882e-25,(1.75315711763e-11 1.2820955617e-27 -4.67370090986e-13),2.20000378038e-09,0.0,0.0,-5.79868316176e-08,2.2640369477e-11,2.21040705928e-27,0.0,1.83153020669e-11,-1.05763420772e-24,1.82382442723e-11
2.3e-09,1.54022e-07,1.52963e-07,2.30000227879e-09,-1e+300,2.1323205627700002e-23,2.88504406301e-25,(1.75778001144e-11 6.02044083185e-28 -4.58380631549e-13),2.30000227879e-09,0.0,0.0,-5.95861435711e-08,2.2622297703e-11,9.5327195988e-28,0.0,1.83152225731e-11,-1.07117487966e-24,1.82115391013e-11
2.4e-09,1.53777e-07,1.52717e-07,2.39999916529e-09,-1e+300,2.1278424219300002e-23,2.90027508716e-25,(1.76531549971e-11 8.66075135546e-28 -4.54679610766e-13),2.39999916529e-09,0.0,0.0,-6.06587567841e-08,2.26491131024e-11,4.96873329031e-28,0.0,1.83151706162e-11,-1.05976940457e-24,1.81848297084e-11
2.5e-09,1.53535e-07,1.52476e-07,2.50000314875e-09,-1e+300,2.12168867781e-23,2.91164799615e-25,(1.77171702282e-11 9.20867936784e-28 -4.5092278994e-13),2.50000314875e-09,0.0,0.0,-6.23277379997e-08,2.2655547877e-11,4.706932843190001e-28,0.0,1.83151170365e-11,-1.0222243771e-24,1.81597027481e-11
2.6e-09,1.53297e-07,1.52239e-07,2.60000117187e-09,-1e+300,2.1137270243900002e-23,2.92355054464e-25,(1.77514826047e-11 1.33212386891e-27 -4.43464864997e-13),2.60000117187e-09,0.0,0.0,-6.28713765534e-08,2.26432256812e-11,9.82251963895e-28,0.0,1.83150681558e-11,-9.62089729327e-25,1.81346015645e-11
2.7e-09,1.53059e-07,1.51996e-07,2.69999819161e-09,-1e+300,2.1093394545700002e-23,2.93539621087e-25,(1.78328404955e-11 1.63584503098e-27 -4.447378965e-13),2.69999819161e-09,0.0,0.0,-6.49570778557e-08,2.26680031561e-11,1.84241961543e-27,0.0,1.8315020722e-11,-8.87576772254e-25,1.81104238187e-11
2.8e-09,1.52824e-07,1.51768e-07,2.79999884438e-09,-1e+300,2.10067189541e-23,2.94629141958e-25,(1.78669850428e-11 1.78178669687e-27 -4.39439816557e-13),2.79999884438e-09,0.0,0.0,-6.54295558261e-08,2.2659405127e-11,2.56730791577e-27,0.0,1.83149556074e-11,-8.0890275667699985e-25,1.80871852208e-11
2.9e-09,1.52592e-07,1.51532e-07,2.9000012417e-09,-1e+300,2.0957943393200001e-23,2.95791514312e-25,(1.79291958464e-11 1.91839693977e-27 -4.38984597681e-13),2.9000012417e-09,0.0,0.0,-6.70942441982e-08,2.26695523457e-11,3.04255999412e-27,0.0,1.83149016751e-11,-7.3581393244e-25,1.80638934351e-11
3e-09,1.52361e-07,1.51304e-07,2.99999715089e-09,-1e+300,2.08862809025e-23,2.96772462846e-25,(1.79794125088e-11 1.82406832525e-27 -4.38205944855e-13),2.99999715089e-09,0.0,0.0,-6.84276106546e-08,2.26721590745e-11,3.09933227766e-27,0.0,1.83148447328e-11,-6.74743393329e-25,1.80420637484e-11
3.1e-09,1.52133e-07,1.51075e-07,3.099999443e-09,-1e+300,2.0815053449200005e-23,2.97939855255e-25,(1.80110446385e-11 1.5957347843e-27 -4.33565674758e-13),3.099999443e-09,0.0,0.0,-6.894234283e-08,2.26646462157e-11,2.72018678231e-27,0.0,1.83148011998e-11,-6.26042911222e-25,1.80202206375e-11
3.2e-09,1.51905e-07,1.50846e-07,3.20000060267e-09,-1e+300,2.07591075843e-23,2.98949950867e-25,(1.80745536898e-11 1.38341793e-27 -4.36370219704e-13),3.20000060267e-09,0.0,0.0,-7.0597125924e-08,2.2682059867e-11,2.11021965044e-27,0.0,1.83147685976e-11,-5.827108399779998e-25,1.79994459431e-11
3.3e-09,1.51681e-07,1.50626e-07,3.30000164838e-09,-1e+300,2.06718096494e-23,2.99662658814e-25,(1.80915926185e-11 1.5606597924e-27 -4.2889135139e-13),3.30000164838e-09,0.0,0.0,-7.18355015179e-08,2.26491030156e-11,1.66029659244e-27,0.0,1.83147445144e-11,-5.32893034451e-25,1.79793039552e-11
3.4e-09,1.51458e-07,1.50397e-07,3.40000204386e-09,-1e+300,2.0624221028200005e-23,3.0078536904e-25,(1.81588397879e-11 2.26698466481e-27 -4.32833735557e-13),3.40000204386e-09,0.0,0.0,-7.3165065678e-08,2.26780855802e-11,1.89996084496e-27,0.0,1.83147453083e-11,-4.648633807e-25,1.79594280034e-11
3.5e-09,1.51237e-07,1.50182e-07,3.50000252716e-09,-1e+300,2.05373632515e-23,3.01651477859e-25,(1.81835518119e-11 2.72897647977e-27 -4.27199193501e-13),3.50000252716e-09,0.0,0.0,-7.37952101644e-08,2.26657371076e-11,2.17620536568e-27,0.0,1.831474355e-11,-3.7119193044699998e-25,1.79407699527e-11
3.6e-09,1.51018e-07,1.49959e-07,3.60000204703e-09,-1e+300,2.0483740761000002e-23,3.02709156907e-25,(1.82311850286e-11 3.18330112368e-27 -4.28311208098e-13),3.60000204703e-09,0.0,0.0,-7.47717965247e-08,2.26779307744e-11,2.16446375298e-27,0.0,1.83147720426e-11,-2.52023911605e-25,1.79219491859e-11
3.7e-09,1.50801e-07,1.49746e-07,3.69999662358e-09,-1e+300,2.04005399737e-23,3.03352488524e-25,(1.82663615124e-11 2.7645906981e-27 -4.25236370772e-13),3.69999662358e-09,0.0,0.0,-7.62474975964e-08,2.26693452787e-11,1.77572892082e-27,0.0,1.83148036309e-11,-1.16630603302e-25,1.79045084538e-11
3.8e-09,1.50585e-07,1.49527e-07,3.7999994169e-09,-1e+300,2.03407976377e-23,3.04386164873e-25,(1.82978415276e-11 1.71209142285e-27 -4.23220327733e-13),3.7999994169e-09,0.0,0.0,-7.68712398671e-08,2.26693233784e-11,8.00742592625e-28,0.0,1.83148594968e-11,1.9421182305e-26,1.78868912051e-11
3.9e-09,1.50371e-07,1.49316e-07,3.89999857362e-09,-1e+300,2.02616788526e-23,3.04871996719e-25,(1.83406386861e-11 2.49307813084e-28 -4.225468201e-13),3.89999857362e-09,0.0,0.0,-7.87757818247e-08,2.26650843471e-11,-3.7248210813e-28,0.0,1.83149197875e-11,1.41534601805e-25,1.78704736447e-11
4e-09,1.50159e-07,1.49102e-07,3.99999827097e-09,-1e+300,2.0196253806e-23,3.05855870957e-25,(1.83600196187e-11 -1.02848192388e-27 -4.17858051695e-13),3.99999827097e-09,0.0,0.0,-7.92966339733e-08,2.2654408104e-11,-1.254762453e-27,0.0,1.83149972881e-11,2.42467941615e-25,1.78540676441e-11
4.1e-09,1.49948e-07,1.48892e-07,4.0999976312e-09,-1e+300,2.0123698749000002e-23,3.0656319146e-25,(1.84060306006e-11 -1.98298552331e-27 -4.18573687264e-13),4.0999976312e-09,0.0,0.0,-8.05638116504e-08,2.26651268952e-11,-1.91710791545e-27,0.0,1.8315082509e-11,3.22471096046e-25,1.78385431576e-11
4.2e-09,1.49739e-07,1.48683e-07,4.20000369315e-09,-1e+300,2.00519612863e-23,3.0727235871e-25,(1.84172354712e-11 -2.60624263418e-27 -4.12260963245e-13),4.20000369315e-09,0.0,0.0,-8.14928786965e-08,2.26399789908e-11,-2.32489520308e-27,0.0,1.83151766039e-11,3.86745343308e-25,1.78232847436e-11
4.3e-09,1.49531e-07,1.48474e-07,4.3000038663e-09,-1e+300,1.99846384023e-23,3.08027802545e-25,(1.84663190588e-11 -2.41894295198e-27 -4.14035670047e-13),4.3000038663e-09,0.0,0.0,-8.25836797788e-08,2.26581080799e-11,-2.33363698589e-27,0.0,1.83152827516e-11,4.42186437412e-25,1.78085820077e-11
4.4e-09,1.49325e-07,1.4827e-07,4.40000174605e-09,-1e+300,1.99090413969e-23,3.08498377601e-25,(1.84725062275e-11 -2.14167751609e-27 -4.06777558648e-13),4.40000174605e-09,0.0,0.0,-8.41523119416e-08,2.26215626187e-11,-2.32143344182e-27,0.0,1.83153897094e-11,4.9525978878e-25,1.77943924766e-11
4.5e-09,1.4912e-07,1.48063e-07,4.49999993913e-09,-1e+300,1.98444629529e-23,3.09512146136e-25,(1.85212985234e-11 -1.69916309854e-27 -4.09230417984e-13),4.49999993913e-09,0.0,0.0,-8.43762469428e-08,2.26527526692e-11,-2.0259105327e-27,0.0,1.83155124517e-11,5.50602998448e-25,1.77804726066e-11
4.6e-09,1.48917e-07,1.47862e-07,4.5999984119e-09,-1e+300,1.9767085394300002e-23,3.09891605543e-25,(1.85234325696e-11 -1.04722929622e-27 -4.0142201146e-13),4.5999984119e-09,0.0,0.0,-8.60720991963e-08,2.26111460392e-11,-1.79480177396e-27,0.0,1.83156284195e-11,6.11246910148e-25,1.77672288601e-11
4.7e-09,1.48715e-07,1.47658e-07,4.69999712076e-09,-1e+300,1.97050932314e-23,3.10721490799e-25,(1.85741341286e-11 -5.42199155433e-28 -4.04184669848e-13),4.69999712076e-09,0.0,0.0,-8.68113756016e-08,2.26385615216e-11,-1.38056447601e-27,0.0,1.831576329e-11,6.78153447169e-25,1.77540246413e-11
4.8e-09,1.48515e-07,1.4746e-07,4.79999672625e-09,-1e+300,1.9628578511600002e-23,3.11038567768e-25,(1.85758991449e-11 -3.25663117373e-28 -3.96507774552e-13),4.79999672625e-09,0.0,0.0,-8.84594042082e-08,2.25979593973e-11,-1.12806480132e-27,0.0,1.83158866209e-11,7.48407428802e-25,1.77416230873e-11
4.9e-09,1.48316e-07,1.47259e-07,4.8999972145e-09,-1e+300,1.9564701589200002e-23,3.1204870162399998e-25,(1.86215692817e-11 -9.32976524037e-29 -3.99017751683e-13),4.8999972145e-09,0.0,0.0,-8.85683453656e-08,2.26305182391e-11,-1.07972484912e-27,0.0,1.83160301895e-11,8.13900460586e-25,1.77291433548e-11
