time (s),Udown (m/s),eKinTot (j),eDissTot (J),divDevRhoTot(N)
1.00005930555e-10,-1e+300,7.152551783029999e-25,2.82930557804e-26,(3.13185470224e-12 2.02111670682e-28 -1.9640861578e-13)
2.00005930555e-10,-1e+300,8.42584406833e-25,2.96776512942e-26,(3.23650033215e-12 1.0428893842e-28 -1.33738036099e-13)
3.00005930555e-10,-1e+300,8.56398557653e-25,2.99192283849e-26,(3.27359533659e-12 1.26134203294e-28 -1.23309589339e-13)
4.00005930555e-10,-1e+300,8.50835540632e-25,2.9901333395800004e-26,(3.29695428434e-12 8.58419356778e-29 -1.2124630769e-13)
5.00005930555e-10,-1e+300,8.438550086879999e-25,2.98858193486e-26,(3.31802166885e-12 8.52325764903e-29 -1.21130459685e-13)
6.00005930555e-10,-1e+300,8.39135100876e-25,2.99342535457e-26,(3.34112125064e-12 6.37840198504e-29 -1.21581830579e-13)
7.00005930555e-10,-1e+300,8.35570702912e-25,2.99841015688e-26,(3.36179781891e-12 3.21189724938e-29 -1.2155205177e-13)
8.00005930555e-10,-1e+300,8.32750769884e-25,3.0028959314300003e-26,(3.38025259731e-12 -1.52145774583e-29 -1.21069686911e-13)
9.00005930555e-10,-1e+300,8.30318526368e-25,3.00633518013e-26,(3.39663568624e-12 -2.57731273553e-29 -1.20542407749e-13)
1.00000593055e-09,-1e+300,8.280549707289999e-25,3.0084652913600004e-26,(3.41108314866e-12 -8.77100959101e-29 -1.19842898206e-13)
1.10000593055e-09,-1e+300,8.25857510867e-25,3.00930657096e-26,(3.4236708463e-12 -1.08963841554e-28 -1.19263755069e-13)
1.20000593055e-09,-1e+300,8.25269310907e-25,3.01656211666e-26,(3.44094032445e-12 -1.05524655515e-28 -1.19039495221e-13)
1.30000593055e-09,-1e+300,8.2516989392e-25,3.02355647237e-26,(3.45747879709e-12 -1.19604646552e-28 -1.18527350223e-13)
1.40000593055e-09,-1e+300,8.25097940002e-25,3.02921870393e-26,(3.47257670638e-12 -9.30599775001e-29 -1.1770546115e-13)
1.50000593055e-09,-1e+300,8.24835410789e-25,3.0332535405500003e-26,(3.48602098857e-12 -1.16228788997e-28 -1.16970352334e-13)
1.60000593055e-09,-1e+300,8.24330049906e-25,3.0356654779e-26,(3.498039834e-12 -1.34145178642e-28 -1.16180538356e-13)
1.70000593055e-09,-1e+300,8.23534894481e-25,3.0364333618900004e-26,(3.50859089794e-12 -1.39012290559e-28 -1.15512657241e-13)
1.80000593055e-09,-1e+300,8.22997509777e-25,3.03850542966e-26,(3.51994959468e-12 -1.51513511328e-28 -1.14792528858e-13)
1.90000593055e-09,-1e+300,8.2360769252499995e-25,3.0447921212999997e-26,(3.53457402376e-12 -1.33826607913e-28 -1.14288272845e-13)
2.00000593055e-09,-1e+300,8.242335386659999e-25,3.0499708945900003e-26,(3.54803302091e-12 -1.46437067606e-28 -1.13463862186e-13)
2.10000593056e-09,-1e+300,8.2469967043e-25,3.05382117878e-26,(3.56019644431e-12 -1.73354093504e-28 -1.12499515605e-13)
2.20000593056e-09,-1e+300,8.2486021078799995e-25,3.05614059039e-26,(3.57105352228e-12 -1.41096679041e-28 -1.11544383017e-13)
2.30000593056e-09,-1e+300,8.2467953341399995e-25,3.05689397326e-26,(3.58059548025e-12 -1.0324643849e-28 -1.10653135006e-13)
2.40000593056e-09,-1e+300,8.241513282529999e-25,3.05612426064e-26,(3.58882561817e-12 -1.39908683936e-28 -1.09787509253e-13)
2.50000593056e-09,-1e+300,8.24365979849e-25,3.0590647606e-26,(3.59996099787e-12 -1.28896629354e-28 -1.09309968119e-13)
2.60000593056e-09,-1e+300,8.25293688633e-25,3.0640535737e-26,(3.61254134959e-12 -1.56097074045e-28 -1.08754409765e-13)
2.70000593056e-09,-1e+300,8.26086418264e-25,3.06785431356e-26,(3.62396563457e-12 -1.36240295593e-28 -1.07881341647e-13)
2.80000593056e-09,-1e+300,8.26681459435e-25,3.0704187658e-26,(3.63420784312e-12 -2.0297622001e-28 -1.07009361145e-13)
2.90000593056e-09,-1e+300,8.26992289726e-25,3.07165776404e-26,(3.64324673343e-12 -2.12472237832e-28 -1.06101325283e-13)
3.00000593056e-09,-1e+300,8.26922274179e-25,3.07135267863e-26,(3.65107597381e-12 -2.57659500111e-28 -1.05310112621e-13)
3.10000593056e-09,-1e+300,8.2652126983000005e-25,3.0696843036600004e-26,(3.65766965851e-12 -2.52013782634e-28 -1.04301373403e-13)
3.20000593056e-09,-1e+300,8.271628434449999e-25,3.07313758235e-26,(3.66849471006e-12 -2.5852815964e-28 -1.03792880585e-13)
3.30000593057e-09,-1e+300,8.28186158465e-25,3.07715144624e-26,(3.67948746427e-12 -2.36666668589e-28 -1.03300146603e-13)
