Time,max(CACoordsX),min(CACoordsX)
1.00006e-10,1.599e-07,1.59826e-07
2.00006e-10,1.59827e-07,1.59751e-07
3.00006e-10,1.59761e-07,1.59684e-07
4.00006e-10,1.59696e-07,1.59617e-07
5.00006e-10,1.59631e-07,1.59553e-07
6.00006e-10,1.59567e-07,1.5949e-07
7.00006e-10,1.59504e-07,1.59427e-07
8.00006e-10,1.59441e-07,1.59365e-07
9.00006e-10,1.59379e-07,1.59301e-07
1.00001e-09,1.59316e-07,1.59238e-07
1.10001e-09,1.59254e-07,1.59175e-07
1.20001e-09,1.59191e-07,1.59114e-07
1.30001e-09,1.5913e-07,1.59053e-07
1.40001e-09,1.59069e-07,1.58992e-07
1.50001e-09,1.59008e-07,1.58931e-07
1.60001e-09,1.58947e-07,1.58869e-07
1.70001e-09,1.58886e-07,1.58807e-07
1.80001e-09,1.58825e-07,1.58747e-07
1.90001e-09,1.58764e-07,1.58687e-07
2.00001e-09,1.58704e-07,1.58628e-07
2.10001e-09,1.58644e-07,1.58568e-07
2.20001e-09,1.58585e-07,1.58507e-07
2.30001e-09,1.58525e-07,1.58447e-07
2.40001e-09,1.58465e-07,1.58386e-07
2.50001e-09,1.58405e-07,1.58327e-07
2.60001e-09,1.58346e-07,1.58269e-07
2.70001e-09,1.58287e-07,1.5821e-07
2.80001e-09,1.58228e-07,1.58151e-07
2.90001e-09,1.5817e-07,1.58092e-07
3.00001e-09,1.58111e-07,1.58032e-07
3.10001e-09,1.58052e-07,1.57973e-07
3.20001e-09,1.57993e-07,1.57915e-07
3.30001e-09,1.57935e-07,1.57858e-07
3.40001e-09,1.57877e-07,1.578e-07
3.50001e-09,1.5782e-07,1.57742e-07
3.60001e-09,1.57762e-07,1.57684e-07
3.70001e-09,1.57704e-07,1.57625e-07
3.80001e-09,1.57646e-07,1.57567e-07
3.90001e-09,1.57588e-07,1.5751e-07
4.00001e-09,1.57531e-07,1.57454e-07
4.10001e-09,1.57474e-07,1.57397e-07
4.20001e-09,1.57417e-07,1.5734e-07
4.30001e-09,1.57361e-07,1.57282e-07
4.40001e-09,1.57304e-07,1.57224e-07
4.50001e-09,1.57246e-07,1.57167e-07
4.60001e-09,1.57189e-07,1.57111e-07
4.70001e-09,1.57133e-07,1.57056e-07
4.80001e-09,1.57077e-07,1.57e-07
4.90001e-09,1.57021e-07,1.56943e-07
5.00001e-09,1.56965e-07,1.56887e-07
5.10001e-09,1.56909e-07,1.56829e-07
5.20001e-09,1.56853e-07,1.56773e-07
5.30001e-09,1.56796e-07,1.56718e-07
5.40001e-09,1.56741e-07,1.56663e-07
5.50001e-09,1.56686e-07,1.56608e-07
5.60001e-09,1.56631e-07,1.56553e-07
5.70001e-09,1.56575e-07,1.56497e-07
5.80001e-09,1.5652e-07,1.5644e-07
5.90001e-09,1.56465e-07,1.56384e-07
6.00001e-09,1.56409e-07,1.5633e-07
6.10001e-09,1.56354e-07,1.56276e-07
6.20001e-09,1.563e-07,1.56222e-07
6.30001e-09,1.56245e-07,1.56167e-07
6.40001e-09,1.56191e-07,1.56112e-07
6.50001e-09,1.56137e-07,1.56057e-07
6.60001e-09,1.56082e-07,1.56001e-07
6.70001e-09,1.56027e-07,1.55947e-07
6.80001e-09,1.55972e-07,1.55894e-07
6.90001e-09,1.55919e-07,1.55841e-07
7.00001e-09,1.55865e-07,1.55787e-07
7.10001e-09,1.55811e-07,1.55733e-07
7.20001e-09,1.55758e-07,1.55678e-07
7.30001e-09,1.55704e-07,1.55623e-07
7.40001e-09,1.5565e-07,1.55569e-07
7.50001e-09,1.55596e-07,1.55517e-07
7.60001e-09,1.55542e-07,1.55464e-07
7.70001e-09,1.55489e-07,1.55411e-07
7.80001e-09,1.55437e-07,1.55358e-07
7.90001e-09,1.55384e-07,1.55305e-07
8.00001e-09,1.55331e-07,1.5525e-07
8.10001e-09,1.55278e-07,1.55196e-07
8.20001e-09,1.55224e-07,1.55144e-07
8.30001e-09,1.55171e-07,1.55092e-07
8.40001e-09,1.55118e-07,1.5504e-07
8.50001e-09,1.55066e-07,1.54988e-07
8.60001e-09,1.55014e-07,1.54935e-07
8.70001e-09,1.54962e-07,1.54882e-07
8.80001e-09,1.54909e-07,1.54828e-07
8.90001e-09,1.54857e-07,1.54776e-07
9.00001e-09,1.54804e-07,1.54725e-07
9.10001e-09,1.54752e-07,1.54674e-07
9.20001e-09,1.547e-07,1.54622e-07
9.30001e-09,1.54649e-07,1.5457e-07
9.40001e-09,1.54597e-07,1.54518e-07
9.50001e-09,1.54545e-07,1.54466e-07
9.60001e-09,1.54494e-07,1.54412e-07
9.70001e-09,1.54441e-07,1.54361e-07
9.80001e-09,1.54389e-07,1.54311e-07
9.90001e-09,1.54338e-07,1.5426e-07
1e-08,1.54287e-07,1.54209e-07
1.01e-08,1.54236e-07,1.54158e-07
1.02e-08,1.54185e-07,1.54107e-07
1.03e-08,1.54134e-07,1.54054e-07
1.04e-08,1.54083e-07,1.54002e-07
1.05e-08,1.54031e-07,1.53952e-07
1.06e-08,1.5398e-07,1.53902e-07
1.07e-08,1.5393e-07,1.53852e-07
1.08e-08,1.53879e-07,1.53802e-07
1.09e-08,1.53829e-07,1.53751e-07
1.1e-08,1.53779e-07,1.537e-07
1.11e-08,1.53728e-07,1.53649e-07
1.12e-08,1.53678e-07,1.53597e-07
1.13e-08,1.53627e-07,1.53548e-07
1.14e-08,1.53576e-07,1.53499e-07
1.15e-08,1.53526e-07,1.53449e-07
1.16e-08,1.53476e-07,1.534e-07
1.17e-08,1.53427e-07,1.5335e-07
1.18e-08,1.53377e-07,1.53299e-07
1.19e-08,1.53327e-07,1.53248e-07
1.2e-08,1.53277e-07,1.53197e-07
1.21e-08,1.53227e-07,1.53149e-07
1.22e-08,1.53177e-07,1.531e-07
1.23e-08,1.53127e-07,1.53051e-07
1.24e-08,1.53078e-07,1.53002e-07
1.25e-08,1.53029e-07,1.52953e-07
1.26e-08,1.5298e-07,1.52903e-07
1.27e-08,1.52931e-07,1.52853e-07
1.28e-08,1.52881e-07,1.52802e-07
1.29e-08,1.52832e-07,1.52754e-07
1.3e-08,1.52782e-07,1.52706e-07
1.31e-08,1.52733e-07,1.52657e-07
1.32e-08,1.52685e-07,1.52609e-07
1.33e-08,1.52636e-07,1.5256e-07
1.34e-08,1.52588e-07,1.52511e-07
1.35e-08,1.52539e-07,1.52462e-07
1.36e-08,1.5249e-07,1.52411e-07
1.37e-08,1.52441e-07,1.52363e-07
1.38e-08,1.52391e-07,1.52316e-07
1.39e-08,1.52343e-07,1.52268e-07
1.4e-08,1.52295e-07,1.5222e-07
1.41e-08,1.52247e-07,1.52172e-07
1.42e-08,1.52199e-07,1.52124e-07
1.43e-08,1.52151e-07,1.52075e-07
1.44e-08,1.52103e-07,1.52025e-07
1.45e-08,1.52054e-07,1.51977e-07
1.46e-08,1.52006e-07,1.5193e-07
1.47e-08,1.51958e-07,1.51883e-07
1.48e-08,1.5191e-07,1.51835e-07
1.49e-08,1.51863e-07,1.51788e-07
1.5e-08,1.51815e-07,1.5174e-07
1.51e-08,1.51768e-07,1.51692e-07
1.52e-08,1.5172e-07,1.51643e-07
1.53e-08,1.51672e-07,1.51594e-07
1.54e-08,1.51624e-07,1.51547e-07
1.55e-08,1.51576e-07,1.51501e-07
1.56e-08,1.51529e-07,1.51454e-07
1.57e-08,1.51482e-07,1.51407e-07
1.58e-08,1.51435e-07,1.5136e-07
1.59e-08,1.51388e-07,1.51312e-07
1.6e-08,1.51341e-07,1.51264e-07
1.61e-08,1.51294e-07,1.51216e-07
1.62e-08,1.51246e-07,1.51169e-07
1.63e-08,1.51198e-07,1.51123e-07
