Time,max(Result),min(Result)
1.29e-08,1.87375e+06,-5.37185e+06
1.3e-08,1.86451e+06,-5.37772e+06
1.31e-08,1.85466e+06,-5.38318e+06
1.32e-08,1.86189e+06,-5.38761e+06
1.33e-08,1.8669e+06,-5.39746e+06
1.34e-08,1.86951e+06,-5.40883e+06
1.35e-08,1.86954e+06,-5.41771e+06
1.36e-08,1.86687e+06,-5.42436e+06
1.37e-08,1.86131e+06,-5.43006e+06
1.38e-08,1.85322e+06,-5.43642e+06
1.39e-08,1.84224e+06,-5.44239e+06
1.4e-08,1.84198e+06,-5.4476e+06
1.41e-08,1.84736e+06,-5.45137e+06
1.42e-08,1.85049e+06,-5.46295e+06
1.43e-08,1.85088e+06,-5.47475e+06
1.44e-08,1.84308e+06,-5.48948e+06
1.45e-08,1.84489e+06,-5.48654e+06
1.46e-08,1.83791e+06,-5.49302e+06
1.47e-08,1.82841e+06,-5.49946e+06
1.48e-08,1.81722e+06,-5.50543e+06
1.49e-08,1.82294e+06,-5.51013e+06
1.5e-08,1.82655e+06,-5.51406e+06
1.51e-08,1.82788e+06,-5.52561e+06
1.52e-08,1.82682e+06,-5.53473e+06
1.53e-08,1.81976e+06,-5.54838e+06
1.54e-08,1.81721e+06,-5.547e+06
1.55e-08,1.80892e+06,-5.55431e+06
1.56e-08,1.79825e+06,-5.5605e+06
1.57e-08,1.7951e+06,-5.56612e+06
1.58e-08,1.79969e+06,-5.56984e+06
1.59e-08,1.80144e+06,-5.5745e+06
1.6e-08,1.7989e+06,-5.58995e+06
1.61e-08,1.80101e+06,-5.5905e+06
1.62e-08,1.79381e+06,-5.59959e+06
1.63e-08,1.78676e+06,-5.60587e+06
1.64e-08,1.77748e+06,-5.6128e+06
1.65e-08,1.76646e+06,-5.61916e+06
1.66e-08,1.77177e+06,-5.62444e+06
1.67e-08,1.78121e+06,-5.62006e+06
1.68e-08,1.77631e+06,-5.63187e+06
1.69e-08,1.77565e+06,-5.64037e+06
1.7e-08,1.77205e+06,-5.64997e+06
1.71e-08,1.76649e+06,-5.65582e+06
1.72e-08,1.75907e+06,-5.66251e+06
1.73e-08,1.74957e+06,-5.66934e+06
1.74e-08,1.74524e+06,-5.67572e+06
1.75e-08,1.75015e+06,-5.68078e+06
1.76e-08,1.75311e+06,-5.6845e+06
1.77e-08,1.75414e+06,-5.68687e+06
1.78e-08,1.75298e+06,-5.69642e+06
1.79e-08,1.74955e+06,-5.70399e+06
1.8e-08,1.7441e+06,-5.71017e+06
1.81e-08,1.73678e+06,-5.71672e+06
1.82e-08,1.72748e+06,-5.72364e+06
1.83e-08,1.72604e+06,-5.72996e+06
1.84e-08,1.73085e+06,-5.73489e+06
