Time,max(CACoordsX),min(CACoordsX),max(coordsX_Meniscus),min(coordsX_Meniscus),time (s),Udown (m/s),eKinTot (j),eDissTot (J),divDevRhoTot(N),# Time,pressureForceX,pressureForceY,pressureForceZ,viscousForceX,viscousForceY,viscousForceZ,capillaryForceX,capillaryForceY,capillaryForceZ,max(Result),min(Result)
1.00006e-10,1.599e-07,1.59826e-07,1.60043e-07,1.59826e-07,1.00005930555e-10,-1e+300,7.152551783029998e-25,2.82930557804e-26,(3.13185470224e-12 2.02111670682e-28 -1.9640861578e-13),1.00005930555e-10,0.0,0.0,-4.64894160456e-09,4.768858527360001e-12,3.65179522378e-28,0.0,8.63829352908e-12,3.15924769148e-26,4.750444613130001e-12,1524410.0,-4083080.0
2.00006e-10,1.59827e-07,1.59751e-07,1.59997e-07,1.59751e-07,2.00005930555e-10,-1e+300,8.42584406833e-25,2.96776512942e-26,(3.23650033215e-12 1.0428893842e-28 -1.33738036099e-13),2.00005930555e-10,0.0,0.0,-5.12078603237e-09,4.799607207770001e-12,5.79557160241e-29,0.0,8.63903888904e-12,2.62212247374e-26,4.7751658495800004e-12,1659010.0,-4389120.0
3.00006e-10,1.59761e-07,1.59684e-07,1.59934e-07,1.59684e-07,3.00005930555e-10,-1e+300,8.56398557653e-25,2.99192283849e-26,(3.27359533659e-12 1.26134203294e-28 -1.23309589339e-13),3.00005930555e-10,0.0,0.0,-5.23334743194e-09,4.82174121167e-12,1.01886375531e-29,0.0,8.63969776037e-12,2.05499659236e-26,4.79656311332e-12,1683900.0,-4451840.0
4.00006e-10,1.59696e-07,1.59617e-07,1.5987e-07,1.59617e-07,4.00005930555e-10,-1e+300,8.50835540632e-25,2.9901333395800004e-26,(3.29695428434e-12 8.58419356778e-29 -1.2124630769e-13),4.00005930555e-10,0.0,0.0,-5.27358289188e-09,4.83872299197e-12,8.96777439261e-30,0.0,8.64027354868e-12,1.47384575167e-26,4.815609295770001e-12,1692340.0,-4466750.0
5.00006e-10,1.59631e-07,1.59553e-07,1.59806e-07,1.59553e-07,5.00005930555e-10,-1e+300,8.438550086879999e-25,2.98858193486e-26,(3.31802166885e-12 8.52325764903e-29 -1.21130459685e-13),5.00005930555e-10,0.0,0.0,-5.30672158456e-09,4.85524254542e-12,4.81592595234e-30,0.0,8.640803708050001e-12,8.9338894106e-27,4.832975277790001e-12,1694610.0,-4477030.0
6.00006e-10,1.59567e-07,1.5949e-07,1.59743e-07,1.5949e-07,6.00005930555e-10,-1e+300,8.39135100876e-25,2.99342535457e-26,(3.34112125064e-12 6.37840198504e-29 -1.21581830579e-13),6.00005930555e-10,0.0,0.0,-5.34341260472e-09,4.87561249904e-12,-2.79388070307e-29,0.0,8.6413084484e-12,3.24583150192e-27,4.84902561409e-12,1693350.0,-4485340.0
7.00006e-10,1.59504e-07,1.59427e-07,1.5968e-07,1.59427e-07,7.00005930555e-10,-1e+300,8.35570702912e-25,2.99841015688e-26,(3.36179781891e-12 3.21189724938e-29 -1.2155205177e-13),7.00005930555e-10,0.0,0.0,-5.38162767772e-09,4.893377358870001e-12,-6.604767441769998e-29,0.0,8.64179248965e-12,-2.25964565215e-27,4.86392668701e-12,1704010.0,-4491110.0
8.00006e-10,1.59441e-07,1.59365e-07,1.59617e-07,1.59365e-07,8.00005930555e-10,-1e+300,8.32750769884e-25,3.0028959314300003e-26,(3.38025259731e-12 -1.52145774583e-29 -1.21069686911e-13),8.00005930555e-10,0.0,0.0,-5.42091078222e-09,4.908652888520001e-12,-1.0491691742100002e-28,0.0,8.64225948348e-12,-7.52787851879e-27,4.8778254235200004e-12,1713170.0,-4492500.0
9.00006e-10,1.59379e-07,1.59301e-07,1.59554e-07,1.59301e-07,9.00005930555e-10,-1e+300,8.30318526368e-25,3.00633518013e-26,(3.39663568624e-12 -2.57731273553e-29 -1.20542407749e-13),9.00005930555e-10,0.0,0.0,-5.45993038927e-09,4.921574562450001e-12,-1.44546150577e-28,0.0,8.64271283811e-12,-1.25145392776e-26,4.890852782920001e-12,1720260.0,-4488630.0
1.00001e-09,1.59316e-07,1.59238e-07,1.59492e-07,1.59238e-07,1.00000593055e-09,-1e+300,8.280549707289999e-25,3.0084652913600004e-26,(3.41108314866e-12 -8.77100959101e-29 -1.19842898206e-13),1.00000593055e-09,0.0,0.0,-5.50153294122e-09,4.932139133850001e-12,-1.91473230031e-28,0.0,8.643155392730001e-12,-1.71876896742e-26,4.903120086850001e-12,1722840.0,-4490100.0
