time (s),Udown (m/s),eKinTot (j),eDissTot (J),divDevRhoTot(N)
4.60000492486e-09,-1e+300,1.51065670267e-23,2.63602613641e-25,(1.66593546166e-11 -5.11450993462e-28 -4.28944557727e-13)
4.69999935456e-09,-1e+300,1.50731228543e-23,2.6396301437e-25,(1.66772342901e-11 -1.01830451355e-27 -4.28782452125e-13)
4.80000002445e-09,-1e+300,1.5047938813100002e-23,2.6450814741e-25,(1.67278395336e-11 -9.95467495446e-28 -4.30265902497e-13)
4.90000386117e-09,-1e+300,1.5015109425000002e-23,2.6487848444e-25,(1.67534313313e-11 -8.45945181853e-28 -4.3199506243e-13)
5.00000212247e-09,-1e+300,1.49855330389e-23,2.6533056368899997e-25,(1.679279049e-11 -6.24063325364e-28 -4.30832772409e-13)
5.09999488479e-09,-1e+300,1.49530087671e-23,2.6570390802599997e-25,(1.68265515741e-11 -4.66800242675e-28 -4.34770446125e-13)
5.20000455835e-09,-1e+300,1.4919336992000002e-23,2.6606477319199997e-25,(1.68538552368e-11 -6.07056284326e-28 -4.3179668637e-13)
5.30000415684e-09,-1e+300,1.48892460373e-23,2.6646535797599997e-25,(1.68964517111e-11 -5.17832662254e-28 -4.36752384677e-13)
5.40000565613e-09,-1e+300,1.48497678764e-23,2.66710509103e-25,(1.69105822154e-11 -6.68435179046e-28 -4.3348182738e-13)
5.50000292369e-09,-1e+300,1.48230554222e-23,2.67173054948e-25,(1.69621679689e-11 -6.31512047367e-28 -4.37008872572e-13)
5.60000108106e-09,-1e+300,1.47822691394e-23,2.67386322506e-25,(1.69770807433e-11 -3.94626170983e-28 -4.3596634676e-13)
5.69999909899e-09,-1e+300,1.4752025242e-23,2.67797667925e-25,(1.70233255958e-11 -2.43092987827e-28 -4.36649599969e-13)
5.79999469563e-09,-1e+300,1.47135024923e-23,2.68054306577e-25,(1.7049267482e-11 -1.8402224969e-28 -4.377656556e-13)
5.89999860573e-09,-1e+300,1.46771112651e-23,2.68350566768e-25,(1.70790855096e-11 -6.33663746698e-28 -4.34507164896e-13)
6.00000459579e-09,-1e+300,1.4642304697e-23,2.68652388407e-25,(1.71157863146e-11 -1.32876684952e-27 -4.37866782972e-13)
6.10000318356e-09,-1e+300,1.45999054761e-23,2.68837145936e-25,(1.7128177867e-11 -1.85839945693e-27 -4.32776721444e-13)
6.19999624286e-09,-1e+300,1.45720119538e-23,2.69243657792e-25,(1.71738672958e-11 -2.14760513969e-27 -4.34259017146e-13)
6.30000092652e-09,-1e+300,1.45396888576e-23,2.69526998544e-25,(1.71814106891e-11 -2.27025946475e-27 -4.30226651349e-13)
6.4000028203e-09,-1e+300,1.4517314072900002e-23,2.69972058343e-25,(1.72115534518e-11 -1.80772544458e-27 -4.26834667973e-13)
6.50000597549e-09,-1e+300,1.44936287536e-23,2.70367636148e-25,(1.72282315121e-11 -1.16697042967e-27 -4.25055552676e-13)
6.59999841253e-09,-1e+300,1.44680747581e-23,2.70776714617e-25,(1.72353664596e-11 -5.87055162733e-28 -4.1671136678e-13)
6.70000399065e-09,-1e+300,1.44514364625e-23,2.71175400303e-25,(1.72634890456e-11 -1.60565464367e-29 -4.16031463607e-13)
6.80000260559e-09,-1e+300,1.44256142878e-23,2.71538182832e-25,(1.72580620512e-11 4.84283601295e-28 -4.09277427664e-13)
6.90000596951e-09,-1e+300,1.4411152599e-23,2.72057757785e-25,(1.72873161621e-11 3.45533204694e-28 -4.07103265158e-13)
7.00000620299e-09,-1e+300,1.43906605355e-23,2.7248011829e-25,(1.7295724995e-11 -4.23741202321e-29 -4.04377511529e-13)
7.09999975642e-09,-1e+300,1.43690028306e-23,2.72867991629e-25,(1.7302673457e-11 -4.09172153892e-28 -3.96832172387e-13)
7.20000036813e-09,-1e+300,1.43521404977e-23,2.73328341448e-25,(1.73247194152e-11 -7.69913520018e-28 -3.97596506668e-13)
7.29999963764e-09,-1e+300,1.43268496867e-23,2.73673753026e-25,(1.73151437031e-11 -1.11780577034e-27 -3.90980501934e-13)
7.40000386997e-09,-1e+300,1.43120630801e-23,2.7414402375899997e-25,(1.73437079543e-11 -1.25412394179e-27 -3.8936564223e-13)
7.49999569899e-09,-1e+300,1.42921748065e-23,2.7454921983699997e-25,(1.73500857246e-11 -1.23142938433e-27 -3.87528335139e-13)
7.59999685578e-09,-1e+300,1.42686579133e-23,2.74902257054e-25,(1.73542847254e-11 -1.16197337815e-27 -3.80982063403e-13)
7.70000265873e-09,-1e+300,1.42504270333e-23,2.7536001534899997e-25,(1.73748252717e-11 -9.29045019677e-28 -3.81390419833e-13)
7.79999890103e-09,-1e+300,1.4224616464000002e-23,2.7563390682499998e-25,(1.73672755667e-11 -6.90051621983e-28 -3.75871493008e-13)
7.90000387453e-09,-1e+300,1.42063485416e-23,2.76068002838e-25,(1.73900794875e-11 -2.49973016899e-28 -3.73807073165e-13)
8.00000434301e-09,-1e+300,1.41858396096e-23,2.7644977671099997e-25,(1.73981312593e-11 1.61042720614e-28 -3.72925704803e-13)
8.09999909013e-09,-1e+300,1.41587600119e-23,2.76736453199e-25,(1.73957388863e-11 3.73553483144e-28 -3.66424708475e-13)
8.20000178706e-09,-1e+300,1.41403692307e-23,2.77150036586e-25,(1.74181457702e-11 6.96596656912e-28 -3.66898479631e-13)
8.300000496e-09,-1e+300,1.411525301e-23,2.7745629927399997e-25,(1.7414434721e-11 8.28514268941e-28 -3.63514759441e-13)
8.40000035001e-09,-1e+300,1.40923513616e-23,2.7781275664399997e-25,(1.74274881221e-11 7.82121198627e-28 -3.59417626774e-13)
8.50000387956e-09,-1e+300,1.40717519119e-23,2.78176585589e-25,(1.74395286598e-11 5.49258703123e-28 -3.60423717804e-13)
8.59999642461e-09,-1e+300,1.40403148019e-23,2.78378757886e-25,(1.74267928908e-11 4.24470475065e-28 -3.54048905866e-13)
8.70000603373e-09,-1e+300,1.4022624219999998e-23,2.7879567682099997e-25,(1.74523315985e-11 2.18814561595e-28 -3.54170999766e-13)
8.79999922706e-09,-1e+300,1.39998894452e-23,2.7912258964899997e-25,(1.745488965e-11 1.03640625933e-28 -3.53197729771e-13)
8.89999540474e-09,-1e+300,1.3972868749000002e-23,2.7939522297599998e-25,(1.74544802502e-11 -1.24906507851e-28 -3.47232192542e-13)
8.99999534615e-09,-1e+300,1.3954170202600002e-23,2.7977246889e-25,(1.74706640123e-11 -2.50212962227e-28 -3.47861543517e-13)
9.10000471644e-09,-1e+300,1.3926346879100002e-23,2.80020034083e-25,(1.74648420628e-11 -4.402810438e-28 -3.45241197583e-13)
9.19999434181e-09,-1e+300,1.39037862329e-23,2.8019000378899997e-25,(1.74766513844e-11 -5.31332609585e-28 -3.41044071819e-13)
9.29999743492e-09,-1e+300,1.388387732e-23,2.80694975568e-25,(1.74837128016e-11 -5.24386753056e-28 -3.42182760453e-13)
9.40000019343e-09,-1e+300,1.3850999827900002e-23,2.80853066818e-25,(1.74706978318e-11 -5.84652729761e-28 -3.37300325433e-13)
9.50000418104e-09,-1e+300,1.38329468877e-23,2.81239254662e-25,(1.74911341391e-11 -5.32662325241e-28 -3.36228785353e-13)
9.5999973533e-09,-1e+300,1.38127247127e-23,2.81573127071e-25,(1.74922386281e-11 -6.76254347923e-28 -3.36098492156e-13)
9.70000453506e-09,-1e+300,1.37815726345e-23,2.8177125048499998e-25,(1.74859603607e-11 -5.764133372e-28 -3.31292065726e-13)
9.80000232138e-09,-1e+300,1.37643779664e-23,2.8213951295599997e-25,(1.7501650636e-11 -6.28362021422e-28 -3.31099287995e-13)
9.89999781406e-09,-1e+300,1.37416215977e-23,2.8242305641000003e-25,(1.74968394623e-11 -4.15489851262e-28 -3.30089612525e-13)
1.0000002248e-08,-1e+300,1.37138562947e-23,2.82664289421e-25,(1.74982193957e-11 -1.77859250017e-28 -3.25759951245e-13)
1.01000062187e-08,-1e+300,1.36961412191e-23,2.83005757706e-25,(1.75084051487e-11 1.06412655185e-28 -3.26197558212e-13)
1.02000043915e-08,-1e+300,1.36711391797e-23,2.83255412571e-25,(1.74982911e-11 3.14224720005e-28 -3.24157421066e-13)
1.03000001712e-08,-1e+300,1.36469121063e-23,2.83538240533e-25,(1.75061610534e-11 3.8960284722e-28 -3.20591799098e-13)
1.03999952069e-08,-1e+300,1.36285982558e-23,2.8386881727399997e-25,(1.75117690968e-11 2.53508338669e-28 -3.21820758059e-13)
1.04999958912e-08,-1e+300,1.3602212314000002e-23,2.84079588184e-25,(1.74973065337e-11 2.18795791388e-28 -3.1852372089e-13)
1.06000035577e-08,-1e+300,1.35825821442e-23,2.84385625665e-25,(1.75105787843e-11 7.8413886223e-29 -3.17032126514e-13)
1.06999953399e-08,-1e+300,1.35645551786e-23,2.84744039777e-25,(1.75122057434e-11 1.6835197593e-28 -3.17607738303e-13)
1.08000020978e-08,-1e+300,1.35375380095e-23,2.84944010144e-25,(1.7493970848e-11 2.10510348652e-28 -3.12965848631e-13)
1.08999991831e-08,-1e+300,1.35203747464e-23,2.8530191319699998e-25,(1.75114291879e-11 4.01916759379e-28 -3.12902351423e-13)
1.1000000326e-08,-1e+300,1.3501373159e-23,2.85604932364e-25,(1.75108021896e-11 3.78434355654e-28 -3.13275867922e-13)
1.11000036392e-08,-1e+300,1.3475102633e-23,2.85814284576e-25,(1.74961327054e-11 3.93208583245e-28 -3.0901567199e-13)
1.11999965469e-08,-1e+300,1.3458823086000002e-23,2.86177895133e-25,(1.75104926392e-11 3.71551963279e-28 -3.09035250449e-13)
1.13000005746e-08,-1e+300,1.34394234518e-23,2.86467568608e-25,(1.75070528257e-11 3.59114226365e-28 -3.09209128849e-13)
1.14000036276e-08,-1e+300,1.34142730225e-23,2.86567075484e-25,(1.7497256527e-11 3.15637963487e-28 -3.05159427138e-13)
1.14999965175e-08,-1e+300,1.33987396129e-23,2.87042605554e-25,(1.75079531329e-11 4.1876559786e-28 -3.05289678423e-13)
1.16000059289e-08,-1e+300,1.3379220694200002e-23,2.87326985643e-25,(1.75022875589e-11 5.20653704926e-28 -3.05189988998e-13)
1.16999957675e-08,-1e+300,1.33530779115e-23,2.8754496577799997e-25,(1.74947201995e-11 6.09996013055e-28 -3.01167718614e-13)
1.17999991668e-08,-1e+300,1.33378280634e-23,2.8788473129299997e-25,(1.75041733143e-11 8.43575327204e-28 -3.01139578999e-13)
1.18999990609e-08,-1e+300,1.33178929218e-23,2.8814370133000003e-25,(1.74971631245e-11 8.7226442715e-28 -3.01110121282e-13)
1.20000025127e-08,-1e+300,1.32914386723e-23,2.8844068619399997e-25,(1.74905379744e-11 9.48859232172e-28 -2.97205856193e-13)
1.21000038096e-08,-1e+300,1.32752273003e-23,2.88684450881e-25,(1.74996631289e-11 1.04664016274e-27 -2.97277394396e-13)
1.21999966364e-08,-1e+300,1.32551117048e-23,2.88934373231e-25,(1.74917565548e-11 1.22434735705e-27 -2.97219845826e-13)
1.2300000879e-08,-1e+300,1.3229258755900001e-23,2.89143136642e-25,(1.74858875663e-11 1.31581783665e-27 -2.93674880684e-13)
1.24000005419e-08,-1e+300,1.32108274105e-23,2.8942917962e-25,(1.74949885384e-11 1.16564717555e-27 -2.93516863917e-13)
