# Time,pressureForceX,pressureForceY,pressureForceZ,viscousForceX,viscousForceY,viscousForceZ,capillaryForceX,capillaryForceY,capillaryForceZ
9.99972271782e-11,0.0,0.0,-3.00728927731e-08,2.23546093931e-11,1.1022690039700001e-27,0.0,1.81033941247e-11,1.9434738562e-25,1.82359312819e-11
1.9999722211e-10,0.0,0.0,-3.17434720757e-08,2.16207507655e-11,3.3553652269200002e-28,0.0,1.80449498081e-11,1.3563436924199998e-25,1.82384083953e-11
2.99999004289e-10,0.0,0.0,-3.25072118324e-08,2.14126867415e-11,2.3470394437200002e-28,0.0,1.79814162776e-11,5.60123736292e-26,1.81866401019e-11
3.999968329e-10,0.0,0.0,-3.32381112777e-08,2.12881355406e-11,-5.02269701375e-29,0.0,1.79199677731e-11,-3.6051641601200003e-26,1.81200833221e-11
5.00002667716e-10,0.0,0.0,-3.39990165758e-08,2.12060133264e-11,-1.2380160680700001e-27,0.0,1.78612122517e-11,-1.3534833948e-25,1.80443942097e-11
6.00002114036e-10,0.0,0.0,-3.47486087877e-08,2.11040782966e-11,-1.58166233771e-27,0.0,1.78050589262e-11,-2.37008521825e-25,1.79620844987e-11
7.00000802192e-10,0.0,0.0,-3.55875569091e-08,2.09968044776e-11,-1.48273560884e-27,0.0,1.77514803047e-11,-3.3397404626799998e-25,1.78748264442e-11
7.9999837909e-10,0.0,0.0,-3.63840674163e-08,2.09575800441e-11,-4.371029737730001e-28,0.0,1.77006957699e-11,-4.18734296978e-25,1.7785997171e-11
9.00002297767e-10,0.0,0.0,-3.71668647228e-08,2.08915076755e-11,1.47424638935e-28,0.0,1.76525926892e-11,-4.86436795178e-25,1.76976315407e-11
9.99998980523e-10,0.0,0.0,-3.79536449795e-08,2.08032003291e-11,4.878170348570001e-28,0.0,1.76071123231e-11,-5.3518529126099995e-25,1.76096194203e-11
1.09999790801e-09,0.0,0.0,-3.87605835222e-08,2.07891511279e-11,1.32194015258e-27,0.0,1.75642818877e-11,-5.66459583961e-25,1.75233557079e-11
1.20000240051e-09,0.0,0.0,-3.95697404055e-08,2.07426212905e-11,2.1071493645200002e-27,0.0,1.75242752995e-11,-5.8453798664499995e-25,1.74412504927e-11
1.30000206791e-09,0.0,0.0,-4.03542050304e-08,2.06834425966e-11,3.14381031096e-27,0.0,1.74866713247e-11,-5.96789484759e-25,1.73614121991e-11
1.39999807254e-09,0.0,0.0,-4.11750290366e-08,2.0682758522e-11,3.43240007375e-27,0.0,1.74514062482e-11,-6.10219469723e-25,1.72853629059e-11
1.50000189568e-09,0.0,0.0,-4.19709558745e-08,2.06396326502e-11,3.32132321477e-27,0.0,1.74184334569e-11,-6.28827494413e-25,1.72137649334e-11
1.59999580487e-09,0.0,0.0,-4.26122342498e-08,2.06216553555e-11,2.83640932395e-27,0.0,1.73872423952e-11,-6.53766753827e-25,1.71443048403e-11
1.7000036981e-09,0.0,0.0,-4.35969116163e-08,2.06143376376e-11,2.26656929979e-27,0.0,1.7358249244e-11,-6.84607202286e-25,1.70800185923e-11
1.79999568845e-09,0.0,0.0,-4.43849138399e-08,2.05617207327e-11,1.81390318359e-27,0.0,1.73310735428e-11,-7.19598677169e-25,1.70187091857e-11
1.89999927727e-09,0.0,0.0,-4.52323076699e-08,2.05874904435e-11,1.76510265336e-27,0.0,1.73058566943e-11,-7.5640831658e-25,1.69611045098e-11
1.99999715163e-09,0.0,0.0,-4.60376671748e-08,2.05637295815e-11,1.94987679459e-27,0.0,1.72826343499e-11,-7.9314682665e-25,1.69075852407e-11
2.0999960596e-09,0.0,0.0,-4.68795833465e-08,2.05639610728e-11,2.36700475177e-27,0.0,1.72611858236e-11,-8.292396594329999e-25,1.68566588794e-11
2.20000072276e-09,0.0,0.0,-4.77070877407e-08,2.05656819183e-11,2.53567439792e-27,0.0,1.72417935591e-11,-8.65450421603e-25,1.68099813261e-11
2.30000135659e-09,0.0,0.0,-4.85454446765e-08,2.05469231356e-11,2.66361309619e-27,0.0,1.72240878639e-11,-9.021269504459999e-25,1.6765751377e-11
2.40000304495e-09,0.0,0.0,-4.93984823274e-08,2.05698595171e-11,2.40355434391e-27,0.0,1.72083175129e-11,-9.36420755711e-25,1.6725047455e-11
2.50000369353e-09,0.0,0.0,-5.02351502721e-08,2.05378651858e-11,2.15558135282e-27,0.0,1.71941684299e-11,-9.623173364500001e-25,1.66870632533e-11
2.59999948255e-09,0.0,0.0,-5.10999767964e-08,2.05774623844e-11,1.82472827895e-27,0.0,1.71816978987e-11,-9.73154407738e-25,1.66515075933e-11
2.6999964706e-09,0.0,0.0,-5.19653249695e-08,2.05582853165e-11,1.55151321414e-27,0.0,1.71707826777e-11,-9.66747274779e-25,1.66189422208e-11
2.80000094497e-09,0.0,0.0,-5.28516721386e-08,2.0588138527e-11,1.79072981212e-27,0.0,1.7161309793e-11,-9.45483433163e-25,1.6588015547e-11
2.90000033386e-09,0.0,0.0,-5.37140499651e-08,2.05787723308e-11,2.30841180922e-27,0.0,1.71532223292e-11,-9.11020693014e-25,1.65599465334e-11
3.00000094085e-09,0.0,0.0,-5.46082159216e-08,2.06012013227e-11,3.12152790385e-27,0.0,1.71462406037e-11,-8.64042483083e-25,1.65328318822e-11
3.09999747045e-09,0.0,0.0,-5.54799992049e-08,2.05984073343e-11,3.56796630222e-27,0.0,1.71404529641e-11,-8.084743706349999e-25,1.6508261521e-11
