Time,max(coordsX_Meniscus),min(coordsX_Meniscus),time (s),Udown (m/s),eKinTot (j),eDissTot (J),divDevRhoTot(N),# Time,pressureForceX,pressureForceY,pressureForceZ,viscousForceX,viscousForceY,viscousForceZ,capillaryForceX,capillaryForceY,capillaryForceZ
1.00001e-10,1.60164e-07,1.59173e-07,1.000007387e-10,-1e+300,1.83326935118e-23,2.43897345579e-25,(1.53124504904e-11 3.47857335853e-28 -1.01942486662e-12),1.000007387e-10,0.0,0.0,-3.02682328101e-08,2.2622306913e-11,1.33537587446e-27,0.0,1.82943903987e-11,1.9663944638599999e-25,1.86246884118e-11
2.00001e-10,1.59899e-07,1.58845e-07,2.0000145221e-10,-1e+300,2.02515457951e-23,2.3676949361e-25,(1.5232764429e-11 3.4593978042e-28 -7.60910128237e-13),2.0000145221e-10,0.0,0.0,-3.23041813385e-08,2.20777875684e-11,6.56225581383e-28,0.0,1.82844621099e-11,1.33404002062e-25,1.87324331806e-11
2.99998e-10,1.59598e-07,1.58541e-07,2.99998032583e-10,-1e+300,2.0496687774000002e-23,2.3999173442e-25,(1.53075584918e-11 1.58122519684e-28 -7.38156328874e-13),2.99998032583e-10,0.0,0.0,-3.33717958893e-08,2.20362917387e-11,5.357125267850001e-28,0.0,1.82735951402e-11,4.75575821871e-26,1.87876353448e-11
4e-10,1.59296e-07,1.58242e-07,3.99999567482e-10,-1e+300,2.04854992775e-23,2.43623023263e-25,(1.54361148024e-11 -2.16077401546e-28 -7.35254074881e-13),3.99999567482e-10,0.0,0.0,-3.44090431065e-08,2.20698075074e-11,1.79625361082e-28,0.0,1.8262982182e-11,-5.20504690559e-26,1.88211758012e-11
5.00002e-10,1.59e-07,1.57946e-07,5.00001586401e-10,-1e+300,2.04014217181e-23,2.47130817473e-25,(1.55979107257e-11 -1.0416799525e-27 -7.35318499463e-13),5.00001586401e-10,0.0,0.0,-3.5519367797e-08,2.21368458595e-11,-1.05903894537e-27,0.0,1.82527555893e-11,-1.6034781714299998e-25,1.88381283372e-11
6e-10,1.5871e-07,1.57657e-07,6.00000052434e-10,-1e+300,2.0283891431e-23,2.50215519573e-25,(1.5732345597e-11 -1.25893183993e-27 -7.31278864598e-13),6.00000052434e-10,0.0,0.0,-3.64983390041e-08,2.21726068237e-11,-1.41458252819e-27,0.0,1.82428959499e-11,-2.72871821166e-25,1.88410752433e-11
7e-10,1.58426e-07,1.57375e-07,7.00000071915e-10,-1e+300,2.0185842251400002e-23,2.53231147982e-25,(1.58453473879e-11 -1.21211946795e-27 -7.20936650065e-13),7.00000071915e-10,0.0,0.0,-3.77350442572e-08,2.21826597176e-11,-1.26550070178e-27,0.0,1.82333618877e-11,-3.80671319846e-25,1.88319734587e-11
8e-10,1.58144e-07,1.57094e-07,8.00000326542e-10,-1e+300,2.01115708769e-23,2.56393225014e-25,(1.60149172178e-11 -2.58678418636e-28 -7.16602549744e-13),8.00000326542e-10,0.0,0.0,-3.89300976016e-08,2.22658930545e-11,-5.06304692345e-28,0.0,1.82241917823e-11,-4.72042164679e-25,1.88139360082e-11
8.99997e-10,1.57866e-07,1.56816e-07,8.99996531805e-10,-1e+300,2.0010403756100002e-23,2.58924397364e-25,(1.61472123177e-11 2.00069618073e-28 -7.09986458769e-13),8.99996531805e-10,0.0,0.0,-3.991519042e-08,2.23112148433e-11,-2.95711159961e-28,0.0,1.82154205727e-11,-5.39179343673e-25,1.87898609326e-11
1e-09,1.57595e-07,1.56548e-07,1.0000030062e-09,-1e+300,1.9929168592700002e-23,2.6119195998e-25,(1.62428439807e-11 8.13456820087e-28 -6.9779131445e-13),1.0000030062e-09,0.0,0.0,-4.10895117209e-08,2.23172707779e-11,4.04923681136e-29,0.0,1.82069736875e-11,-5.8175632355699985e-25,1.87604254292e-11
1.1e-09,1.57325e-07,1.56279e-07,1.10000375289e-09,-1e+300,1.98689353334e-23,2.63523760256e-25,(1.63812944848e-11 1.83366171787e-27 -6.89330956318e-13),1.10000375289e-09,0.0,0.0,-4.2140175391e-08,2.23819134109e-11,7.23770154639e-28,0.0,1.81989020379e-11,-6.0528750739499985e-25,1.87270601756e-11
1.2e-09,1.57059e-07,1.56011e-07,1.20000358427e-09,-1e+300,1.97859746815e-23,2.65356597966e-25,(1.64997638e-11 3.41915419153e-27 -6.80949864543e-13),1.20000358427e-09,0.0,0.0,-4.32360527169e-08,2.24257887517e-11,1.94031664643e-27,0.0,1.8191315414e-11,-6.1841580747699995e-25,1.86927060147e-11
1.3e-09,1.56798e-07,1.55754e-07,1.2999979203e-09,-1e+300,1.9722611495200002e-23,2.67128151465e-25,(1.65791866898e-11 4.43717653726e-27 -6.66041552371e-13),1.2999979203e-09,0.0,0.0,-4.43298160162e-08,2.24286677751e-11,2.65735668156e-27,0.0,1.81840540037e-11,-6.31250139253e-25,1.86571676444e-11
1.4e-09,1.56538e-07,1.55495e-07,1.4000024302e-09,-1e+300,1.9669195996200005e-23,2.68993152928e-25,(1.66967156515e-11 4.88474313537e-27 -6.54164179988e-13),1.4000024302e-09,0.0,0.0,-4.54323089893e-08,2.24801425057e-11,3.15909407211e-27,0.0,1.8177088554e-11,-6.51504721109e-25,1.86204004871e-11
1.5e-09,1.56282e-07,1.55238e-07,1.50000210401e-09,-1e+300,1.96027732368e-23,2.70469549505e-25,(1.67996197569e-11 4.25450270838e-27 -6.43696446815e-13),1.50000210401e-09,0.0,0.0,-4.68545755367e-08,2.25128653474e-11,2.91109278873e-27,0.0,1.81704443335e-11,-6.811379731089998e-25,1.85845489022e-11
1.6e-09,1.5603e-07,1.54989e-07,1.60000256767e-09,-1e+300,1.95435993239e-23,2.72057186874e-25,(1.68581937956e-11 3.44589730022e-27 -6.25233285473e-13),1.60000256767e-09,0.0,0.0,-4.74772539771e-08,2.25072804986e-11,2.7502656077000003e-27,0.0,1.81640388436e-11,-7.17253848855e-25,1.85485957761e-11
1.7e-09,1.55779e-07,1.54736e-07,1.70000124602e-09,-1e+300,1.94968203064e-23,2.73609400537e-25,(1.69720934202e-11 2.5916816398e-27 -6.14499206514e-13),1.70000124602e-09,0.0,0.0,-4.91375480218e-08,2.25563623269e-11,2.18441987034e-27,0.0,1.81578588246e-11,-7.55949818906e-25,1.85123224779e-11
1.8e-09,1.55531e-07,1.5449e-07,1.7999960203e-09,-1e+300,1.94428374848e-23,2.75102721229e-25,(1.7051346376e-11 2.37731646858e-27 -6.0260399094e-13),1.7999960203e-09,0.0,0.0,-4.9782103449e-08,2.25805461486e-11,2.19247932816e-27,0.0,1.81519951349e-11,-7.96457933224e-25,1.84774232495e-11
1.9e-09,1.55286e-07,1.54246e-07,1.90000040084e-09,-1e+300,1.93837092651e-23,2.76357192611e-25,(1.710457403e-11 2.14938062335e-27 -5.84254754808e-13),1.90000040084e-09,0.0,0.0,-5.08509180011e-08,2.25700944399e-11,2.23346231222e-27,0.0,1.81463345634e-11,-8.407707965e-25,1.84421992615e-11
2e-09,1.55042e-07,1.53999e-07,2.00000085092e-09,-1e+300,1.9330864216300002e-23,2.77797441205e-25,(1.72038771698e-11 2.77239129142e-27 -5.75203207056e-13),2.00000085092e-09,0.0,0.0,-5.14685956884e-08,2.26230354023e-11,3.12903754785e-27,0.0,1.81410043223e-11,-8.8982811609e-25,1.84078477286e-11
