Time,max(coordsX_Meniscus),min(coordsX_Meniscus)
1.39e-08,1.34794e-07,1.33821e-07
1.4e-08,1.34662e-07,1.3369e-07
1.41e-08,1.34531e-07,1.33558e-07
1.42e-08,1.34399e-07,1.33426e-07
1.43e-08,1.34269e-07,1.33296e-07
1.44e-08,1.34138e-07,1.33165e-07
1.45e-08,1.34008e-07,1.33035e-07
1.46e-08,1.33879e-07,1.32906e-07
1.47e-08,1.33749e-07,1.32776e-07
1.48e-08,1.3362e-07,1.32647e-07
1.49e-08,1.33492e-07,1.32519e-07
1.5e-08,1.33364e-07,1.32389e-07
1.51e-08,1.33236e-07,1.32263e-07
1.52e-08,1.33109e-07,1.32135e-07
1.53e-08,1.32981e-07,1.32007e-07
1.54e-08,1.32855e-07,1.31881e-07
1.55e-08,1.32728e-07,1.31754e-07
1.56e-08,1.32602e-07,1.31628e-07
1.57e-08,1.32477e-07,1.31503e-07
1.58e-08,1.32351e-07,1.31376e-07
1.59e-08,1.32226e-07,1.31252e-07
1.6e-08,1.32101e-07,1.31127e-07
1.61e-08,1.31977e-07,1.31001e-07
1.62e-08,1.31853e-07,1.30879e-07
1.63e-08,1.31729e-07,1.30754e-07
1.64e-08,1.31606e-07,1.30631e-07
1.65e-08,1.31483e-07,1.30508e-07
1.66e-08,1.3136e-07,1.30384e-07
1.67e-08,1.31237e-07,1.30262e-07
1.68e-08,1.31115e-07,1.3014e-07
1.69e-08,1.30993e-07,1.30017e-07
1.7e-08,1.30872e-07,1.29897e-07
1.71e-08,1.30751e-07,1.29774e-07
1.72e-08,1.3063e-07,1.29654e-07
1.73e-08,1.30509e-07,1.29533e-07
1.74e-08,1.30389e-07,1.29412e-07
1.75e-08,1.30269e-07,1.29293e-07
1.76e-08,1.30149e-07,1.29172e-07
1.77e-08,1.3003e-07,1.29053e-07
1.78e-08,1.2991e-07,1.28934e-07
1.79e-08,1.29791e-07,1.28814e-07
1.8e-08,1.29673e-07,1.28696e-07
1.81e-08,1.29555e-07,1.28577e-07
1.82e-08,1.29437e-07,1.28459e-07
1.83e-08,1.29319e-07,1.28341e-07
1.84e-08,1.29201e-07,1.28223e-07
1.85e-08,1.29084e-07,1.28107e-07
1.86e-08,1.28967e-07,1.27988e-07
1.87e-08,1.28851e-07,1.27872e-07
1.88e-08,1.28734e-07,1.27755e-07
1.89e-08,1.28618e-07,1.27639e-07
1.9e-08,1.28502e-07,1.27524e-07
1.91e-08,1.28387e-07,1.27406e-07
1.92e-08,1.28272e-07,1.27292e-07
1.93e-08,1.28156e-07,1.27176e-07
1.94e-08,1.28042e-07,1.27062e-07
1.95e-08,1.27927e-07,1.26947e-07
1.96e-08,1.27813e-07,1.26832e-07
1.97e-08,1.27699e-07,1.26718e-07
1.98e-08,1.27585e-07,1.26603e-07
1.99e-08,1.27472e-07,1.26491e-07
2e-08,1.274e-07,1.26376e-07
2.01e-08,1.2725e-07,1.26264e-07
2.02e-08,1.27132e-07,1.2615e-07
