# Time,pressureForceX,pressureForceY,pressureForceZ,viscousForceX,viscousForceY,viscousForceZ,capillaryForceX,capillaryForceY,capillaryForceZ
1.00000333747e-10,0.0,0.0,-3.23118497298e-08,2.17016367147e-11,6.27561885741e-28,0.0,1.83275960308e-11,1.91873300284e-25,1.84778736242e-11
1.99999842881e-10,0.0,0.0,-3.4729247839e-08,2.15296419085e-11,-6.01000106675e-29,0.0,1.83254435813e-11,1.05299541813e-25,1.84960599988e-11
3.00000915412e-10,0.0,0.0,-3.57754886634e-08,2.16049803583e-11,-3.08514921764e-28,0.0,1.83234123597e-11,-2.45682194891e-27,1.84856701357e-11
4.00000348321e-10,0.0,0.0,-3.71500732989e-08,2.16624086648e-11,-9.800054433790001e-28,0.0,1.83215693703e-11,-1.21435419832e-25,1.84659263436e-11
5.00001837482e-10,0.0,0.0,-3.84957557287e-08,2.16971131102e-11,-2.20464323377e-27,0.0,1.83199263183e-11,-2.50500255598e-25,1.84391648588e-11
6.00001807074e-10,0.0,0.0,-3.99272608236e-08,2.17596947024e-11,-2.43588100901e-27,0.0,1.83184638186e-11,-3.82033943467e-25,1.84071605343e-11
7.00001889069e-10,0.0,0.0,-4.13360658153e-08,2.18242647849e-11,-1.9021934594e-27,0.0,1.8317158329e-11,-4.94610822305e-25,1.8372148676e-11
7.99997311464e-10,0.0,0.0,-4.27330995014e-08,2.18655960043e-11,-1.2800514404500001e-27,0.0,1.83159517247e-11,-5.6906545421899995e-25,1.83351287154e-11
8.99997129952e-10,0.0,0.0,-4.38410893658e-08,2.18883955064e-11,-1.36679364792e-27,0.0,1.83148594045e-11,-6.03585773155e-25,1.82969783115e-11
1.00000262775e-09,0.0,0.0,-4.55901432739e-08,2.19191365224e-11,-8.72528695369e-28,0.0,1.83139358636e-11,-6.10374768954e-25,1.82582968232e-11
1.10000348262e-09,0.0,0.0,-4.68904494499e-08,2.19683376993e-11,5.50781400949e-28,0.0,1.83131577928e-11,-6.08714144611e-25,1.82205984523e-11
1.19999846106e-09,0.0,0.0,-4.866685697e-08,2.19862256072e-11,2.05195027707e-27,0.0,1.8312484865e-11,-6.18324965533e-25,1.81844624965e-11
1.30000112765e-09,0.0,0.0,-4.90019427734e-08,2.19962318093e-11,3.02603796309e-27,0.0,1.83119235895e-11,-6.49638862905e-25,1.81497417796e-11
1.39999972383e-09,0.0,0.0,-5.05106964714e-08,2.20385515302e-11,2.87441200014e-27,0.0,1.83114548029e-11,-6.976319404379999e-25,1.81161341454e-11
1.49999998518e-09,0.0,0.0,-5.23058687499e-08,2.20589820467e-11,2.2368157227e-27,0.0,1.83110019901e-11,-7.49229626056e-25,1.80843558395e-11
1.59999931494e-09,0.0,0.0,-5.33991401761e-08,2.20599337368e-11,1.5930302715500001e-27,0.0,1.83106219642e-11,-7.97606517294e-25,1.8054245029e-11
1.70000356931e-09,0.0,0.0,-5.49675015696e-08,2.20766399459e-11,1.27952966847e-27,0.0,1.83103325278e-11,-8.47893694468e-25,1.80249621796e-11
1.79999725539e-09,0.0,0.0,-5.62904647545e-08,2.21005884992e-11,1.80539541805e-27,0.0,1.83100498663e-11,-9.075812388349999e-25,1.79973497689e-11
1.90000239884e-09,0.0,0.0,-5.78563790522e-08,2.20889043338e-11,2.34786431829e-27,0.0,1.83098253144e-11,-9.73464057689e-25,1.79713299742e-11
1.99999905081e-09,0.0,0.0,-5.88974430793e-08,2.21072022242e-11,2.66875358012e-27,0.0,1.83096770409e-11,-1.03207746135e-24,1.79459436651e-11
2.10000255448e-09,0.0,0.0,-6.02065558372e-08,2.21251425166e-11,1.95060055407e-27,0.0,1.83094993008e-11,-1.07164631481e-24,1.79221697927e-11
2.20000019366e-09,0.0,0.0,-6.14850444338e-08,2.21096769763e-11,7.7948032157700005e-28,0.0,1.83093647232e-11,-1.08621280711e-24,1.78997077661e-11
2.3000001809e-09,0.0,0.0,-6.27631759481e-08,2.21295393443e-11,-5.524519375880001e-28,0.0,1.83092638471e-11,-1.07144814259e-24,1.78777717685e-11
2.4000011362e-09,0.0,0.0,-6.40523190062e-08,2.2136295598e-11,-9.518315508860001e-28,0.0,1.83091125294e-11,-1.02626538579e-24,1.78574219137e-11
2.50000316455e-09,0.0,0.0,-6.53431160372e-08,2.21123683728e-11,-7.01911660816e-28,0.0,1.83090047346e-11,-9.56257226134e-25,1.78378859199e-11
2.60000314777e-09,0.0,0.0,-6.65742495696e-08,2.21420484822e-11,3.51403404227e-28,0.0,1.83088587115e-11,-8.72533536696e-25,1.78190717363e-11
2.70000317219e-09,0.0,0.0,-6.78210424854e-08,2.21329487516e-11,1.33861723948e-27,0.0,1.83087009111e-11,-7.8788261969000005e-25,1.7801665505e-11
2.80000271014e-09,0.0,0.0,-6.90541709412e-08,2.21331827304e-11,2.23274091193e-27,0.0,1.83085761528e-11,-7.1372175368199995e-25,1.77845281115e-11
2.89999897109e-09,0.0,0.0,-7.03075832802e-08,2.21415962817e-11,2.46840420258e-27,0.0,1.83083785915e-11,-6.56524779778e-25,1.77685881083e-11
2.99999920989e-09,0.0,0.0,-7.13318280565e-08,2.21169174729e-11,2.3709090568e-27,0.0,1.83082341122e-11,-6.14134383912e-25,1.77534110118e-11
3.09999859503e-09,0.0,0.0,-7.27498698609e-08,2.21385002479e-11,1.70045969272e-27,0.0,1.83080549372e-11,-5.7501688098e-25,1.77387171967e-11
3.20000357982e-09,0.0,0.0,-7.39398423825e-08,2.21227867191e-11,1.00599639162e-27,0.0,1.83078889202e-11,-5.23310860492e-25,1.7725282375e-11
3.29999925821e-09,0.0,0.0,-7.51501686142e-08,2.21274101148e-11,7.16494556203e-28,0.0,1.83077459008e-11,-4.45605778027e-25,1.77119520019e-11
3.39999751689e-09,0.0,0.0,-7.63432845506e-08,2.2124432101e-11,3.9067853057600003e-28,0.0,1.83075702371e-11,-3.35743569421e-25,1.76998503583e-11
3.49999792273e-09,0.0,0.0,-7.75503495804e-08,2.21105257521e-11,3.8338808177400003e-28,0.0,1.83074614226e-11,-1.98341117523e-25,1.76880744885e-11
3.60000204974e-09,0.0,0.0,-7.86935144838e-08,2.21198398624e-11,-1.23823151524e-28,0.0,1.83072870119e-11,-4.9507817702500004e-26,1.76771094195e-11
3.69999868654e-09,0.0,0.0,-8.00455186193e-08,2.20887515001e-11,-8.36077462103e-28,0.0,1.83071883205e-11,9.00478395303e-26,1.76668496121e-11
3.79999731015e-09,0.0,0.0,-8.10104105509e-08,2.21101039265e-11,-1.68864148316e-27,0.0,1.83070477685e-11,2.0594480666399999e-25,1.7656930041e-11
3.89999991121e-09,0.0,0.0,-8.212443051e-08,2.20837646412e-11,-2.53574149009e-27,0.0,1.83069593524e-11,2.94882390802e-25,1.76480654387e-11
4.00000116788e-09,0.0,0.0,-8.32954881418e-08,2.20970501678e-11,-2.94175225097e-27,0.0,1.83068606955e-11,3.6200726294099997e-25,1.76391534695e-11
4.10000108609e-09,0.0,0.0,-8.44010810842e-08,2.20775359811e-11,-3.1487841897500002e-27,0.0,1.83067877824e-11,4.16307473309e-25,1.76314737261e-11
4.20000216515e-09,0.0,0.0,-8.55499212918e-08,2.20820226693e-11,-3.13039858796e-27,0.0,1.83067302799e-11,4.66846537734e-25,1.76236232298e-11
4.30000367625e-09,0.0,0.0,-8.66468169953e-08,2.20679542741e-11,-3.08596646945e-27,0.0,1.83066789084e-11,5.20206569493e-25,1.76170001638e-11
4.40000486674e-09,0.0,0.0,-8.77741460361e-08,2.20660750668e-11,-2.87855212182e-27,0.0,1.8306660817e-11,5.8024450241399995e-25,1.761020837e-11
4.49999538033e-09,0.0,0.0,-8.88613656694e-08,2.20558780763e-11,-2.65156610527e-27,0.0,1.83066355492e-11,6.487395086059999e-25,1.7604563712e-11
4.60000166548e-09,0.0,0.0,-8.99702767136e-08,2.20498222314e-11,-2.37109993845e-27,0.0,1.83066545516e-11,7.241471309759999e-25,1.75987879937e-11
4.69999676004e-09,0.0,0.0,-9.10467828969e-08,2.2041927941e-11,-2.19607777928e-27,0.0,1.83066583696e-11,7.98642549244e-25,1.75940722145e-11
4.79999688041e-09,0.0,0.0,-9.21396444463e-08,2.20336836696e-11,-2.1115605959999998e-27,0.0,1.83067114657e-11,8.59593754066e-25,1.75892524165e-11
4.89999618777e-09,0.0,0.0,-9.32037629922e-08,2.20266067463e-11,-2.2328035148700002e-27,0.0,1.83067459185e-11,8.95651460754e-25,1.75854377859e-11
5.0000032969e-09,0.0,0.0,-9.42825377733e-08,2.20179036457e-11,-2.67277244828e-27,0.0,1.83068294699e-11,9.02311818902e-25,1.75815085154e-11
5.09999994429e-09,0.0,0.0,-9.53328590525e-08,2.20102303428e-11,-3.2015492774200002e-27,0.0,1.83068953782e-11,8.81452254883e-25,1.75785699402e-11
5.19999874514e-09,0.0,0.0,-9.63995109109e-08,2.20025439189e-11,-3.82569889233e-27,0.0,1.83070047872e-11,8.3828686339e-25,1.75754761566e-11
5.29999963304e-09,0.0,0.0,-9.74342077616e-08,2.19929801241e-11,-4.24159826606e-27,0.0,1.83071016568e-11,7.78834355075e-25,1.75733914349e-11
5.40000081156e-09,0.0,0.0,-9.84906156556e-08,2.19874143684e-11,-4.3242621244900004e-27,0.0,1.83072319021e-11,7.090167380059999e-25,1.75710818285e-11
5.49999713773e-09,0.0,0.0,-9.95140122209e-08,2.19744512461e-11,-4.18045302631e-27,0.0,1.83073595702e-11,6.3417944033e-25,1.75698170541e-11
5.60000367564e-09,0.0,0.0,-1.00557149115e-07,2.19722593136e-11,-3.5580461476400004e-27,0.0,1.83075052194e-11,5.589344637869999e-25,1.75682541829e-11
5.69999885003e-09,0.0,0.0,-1.01568092078e-07,2.19547098772e-11,-2.89124927701e-27,0.0,1.83076631443e-11,4.86880294463e-25,1.75677627089e-11
5.80000539558e-09,0.0,0.0,-1.02600033042e-07,2.19567763955e-11,-2.26534764689e-27,0.0,1.83078185334e-11,4.2040034336e-25,1.75669252719e-11
5.89999496206e-09,0.0,0.0,-1.03437894669e-07,2.19359318548e-11,-1.73928816416e-27,0.0,1.83080061373e-11,3.60817207306e-25,1.75671294561e-11
5.99999968116e-09,0.0,0.0,-1.04619387021e-07,2.19405634007e-11,-1.7352658254e-27,0.0,1.83081652715e-11,3.0854293624e-25,1.7567017581e-11
6.10000428213e-09,0.0,0.0,-1.05599212775e-07,2.19108564674e-11,-1.91593814967e-27,0.0,1.83083819985e-11,2.63292871582e-25,1.75678078606e-11
6.19999718425e-09,0.0,0.0,-1.06612746055e-07,2.19234168261e-11,-2.18232064462e-27,0.0,1.83085394619e-11,2.24477294137e-25,1.75684589532e-11
6.29999671543e-09,0.0,0.0,-1.07036727682e-07,2.18998045032e-11,-2.50880032571e-27,0.0,1.83087693732e-11,1.91304116281e-25,1.75696954182e-11
6.40000293789e-09,0.0,0.0,-1.08579129774e-07,2.19048947074e-11,-2.69421427939e-27,0.0,1.83089351882e-11,1.62966596165e-25,1.75711615131e-11
6.50000436058e-09,0.0,0.0,-1.09553751664e-07,2.1887981219e-11,-2.68467642785e-27,0.0,1.830915828e-11,1.38772441781e-25,1.75728006951e-11
6.60000460268e-09,0.0,0.0,-1.10527107141e-07,2.18843338512e-11,-2.47270260431e-27,0.0,1.83093463625e-11,1.18096514989e-25,1.75750376804e-11
6.69999437976e-09,0.0,0.0,-1.11499903156e-07,2.18753183876e-11,-2.1967935165000003e-27,0.0,1.8309558215e-11,1.00389882237e-25,1.75770941025e-11
6.80000572432e-09,0.0,0.0,-1.12594771357e-07,2.18592742947e-11,-1.87079066356e-27,0.0,1.8309770089e-11,8.51904401357e-26,1.75799944346e-11
